file,dataset,backbone,config,method,acc,mean_bacc,worst,leak,label_sep,scps
ADFTD_EEGNet,ADFTD,EEGNet,erm:0,erm,0.6100005552779165,0.5526515151515151,,1.5232058817690068,0.9485699367639381,True
ADFTD_EEGNet,ADFTD,EEGNet,marginal:0.5,marginal,0.5693403298350824,0.5579545454545455,,0.028227762700143186,0.848516273133376,True
ADFTD_EEGNet,ADFTD,EEGNet,lpc_uniform:0.5,lpc_uniform,0.5819590204897551,0.5321969696969698,,0.04887081737714735,0.9218178917445031,True
ADFTD_EEGNet,ADFTD,EEGNet,lpc_prior:0.3,lpc_prior,0.6242295518907213,0.5513257575757575,,0.11278709904714064,0.9309479607820386,True
ADFTD_EEGNet,ADFTD,EEGNet,cdann:1,cdann,0.531775778777278,0.4884469696969697,,0.28762357648123393,0.8682340314439867,True
ADFTD_EEGNet,ADFTD,EEGNet,dann:1,dann,0.4891443167305236,0.5011363636363636,,0.1166801328601485,0.5484350525033359,True
ADFTD_bin_EEGNet,ADFTD_bin,EEGNet,erm:0,erm,0.8304597701149425,0.7979487179487179,0.0,1.0824690892146185,0.9768028846153847,True
ADFTD_bin_EEGNet,ADFTD_bin,EEGNet,marginal:0.5,marginal,0.8266283524904214,0.7682051282051282,0.05,0.013396179890976502,0.9457665598290599,True
ADFTD_bin_EEGNet,ADFTD_bin,EEGNet,lpc_uniform:0.5,lpc_uniform,0.8093869731800767,0.7746153846153845,0.06666666666666667,0.03309120355317226,0.9705395299145299,True
ADFTD_bin_EEGNet,ADFTD_bin,EEGNet,lpc_prior:0.3,lpc_prior,0.7887931034482758,0.7884615384615384,0.08333333333333333,0.07638180278814756,0.9754273504273503,True
ADFTD_bin_EEGNet,ADFTD_bin,EEGNet,cdann:1,cdann,0.8477011494252873,0.7474358974358974,0.03333333333333333,0.33054527502793535,0.9594417735042735,True
ADFTD_bin_EEGNet,ADFTD_bin,EEGNet,dann:1,dann,0.7720306513409961,0.7371794871794872,0.1,0.10142553265278156,0.7748130341880342,True
BNCI2014_001_Deep4Net_bb250,BNCI2014_001,Deep4Net,erm:0,erm,0.3823302469135802,0.3823302469135802,0.27777777777777773,1.4719621737798054,0.8944323933477948,False
BNCI2014_001_Deep4Net_bb250,BNCI2014_001,Deep4Net,lpc_prior:0.3,lpc_prior,0.3342978395061728,0.3342978395061728,0.23784722222222224,0.2953450878461202,0.9388607696633726,False
BNCI2014_001_Deep4Net_bb250,BNCI2014_001,Deep4Net,lpc_prior:0.5,lpc_prior,0.3290895061728395,0.3290895061728395,0.25520833333333337,0.23812268012099796,0.9497870972925203,False
BNCI2014_001_Deep4Net_bb250,BNCI2014_001,Deep4Net,lpc_prior:1.0,lpc_prior,0.32272376543209874,0.32272376543209874,0.23958333333333334,0.17790362238883972,0.9427974612356391,False
BNCI2014_001_Deep4Net_bb250,BNCI2014_001,Deep4Net,cdann:1,cdann,0.33140432098765427,0.33140432098765427,0.22916666666666666,0.7993937399652269,0.8579577408210813,False
