dataset,subject,seed,n_cls,source_sessions,cal_session,query_sessions,n_cal,n_query,cal_per_class,fallback_used,reason
BNCI2015_001,10,0,2,0A|1B|2C,0A,1B|2C,200,400,0:100;1:100,False,OK
BNCI2015_001,10,1,2,0A|1B|2C,0A,1B|2C,200,400,0:100;1:100,False,OK
BNCI2015_001,10,2,2,0A|1B|2C,0A,1B|2C,200,400,0:100;1:100,False,OK
BNCI2015_001,11,0,2,0A|1B|2C,0A,1B|2C,200,400,0:100;1:100,False,OK
BNCI2015_001,11,1,2,0A|1B|2C,0A,1B|2C,200,400,0:100;1:100,False,OK
BNCI2015_001,11,2,2,0A|1B|2C,0A,1B|2C,200,400,0:100;1:100,False,OK
BNCI2015_001,12,0,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,12,1,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,12,2,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,1,0,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,1,1,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,1,2,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,2,0,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,2,1,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,2,2,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,3,0,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,3,1,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,3,2,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,4,0,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,4,1,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,4,2,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,5,0,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,5,1,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,5,2,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,6,0,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,6,1,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,6,2,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,7,0,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,7,1,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,7,2,2,0A|1B|2C,0A,1B,200,200,0:100;1:100,False,OK
BNCI2015_001,8,0,2,0A|1B|2C,0A,1B|2C,200,400,0:100;1:100,False,OK
BNCI2015_001,8,1,2,0A|1B|2C,0A,1B|2C,200,400,0:100;1:100,False,OK
BNCI2015_001,8,2,2,0A|1B|2C,0A,1B|2C,200,400,0:100;1:100,False,OK
BNCI2015_001,9,0,2,0A|1B|2C,0A,1B|2C,200,400,0:100;1:100,False,OK
BNCI2015_001,9,1,2,0A|1B|2C,0A,1B|2C,200,400,0:100;1:100,False,OK
BNCI2015_001,9,2,2,0A|1B|2C,0A,1B|2C,200,400,0:100;1:100,False,OK
