panel,quantity,mean,ci_low,ci_high,n,cluster
MI_W1,identity_uniform,0.6711761764001296,0.6448171139165424,0.6972796299201358,115,target subject
MI_W1,identity_joint_prior,0.6646552837648267,0.6341745822045893,0.6935789364558179,115,target subject
MI_W1,joint_geometry_uniform,0.7315951786409708,0.7114728772004479,0.7519443287686198,115,target subject
MI_W1,joint_geometry_joint_prior,0.7294077704886105,0.7092660278120133,0.7498540634621752,115,target subject
MI_W1,G,0.06041900224084132,0.04108723783712538,0.08110370080273253,115,target subject
MI_W1,P,-0.00652089263530282,-0.014738527518534536,0.002128100085127818,115,target subject
MI_W1,I_int,0.004333484482942365,-0.0012106086639863168,0.009856008287051196,115,target subject
MI_W1,G_plus_P_plus_I_int,0.05823159408848085,0.039837185996132604,0.077405606137598,115,target subject
Sleep_W2_primary,identity_uniform,0.6572266474059388,0.6341418385063596,0.6783889915739719,75,sleep subject/night pair
Sleep_W2_primary,identity_joint_prior,0.5133520627201367,0.48895278146065524,0.5372465024521419,75,sleep subject/night pair
Sleep_W2_primary,joint_geometry_uniform,0.6371019103766384,0.6112557684997065,0.6613413254597469,75,sleep subject/night pair
Sleep_W2_primary,joint_geometry_joint_prior,0.5520596869871699,0.5266254723453087,0.5764039646266158,75,sleep subject/night pair
Sleep_W2_primary,G,-0.020124737029300337,-0.04065716887129684,0.0009753021646052663,75,sleep subject/night pair
Sleep_W2_primary,P,-0.1438745846858021,-0.15925733401930695,-0.12846331630725238,75,sleep subject/night pair
Sleep_W2_primary,I_int,0.05883236129633346,0.042472541046964914,0.07579073878705916,75,sleep subject/night pair
Sleep_W2_primary,G_plus_P_plus_I_int,-0.10516696041876901,-0.12495485987186343,-0.08505074780773045,75,sleep subject/night pair
Sleep_W2_secondary,identity_uniform,0.6505992185506705,0.6257863638865885,0.6743110857148055,75,sleep subject/night pair
Sleep_W2_secondary,identity_joint_prior,0.5206311129223842,0.4932125540279283,0.547434863324327,75,sleep subject/night pair
Sleep_W2_secondary,joint_geometry_uniform,0.6275008836240727,0.6015773303882601,0.6511422012462588,75,sleep subject/night pair
Sleep_W2_secondary,joint_geometry_joint_prior,0.5213489796273668,0.49566097642487644,0.5471447105300298,75,sleep subject/night pair
Sleep_W2_secondary,G,-0.023098334926597595,-0.04403372927425043,-0.002598757371915193,75,sleep subject/night pair
Sleep_W2_secondary,P,-0.12996810562828623,-0.14949051582378306,-0.11031268602860422,75,sleep subject/night pair
Sleep_W2_secondary,I_int,0.02381620163158013,0.0030509574159365946,0.04487473019117612,75,sleep subject/night pair
Sleep_W2_secondary,G_plus_P_plus_I_int,-0.1292502389233037,-0.15241666605397503,-0.10523551143633439,75,sleep subject/night pair
