family,perturbation,metric,operator,threshold,mean,ci_lo,ci_hi,n_clusters,n_units,bootstrap_cluster,seed_policy,inputs
per_operator_BA,rotation,balanced_accuracy,identity_uniform,,0.5043684267694043,0.49822474348659684,0.5104367453214034,90,90,"(dataset,pair,subject)",source seeds averaged within unit before bootstrap,"results/h2cmi/review_completion_offdiag/w1offdiag_bnci001.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_01.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_23.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_24.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_lee2019.jsonl"
per_operator_BA,rotation,balanced_accuracy,fixed_reference_oneshot_uniform,,0.499589960986111,0.4986978374380966,0.5004963313514134,90,90,"(dataset,pair,subject)",source seeds averaged within unit before bootstrap,"results/h2cmi/review_completion_offdiag/w1offdiag_bnci001.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_01.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_23.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_24.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_lee2019.jsonl"
per_operator_BA,rotation,balanced_accuracy,fixed_iterative_geometry_uniform,,0.5002057613168724,0.5,0.5006172839506173,90,90,"(dataset,pair,subject)",source seeds averaged within unit before bootstrap,"results/h2cmi/review_completion_offdiag/w1offdiag_bnci001.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_01.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_23.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_24.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_lee2019.jsonl"
per_operator_BA,rotation,balanced_accuracy,joint_geometry_uniform,,0.5001543209876543,0.5,0.500462962962963,90,90,"(dataset,pair,subject)",source seeds averaged within unit before bootstrap,"results/h2cmi/review_completion_offdiag/w1offdiag_bnci001.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_01.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_23.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_24.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_lee2019.jsonl"
per_operator_BA,rotation,balanced_accuracy,latent_im_diag_uniform,,0.5033965767238158,0.49297127620930925,0.51416993090668,90,90,"(dataset,pair,subject)",source seeds averaged within unit before bootstrap,"results/h2cmi/review_completion_offdiag/w1offdiag_bnci001.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_01.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_23.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_24.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_lee2019.jsonl"
per_operator_BA,rotation,balanced_accuracy,pooled_uniform,,0.50383580222821,0.4942426715812258,0.5135387343975473,90,90,"(dataset,pair,subject)",source seeds averaged within unit before bootstrap,"results/h2cmi/review_completion_offdiag/w1offdiag_bnci001.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_01.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_23.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_24.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_lee2019.jsonl"
per_operator_BA,rotation,balanced_accuracy,coral_latent,,0.5028259410028368,0.49297398477988585,0.5128457107141773,90,90,"(dataset,pair,subject)",source seeds averaged within unit before bootstrap,"results/h2cmi/review_completion_offdiag/w1offdiag_bnci001.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_01.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_23.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_24.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_lee2019.jsonl"
per_operator_BA,rotation,balanced_accuracy,source_recolored_ea,,0.5031989870570701,0.4933883060312859,0.5132453959317665,90,90,"(dataset,pair,subject)",source seeds averaged within unit before bootstrap,"results/h2cmi/review_completion_offdiag/w1offdiag_bnci001.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_01.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_23.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_24.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_lee2019.jsonl"
contrast,rotation,best_full_cov_minus_best_diagonal_latent,,,3.6366242561203244e-05,-0.006634852770122404,0.007069345359962818,90,90,"(dataset,pair,subject)",source seeds averaged within unit before bootstrap,"results/h2cmi/review_completion_offdiag/w1offdiag_bnci001.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_01.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_23.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_24.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_lee2019.jsonl"
contrast,rotation,best_diagonal_latent_BA,,,0.5259535269213542,0.5189211245131166,0.533611936295471,90,90,"(dataset,pair,subject)",source seeds averaged within unit before bootstrap,"results/h2cmi/review_completion_offdiag/w1offdiag_bnci001.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_01.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_23.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_bnci004_24.jsonl,results/h2cmi/review_completion_offdiag/w1offdiag_lee2019.jsonl"
