metric,contrast,method,baseline,scope,dataset,threshold,n_clusters,harm_count,harm_rate,seeds_averaged_first
bacc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,per_dataset,BNCI2014_001,0.0,9,1,0.1111111111111111,True
bacc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,per_dataset,Cho2017,0.0,52,2,0.038461538461538464,True
bacc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,per_dataset,Lee2019_MI,0.0,54,3,0.05555555555555555,True
bacc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,subject_weighted,ALL,0.0,115,6,0.05217391304347826,True
bacc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,per_dataset,BNCI2014_001,-0.01,9,1,0.1111111111111111,True
bacc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,per_dataset,Cho2017,-0.01,52,1,0.019230769230769232,True
bacc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,per_dataset,Lee2019_MI,-0.01,54,1,0.018518518518518517,True
bacc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,subject_weighted,ALL,-0.01,115,3,0.02608695652173913,True
bacc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,per_dataset,BNCI2014_001,-0.02,9,1,0.1111111111111111,True
bacc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,per_dataset,Cho2017,-0.02,52,0,0.0,True
bacc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,per_dataset,Lee2019_MI,-0.02,54,1,0.018518518518518517,True
bacc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,subject_weighted,ALL,-0.02,115,2,0.017391304347826087,True
bacc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,per_dataset,BNCI2014_001,0.0,9,1,0.1111111111111111,True
bacc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,per_dataset,Cho2017,0.0,52,2,0.038461538461538464,True
bacc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,per_dataset,Lee2019_MI,0.0,54,3,0.05555555555555555,True
bacc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,subject_weighted,ALL,0.0,115,6,0.05217391304347826,True
bacc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,per_dataset,BNCI2014_001,-0.01,9,1,0.1111111111111111,True
bacc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,per_dataset,Cho2017,-0.01,52,1,0.019230769230769232,True
bacc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,per_dataset,Lee2019_MI,-0.01,54,2,0.037037037037037035,True
bacc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,subject_weighted,ALL,-0.01,115,4,0.034782608695652174,True
bacc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,per_dataset,BNCI2014_001,-0.02,9,1,0.1111111111111111,True
bacc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,per_dataset,Cho2017,-0.02,52,0,0.0,True
bacc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,per_dataset,Lee2019_MI,-0.02,54,2,0.037037037037037035,True
bacc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,subject_weighted,ALL,-0.02,115,3,0.02608695652173913,True
bacc,spdim_bias_minus_source_only_tsmnet,spdim_bias,source_only_tsmnet,per_dataset,BNCI2014_001,0.0,9,1,0.1111111111111111,True
bacc,spdim_bias_minus_source_only_tsmnet,spdim_bias,source_only_tsmnet,per_dataset,Cho2017,0.0,52,2,0.038461538461538464,True
bacc,spdim_bias_minus_source_only_tsmnet,spdim_bias,source_only_tsmnet,per_dataset,Lee2019_MI,0.0,54,3,0.05555555555555555,True
bacc,spdim_bias_minus_source_only_tsmnet,spdim_bias,source_only_tsmnet,subject_weighted,ALL,0.0,115,6,0.05217391304347826,True
bacc,spdim_bias_minus_source_only_tsmnet,spdim_bias,source_only_tsmnet,per_dataset,BNCI2014_001,-0.01,9,1,0.1111111111111111,True
bacc,spdim_bias_minus_source_only_tsmnet,spdim_bias,source_only_tsmnet,per_dataset,Cho2017,-0.01,52,1,0.019230769230769232,True
bacc,spdim_bias_minus_source_only_tsmnet,spdim_bias,source_only_tsmnet,per_dataset,Lee2019_MI,-0.01,54,3,0.05555555555555555,True
bacc,spdim_bias_minus_source_only_tsmnet,spdim_bias,source_only_tsmnet,subject_weighted,ALL,-0.01,115,5,0.043478260869565216,True
bacc,spdim_bias_minus_source_only_tsmnet,spdim_bias,source_only_tsmnet,per_dataset,BNCI2014_001,-0.02,9,1,0.1111111111111111,True
bacc,spdim_bias_minus_source_only_tsmnet,spdim_bias,source_only_tsmnet,per_dataset,Cho2017,-0.02,52,1,0.019230769230769232,True
bacc,spdim_bias_minus_source_only_tsmnet,spdim_bias,source_only_tsmnet,per_dataset,Lee2019_MI,-0.02,54,2,0.037037037037037035,True
bacc,spdim_bias_minus_source_only_tsmnet,spdim_bias,source_only_tsmnet,subject_weighted,ALL,-0.02,115,4,0.034782608695652174,True
bacc,spdim_geodesic_minus_rct,spdim_geodesic,rct,per_dataset,BNCI2014_001,0.0,9,3,0.3333333333333333,True
bacc,spdim_geodesic_minus_rct,spdim_geodesic,rct,per_dataset,Cho2017,0.0,52,29,0.5576923076923077,True
bacc,spdim_geodesic_minus_rct,spdim_geodesic,rct,per_dataset,Lee2019_MI,0.0,54,29,0.5370370370370371,True
bacc,spdim_geodesic_minus_rct,spdim_geodesic,rct,subject_weighted,ALL,0.0,115,61,0.5304347826086957,True
bacc,spdim_geodesic_minus_rct,spdim_geodesic,rct,per_dataset,BNCI2014_001,-0.01,9,0,0.0,True
bacc,spdim_geodesic_minus_rct,spdim_geodesic,rct,per_dataset,Cho2017,-0.01,52,11,0.21153846153846154,True
bacc,spdim_geodesic_minus_rct,spdim_geodesic,rct,per_dataset,Lee2019_MI,-0.01,54,15,0.2777777777777778,True
bacc,spdim_geodesic_minus_rct,spdim_geodesic,rct,subject_weighted,ALL,-0.01,115,26,0.22608695652173913,True
bacc,spdim_geodesic_minus_rct,spdim_geodesic,rct,per_dataset,BNCI2014_001,-0.02,9,0,0.0,True
bacc,spdim_geodesic_minus_rct,spdim_geodesic,rct,per_dataset,Cho2017,-0.02,52,2,0.038461538461538464,True
bacc,spdim_geodesic_minus_rct,spdim_geodesic,rct,per_dataset,Lee2019_MI,-0.02,54,7,0.12962962962962962,True
bacc,spdim_geodesic_minus_rct,spdim_geodesic,rct,subject_weighted,ALL,-0.02,115,9,0.0782608695652174,True
bacc,spdim_bias_minus_rct,spdim_bias,rct,per_dataset,BNCI2014_001,0.0,9,4,0.4444444444444444,True
bacc,spdim_bias_minus_rct,spdim_bias,rct,per_dataset,Cho2017,0.0,52,26,0.5,True
bacc,spdim_bias_minus_rct,spdim_bias,rct,per_dataset,Lee2019_MI,0.0,54,30,0.5555555555555556,True
bacc,spdim_bias_minus_rct,spdim_bias,rct,subject_weighted,ALL,0.0,115,60,0.5217391304347826,True
bacc,spdim_bias_minus_rct,spdim_bias,rct,per_dataset,BNCI2014_001,-0.01,9,3,0.3333333333333333,True
bacc,spdim_bias_minus_rct,spdim_bias,rct,per_dataset,Cho2017,-0.01,52,13,0.25,True
bacc,spdim_bias_minus_rct,spdim_bias,rct,per_dataset,Lee2019_MI,-0.01,54,25,0.46296296296296297,True
bacc,spdim_bias_minus_rct,spdim_bias,rct,subject_weighted,ALL,-0.01,115,41,0.3565217391304348,True
bacc,spdim_bias_minus_rct,spdim_bias,rct,per_dataset,BNCI2014_001,-0.02,9,1,0.1111111111111111,True
bacc,spdim_bias_minus_rct,spdim_bias,rct,per_dataset,Cho2017,-0.02,52,4,0.07692307692307693,True
bacc,spdim_bias_minus_rct,spdim_bias,rct,per_dataset,Lee2019_MI,-0.02,54,17,0.3148148148148148,True
bacc,spdim_bias_minus_rct,spdim_bias,rct,subject_weighted,ALL,-0.02,115,22,0.19130434782608696,True
