dataset_or_aggregate,metric,mean,ci_low,ci_high,n,aggregate_type,interval_label
BNCI2014_001,G,0.012860082304526727,-0.004115226337448582,0.03395061728395058,9,dataset,repaired_split_confirmatory
Cho2017,G,0.006752136752136755,-0.0004594017094017088,0.013910523504273497,52,dataset,repaired_split_confirmatory
Lee2019_MI,G,0.008024691358024687,-0.0001234567901234628,0.016790123456790124,54,dataset,repaired_split_confirmatory
subject_weighted,G,0.007827697262479871,0.0026504428341384842,0.013270531400966182,115,subject_weighted,repaired_split_confirmatory
dataset_macro,G,0.009212303471562723,0.002434004695578758,0.01721298934261896,3,dataset_macro,repaired_split_confirmatory
BNCI2014_001,P,-0.008744855967078208,-0.020061728395061748,0.0015432098765431955,9,dataset,repaired_split_confirmatory
Cho2017,P,-0.010876068376068372,-0.015267361111111107,-0.006452457264957274,52,dataset,repaired_split_confirmatory
Lee2019_MI,P,-0.008641975308641976,-0.016172839506172838,-0.0014814814814814818,54,dataset,repaired_split_confirmatory
subject_weighted,P,-0.009660225442834139,-0.013687761674718196,-0.005732648953301126,115,subject_weighted,repaired_split_confirmatory
dataset_macro,P,-0.009420966550596184,-0.014088206974781057,-0.0049498687612113575,3,dataset_macro,repaired_split_confirmatory
BNCI2014_001,I_int,0.006687242798353925,-0.0056584362139917655,0.020061728395061748,9,dataset,repaired_split_confirmatory
Cho2017,I_int,0.007350427350427351,0.0022115384615384584,0.012521901709401708,52,dataset,repaired_split_confirmatory
Lee2019_MI,I_int,0.0029629629629629624,-0.0038271604938271623,0.009629629629629623,54,dataset,repaired_split_confirmatory
subject_weighted,I_int,0.005238325281803545,0.0012028985507246354,0.009325322061191622,115,subject_weighted,repaired_split_confirmatory
dataset_macro,I_int,0.005666877703914747,0.0007107470718581855,0.011024529782631645,3,dataset_macro,repaired_split_confirmatory
BNCI2014_001,G + P + I_int,0.010802469135802444,-0.007201646090534999,0.033950617283950595,9,dataset,repaired_split_confirmatory
Cho2017,G + P + I_int,0.0032264957264957323,-0.003034989316239317,0.009605235042735041,52,dataset,repaired_split_confirmatory
Lee2019_MI,G + P + I_int,0.0023456790123456777,-0.007283950617283953,0.01222222222222222,54,dataset,repaired_split_confirmatory
subject_weighted,G + P + I_int,0.003405797101449273,-0.0021351851851851844,0.00917741545893719,115,subject_weighted,repaired_split_confirmatory
dataset_macro,G + P + I_int,0.005458214624881285,-0.001739556953677333,0.014279228658858268,3,dataset_macro,repaired_split_confirmatory
