feature,family,in_robust_core,in_endpoint_augmented,excluded
source_guard_nll,robust_core_confidence_geometry,True,True,False
source_guard_ece,robust_core_confidence_geometry,True,True,False
source_guard_entropy,robust_core_confidence_geometry,True,True,False
source_guard_confidence,robust_core_confidence_geometry,True,True,False
source_guard_margin,robust_core_confidence_geometry,True,True,False
source_guard_logit_norm,robust_core_confidence_geometry,True,True,False
source_guard_conf_on_wrong,robust_core_confidence_geometry,True,True,False
source_audit_nll,robust_core_confidence_geometry,True,True,False
source_audit_ece,robust_core_confidence_geometry,True,True,False
source_audit_entropy,robust_core_confidence_geometry,True,True,False
source_audit_confidence,robust_core_confidence_geometry,True,True,False
source_audit_margin,robust_core_confidence_geometry,True,True,False
source_audit_logit_norm,robust_core_confidence_geometry,True,True,False
source_audit_conf_on_wrong,robust_core_confidence_geometry,True,True,False
selection_leakage_point,robust_core_leakage,True,True,False
audit_leakage_point,robust_core_leakage,True,True,False
source_guard_worst_bacc,fragile_accuracy_endpoint,False,True,False
source_audit_worst_bacc,fragile_accuracy_endpoint,False,True,False
R_src,static_training_log,False,False,True
balanced_err,static_training_log,False,False,True
train_surrogate,static_training_log,False,False,True
epoch,static_training_log,False,False,True
