regime,target,robust_core_auc
S0_full_support,1,0.7033482142857143
S0_full_support,2,0.7264619883040936
S0_full_support,3,0.6676339285714286
S0_full_support,4,0.7009276437847867
S0_full_support,5,0.6150017774617845
S0_full_support,6,0.6386300093196645
S0_full_support,7,0.6168859649122806
S0_full_support,8,0.5704484195050232
S0_full_support,9,0.7317460317460317
S2_rare_cells,1,0.7604910714285714
S2_rare_cells,2,0.6947368421052632
S2_rare_cells,3,0.7162946428571428
S2_rare_cells,4,0.6883116883116883
S2_rare_cells,5,0.6238890863846427
S2_rare_cells,6,0.6029822926374651
S2_rare_cells,7,0.574780701754386
S2_rare_cells,8,0.6451850036755697
S2_rare_cells,9,0.7360544217687075
S3_nonestimable_cells,1,0.7529017857142857
S3_nonestimable_cells,2,0.6992690058479533
S3_nonestimable_cells,3,0.6787946428571429
S3_nonestimable_cells,4,0.6933209647495362
S3_nonestimable_cells,5,0.6317099182367579
S3_nonestimable_cells,6,0.625116495806151
S3_nonestimable_cells,7,0.5289473684210526
S3_nonestimable_cells,8,0.5866209262435678
S3_nonestimable_cells,9,0.6764172335600908
