held_out_regime,status,count
S4_missing_cells,scored,1268
S4_missing_cells,abstained_source_accuracy_endpoint_nonestimable,0
S4_missing_cells,abstained_insufficient_finite_features,0
S4_missing_cells,abstained_constant_or_degenerate_fold,0
S5_block_class_by_domain,scored,1268
S5_block_class_by_domain,abstained_source_accuracy_endpoint_nonestimable,0
S5_block_class_by_domain,abstained_insufficient_finite_features,0
S5_block_class_by_domain,abstained_constant_or_degenerate_fold,0
S6_boundary_aligned_mask,scored,1268
S6_boundary_aligned_mask,abstained_source_accuracy_endpoint_nonestimable,0
S6_boundary_aligned_mask,abstained_insufficient_finite_features,0
S6_boundary_aligned_mask,abstained_constant_or_degenerate_fold,0
S7_random_matched_mask,scored,1268
S7_random_matched_mask,abstained_source_accuracy_endpoint_nonestimable,0
S7_random_matched_mask,abstained_insufficient_finite_features,0
S7_random_matched_mask,abstained_constant_or_degenerate_fold,0
