pair_key,seed,target,level,selected_order,better_order,better_candidate_id,p0_pass_required,better_ucl_recovered,better_point,better_ucl,better_percentile_ucl,better_n_bootstrap,better_candidate_draw_count,better_invalid_draw_rate,runtime_seconds,recovery_status,target_labels_loaded_for_replay
0|1|0|15|16,0,1,0,15,16,s0_t001_l000_S0_full_support_o016,1,1,1.138590250123518,1.4803100678379966,1.0207075513979744,200,200,0.0,28.285548210144043,exact_replay_from_phase_a_store,0
0|1|1|14|13,0,1,1,14,13,s0_t001_l001_S0_full_support_o013,1,1,1.1389587715158704,1.417587073162629,1.0352864750420658,200,200,0.0,79.76894330978394,exact_replay_from_phase_a_store,0
0|2|0|2|1,0,2,0,2,1,s0_t002_l000_S0_full_support_o001,1,1,1.3328378006217396,1.5588127077402647,1.3058156191464878,200,200,0.0,77.53336453437805,exact_replay_from_phase_a_store,0
0|2|1|0|1,0,2,1,0,1,s0_t002_l001_S0_full_support_o001,1,1,1.1888371664945483,1.44615511236373,1.1379421060810846,200,200,0.0,22.26453709602356,exact_replay_from_phase_a_store,0
0|3|0|0|1,0,3,0,0,1,s0_t003_l000_S0_full_support_o001,1,1,1.153272039706376,1.4162157838405274,1.0843769134044812,200,200,0.0,91.12242293357849,exact_replay_from_phase_a_store,0
0|3|1|4|10,0,3,1,4,10,s0_t003_l001_S0_full_support_o010,1,1,1.3924069728601534,1.5880516262825375,1.3261517931962894,200,200,0.0,66.39450168609619,exact_replay_from_phase_a_store,0
0|4|1|2|1,0,4,1,2,1,s0_t004_l001_S0_full_support_o001,1,1,1.3113635434276674,1.5986770295917179,1.2476920139707754,200,200,0.0,23.81232738494873,exact_replay_from_phase_a_store,0
0|5|0|19|18,0,5,0,19,18,s0_t005_l000_S0_full_support_o018,1,1,1.1421225060721663,1.5146799757440195,1.0186979992915872,200,200,0.0,33.03193259239197,exact_replay_from_phase_a_store,0
0|6|1|20|19,0,6,1,20,19,s0_t006_l001_S0_full_support_o019,1,1,1.1903891024342155,1.4626600736469804,1.135736754748675,200,200,0.0,81.93304324150085,exact_replay_from_phase_a_store,0
0|7|1|5|0,0,7,1,5,0,s0_t007_l001_S0_full_support_o000,1,1,1.2820411840054342,1.5322665062216143,1.2555803813189605,200,200,0.0,63.406697273254395,exact_replay_from_phase_a_store,0
0|8|0|17|15,0,8,0,17,15,s0_t008_l000_S0_full_support_o015,1,1,0.9312035502667975,1.3033376193675332,0.8196528451595679,200,200,0.0,21.039769887924194,exact_replay_from_phase_a_store,0
0|9|0|19|18,0,9,0,19,18,s0_t009_l000_S0_full_support_o018,1,1,0.9131204017907918,1.335197833070327,0.7634792832173537,200,200,0.0,98.41636776924133,exact_replay_from_phase_a_store,0
