pair_id,pair_key,seed,target,level,regime,selected_order,better_order,global_selection_leakage_auc,global_selection_leakage_class,local_selected_lower_leakage,local_better_higher_target_utility,local_conflict,selected_low_leakage_rank_percentile,selected_target_utility_rank_percentile,selected_near_global_leakage_optimum,selected_away_from_target_optimum,local_conflict_representative_of_global_field,local_tail_only_flag
0|1|0|S0_full_support|nearest_continuous_better|15|16,0|1|0|15|16,0,1,0,S0_full_support,15,16,0.5904255319148937,aligned,1,1,1,0.0,0.631578947368421,1,1,0,0
0|1|1|S0_full_support|nearest_continuous_better|14|13,0|1|1|14|13,0,1,1,S0_full_support,14,13,0.4574468085106383,decoupled,1,0,0,0.10526315789473684,0.10526315789473684,0,0,1,0
0|2|0|S0_full_support|nearest_continuous_better|2|1,0|2|0|2|1,0,2,0,S0_full_support,2,1,0.18233618233618235,anti_aligned,1,1,1,0.0,0.9230769230769231,1,1,1,0
0|2|1|S0_full_support|nearest_continuous_better|0|1,0|2|1|0|1,0,2,1,S0_full_support,0,1,0.2852941176470588,anti_aligned,1,1,1,0.037037037037037035,0.8518518518518519,1,1,1,0
0|3|0|S0_full_support|nearest_continuous_better|0|1,0|3|0|0|1,0,3,0,S0_full_support,0,1,0.4031620553359684,anti_aligned,1,1,1,0.0,1.0,1,1,1,0
0|3|1|S0_full_support|nearest_continuous_better|4|10,0|3|1|4|10,0,3,1,S0_full_support,4,10,0.3506944444444444,anti_aligned,1,1,1,0.0,0.16666666666666666,1,0,1,0
0|4|1|S0_full_support|nearest_continuous_better|2|1,0|4|1|2|1,0,4,1,S0_full_support,2,1,0.5573192239858906,aligned,1,1,1,0.0,1.0,1,1,0,0
0|5|0|S0_full_support|nearest_continuous_better|19|18,0|5|0|19|18,0,5,0,S0_full_support,19,18,0.7052631578947368,aligned,1,0,0,0.0,0.10526315789473684,1,0,0,0
0|6|1|S0_full_support|nearest_continuous_better|20|19,0|6|1|20|19,0,6,1,S0_full_support,20,19,0.545,decoupled,1,1,1,0.1,0.45,1,1,1,0
0|7|1|S0_full_support|nearest_continuous_better|5|0,0|7|1|5|0,0,7,1,S0_full_support,5,0,0.4311594202898551,anti_aligned,1,1,1,0.0,0.2608695652173913,1,1,1,0
0|8|0|S0_full_support|nearest_continuous_better|17|15,0|8|0|17|15,0,8,0,S0_full_support,17,15,0.5736842105263158,aligned,1,0,0,0.0,0.05263157894736842,1,0,0,0
0|9|0|S0_full_support|nearest_continuous_better|19|18,0|9|0|19|18,0,9,0,S0_full_support,19,18,0.47101449275362317,decoupled,1,1,1,0.0,0.6956521739130435,1,1,1,0
0|9|1|S0_full_support|nearest_continuous_better|12|13,0|9|1|12|13,0,9,1,S0_full_support,12,13,0.5535714285714286,aligned,1,1,1,0.0,0.5555555555555556,1,1,0,0
1|1|0|S0_full_support|nearest_continuous_better|6|5,1|1|0|6|5,1,1,0,S0_full_support,6,5,0.2727272727272727,anti_aligned,1,1,1,0.0,0.9259259259259259,1,1,1,0
1|1|1|S0_full_support|nearest_continuous_better|16|15,1|1|1|16|15,1,1,1,S0_full_support,16,15,0.4304635761589404,anti_aligned,1,1,1,0.0,0.5882352941176471,1,1,1,0
1|2|0|S0_full_support|nearest_continuous_better|18|17,1|2|0|18|17,1,2,0,S0_full_support,18,17,0.33992094861660077,anti_aligned,1,1,1,0.0,0.8181818181818182,1,1,1,0
1|2|1|S0_full_support|nearest_continuous_better|2|1,1|2|1|2|1,1,2,1,S0_full_support,2,1,0.4630541871921182,decoupled,1,1,1,0.0,0.9285714285714286,1,1,1,0
1|3|0|S0_full_support|nearest_continuous_better|8|11,1|3|0|8|11,1,3,0,S0_full_support,8,11,0.47354497354497355,decoupled,1,0,0,0.0,0.0,1,0,1,0
1|3|1|S0_full_support|nearest_continuous_better|11|3,1|3|1|11|3,1,3,1,S0_full_support,11,3,0.5132275132275133,decoupled,1,1,1,0.0,0.21052631578947367,1,0,1,0
1|5|1|S0_full_support|nearest_continuous_better|17|16,1|5|1|17|16,1,5,1,S0_full_support,17,16,0.52046783625731,decoupled,1,1,1,0.0,0.3333333333333333,1,1,1,0
1|6|0|S0_full_support|nearest_continuous_better|18|17,1|6|0|18|17,1,6,0,S0_full_support,18,17,0.6714285714285714,aligned,1,1,1,0.0,0.35,1,1,0,0
1|6|1|S0_full_support|nearest_continuous_better|6|5,1|6|1|6|5,1,6,1,S0_full_support,6,5,0.4766666666666667,decoupled,1,1,1,0.0,0.875,1,1,1,0
1|7|1|S0_full_support|nearest_continuous_better|15|14,1|7|1|15|14,1,7,1,S0_full_support,15,14,0.5,decoupled,1,1,1,0.0,0.9,1,1,1,0
1|8|0|S0_full_support|nearest_continuous_better|15|14,1|8|0|15|14,1,8,0,S0_full_support,15,14,0.29365079365079366,anti_aligned,1,1,1,0.045454545454545456,0.9090909090909091,1,1,1,0
1|8|1|S0_full_support|nearest_continuous_better|21|20,1|8|1|21|20,1,8,1,S0_full_support,21,20,0.4847161572052402,decoupled,1,1,1,0.0,0.8095238095238095,1,1,1,0
1|9|1|S0_full_support|nearest_continuous_better|14|16,1|9|1|14|16,1,9,1,S0_full_support,14,16,0.5132275132275133,decoupled,1,1,1,0.0,0.42105263157894735,1,1,1,0
2|1|1|S0_full_support|nearest_continuous_better|1|0,2|1|1|1|0,2,1,1,S0_full_support,1,0,0.4738372093023256,decoupled,1,1,1,0.0,0.38461538461538464,1,1,1,0
2|2|1|S0_full_support|nearest_continuous_better|0|1,2|2|1|0|1,2,2,1,S0_full_support,0,1,0.6306818181818182,aligned,1,1,1,0.0,0.09375,1,0,0,0
2|3|0|S0_full_support|nearest_continuous_better|15|16,2|3|0|15|16,2,3,0,S0_full_support,15,16,0.41125541125541126,anti_aligned,1,1,1,0.0,0.6190476190476191,1,1,1,0
2|3|1|S0_full_support|nearest_continuous_better|5|4,2|3|1|5|4,2,3,1,S0_full_support,5,4,0.4746376811594203,decoupled,1,1,1,0.0,0.8484848484848485,1,1,1,0
2|4|0|S0_full_support|nearest_continuous_better|23|21,2|4|0|23|21,2,4,0,S0_full_support,23,21,0.57981220657277,aligned,1,1,1,0.0,0.7,1,1,0,0
2|4|1|S0_full_support|nearest_continuous_better|14|12,2|4|1|14|12,2,4,1,S0_full_support,14,12,0.5405405405405406,decoupled,1,1,1,0.0,0.21052631578947367,1,0,1,0
2|5|0|S0_full_support|nearest_continuous_better|17|15,2|5|0|17|15,2,5,0,S0_full_support,17,15,0.5281385281385281,decoupled,1,1,1,0.0,0.38095238095238093,1,1,1,0
2|6|0|S0_full_support|nearest_continuous_better|21|20,2|6|0|21|20,2,6,0,S0_full_support,21,20,0.3951612903225806,anti_aligned,1,1,1,0.0,0.8636363636363636,1,1,1,0
2|7|0|S0_full_support|nearest_continuous_better|20|18,2|7|0|20|18,2,7,0,S0_full_support,20,18,0.5,decoupled,1,1,1,0.0,0.75,1,1,1,0
2|7|1|S0_full_support|nearest_continuous_better|19|18,2|7|1|19|18,2,7,1,S0_full_support,19,18,0.49407114624505927,decoupled,1,1,1,0.09090909090909091,0.8636363636363636,1,1,1,0
2|8|0|S0_full_support|nearest_continuous_better|10|11,2|8|0|10|11,2,8,0,S0_full_support,10,11,0.524390243902439,decoupled,1,1,1,0.045454545454545456,0.5909090909090909,1,1,1,0
2|9|1|S0_full_support|nearest_continuous_better|29|23,2|9|1|29|23,2,9,1,S0_full_support,29,23,0.5241379310344828,decoupled,1,1,1,0.10344827586206896,0.6896551724137931,0,1,1,0
0|1|0|S2_rare_cells|nearest_continuous_better|15|16,0|1|0|15|16,0,1,0,S2_rare_cells,15,16,0.5904255319148937,aligned,1,1,1,0.0,0.631578947368421,1,1,0,0
0|1|1|S2_rare_cells|nearest_continuous_better|14|13,0|1|1|14|13,0,1,1,S2_rare_cells,14,13,0.4574468085106383,decoupled,1,0,0,0.10526315789473684,0.10526315789473684,0,0,1,0
0|2|0|S2_rare_cells|nearest_continuous_better|2|1,0|2|0|2|1,0,2,0,S2_rare_cells,2,1,0.18233618233618235,anti_aligned,1,1,1,0.0,0.9230769230769231,1,1,1,0
0|2|1|S2_rare_cells|nearest_continuous_better|0|1,0|2|1|0|1,0,2,1,S2_rare_cells,0,1,0.2852941176470588,anti_aligned,1,1,1,0.037037037037037035,0.8518518518518519,1,1,1,0
0|3|0|S2_rare_cells|nearest_continuous_better|0|1,0|3|0|0|1,0,3,0,S2_rare_cells,0,1,0.4031620553359684,anti_aligned,1,1,1,0.0,1.0,1,1,1,0
0|3|1|S2_rare_cells|nearest_continuous_better|4|10,0|3|1|4|10,0,3,1,S2_rare_cells,4,10,0.3506944444444444,anti_aligned,1,1,1,0.0,0.16666666666666666,1,0,1,0
0|4|1|S2_rare_cells|nearest_continuous_better|2|1,0|4|1|2|1,0,4,1,S2_rare_cells,2,1,0.5573192239858906,aligned,1,1,1,0.0,1.0,1,1,0,0
0|5|0|S2_rare_cells|nearest_continuous_better|19|18,0|5|0|19|18,0,5,0,S2_rare_cells,19,18,0.7052631578947368,aligned,1,0,0,0.0,0.10526315789473684,1,0,0,0
0|6|1|S2_rare_cells|nearest_continuous_better|20|19,0|6|1|20|19,0,6,1,S2_rare_cells,20,19,0.545,decoupled,1,1,1,0.1,0.45,1,1,1,0
0|7|1|S2_rare_cells|nearest_continuous_better|5|0,0|7|1|5|0,0,7,1,S2_rare_cells,5,0,0.4311594202898551,anti_aligned,1,1,1,0.0,0.2608695652173913,1,1,1,0
0|8|0|S2_rare_cells|nearest_continuous_better|17|15,0|8|0|17|15,0,8,0,S2_rare_cells,17,15,0.5736842105263158,aligned,1,0,0,0.0,0.05263157894736842,1,0,0,0
0|9|0|S2_rare_cells|nearest_continuous_better|19|18,0|9|0|19|18,0,9,0,S2_rare_cells,19,18,0.47101449275362317,decoupled,1,1,1,0.0,0.6956521739130435,1,1,1,0
0|9|1|S2_rare_cells|nearest_continuous_better|12|13,0|9|1|12|13,0,9,1,S2_rare_cells,12,13,0.5535714285714286,aligned,1,1,1,0.0,0.5555555555555556,1,1,0,0
1|1|0|S2_rare_cells|nearest_continuous_better|6|5,1|1|0|6|5,1,1,0,S2_rare_cells,6,5,0.2727272727272727,anti_aligned,1,1,1,0.0,0.9259259259259259,1,1,1,0
1|1|1|S2_rare_cells|nearest_continuous_better|16|15,1|1|1|16|15,1,1,1,S2_rare_cells,16,15,0.4304635761589404,anti_aligned,1,1,1,0.0,0.5882352941176471,1,1,1,0
1|2|0|S2_rare_cells|nearest_continuous_better|18|17,1|2|0|18|17,1,2,0,S2_rare_cells,18,17,0.33992094861660077,anti_aligned,1,1,1,0.0,0.8181818181818182,1,1,1,0
1|2|1|S2_rare_cells|nearest_continuous_better|2|1,1|2|1|2|1,1,2,1,S2_rare_cells,2,1,0.4630541871921182,decoupled,1,1,1,0.0,0.9285714285714286,1,1,1,0
1|3|0|S2_rare_cells|nearest_continuous_better|8|11,1|3|0|8|11,1,3,0,S2_rare_cells,8,11,0.47354497354497355,decoupled,1,0,0,0.0,0.0,1,0,1,0
1|3|1|S2_rare_cells|nearest_continuous_better|11|3,1|3|1|11|3,1,3,1,S2_rare_cells,11,3,0.5132275132275133,decoupled,1,1,1,0.0,0.21052631578947367,1,0,1,0
1|5|1|S2_rare_cells|nearest_continuous_better|17|16,1|5|1|17|16,1,5,1,S2_rare_cells,17,16,0.52046783625731,decoupled,1,1,1,0.0,0.3333333333333333,1,1,1,0
1|6|0|S2_rare_cells|nearest_continuous_better|18|17,1|6|0|18|17,1,6,0,S2_rare_cells,18,17,0.6714285714285714,aligned,1,1,1,0.0,0.35,1,1,0,0
1|6|1|S2_rare_cells|nearest_continuous_better|6|5,1|6|1|6|5,1,6,1,S2_rare_cells,6,5,0.4766666666666667,decoupled,1,1,1,0.0,0.875,1,1,1,0
1|7|1|S2_rare_cells|nearest_continuous_better|15|14,1|7|1|15|14,1,7,1,S2_rare_cells,15,14,0.5,decoupled,1,1,1,0.0,0.9,1,1,1,0
1|8|0|S2_rare_cells|nearest_continuous_better|15|14,1|8|0|15|14,1,8,0,S2_rare_cells,15,14,0.29365079365079366,anti_aligned,1,1,1,0.045454545454545456,0.9090909090909091,1,1,1,0
1|8|1|S2_rare_cells|nearest_continuous_better|21|20,1|8|1|21|20,1,8,1,S2_rare_cells,21,20,0.4847161572052402,decoupled,1,1,1,0.0,0.8095238095238095,1,1,1,0
1|9|1|S2_rare_cells|nearest_continuous_better|14|16,1|9|1|14|16,1,9,1,S2_rare_cells,14,16,0.5132275132275133,decoupled,1,1,1,0.0,0.42105263157894735,1,1,1,0
2|1|1|S2_rare_cells|nearest_continuous_better|1|0,2|1|1|1|0,2,1,1,S2_rare_cells,1,0,0.4738372093023256,decoupled,1,1,1,0.0,0.38461538461538464,1,1,1,0
2|2|1|S2_rare_cells|nearest_continuous_better|0|1,2|2|1|0|1,2,2,1,S2_rare_cells,0,1,0.6306818181818182,aligned,1,1,1,0.0,0.09375,1,0,0,0
2|3|0|S2_rare_cells|nearest_continuous_better|15|16,2|3|0|15|16,2,3,0,S2_rare_cells,15,16,0.41125541125541126,anti_aligned,1,1,1,0.0,0.6190476190476191,1,1,1,0
2|3|1|S2_rare_cells|nearest_continuous_better|5|4,2|3|1|5|4,2,3,1,S2_rare_cells,5,4,0.4746376811594203,decoupled,1,1,1,0.0,0.8484848484848485,1,1,1,0
2|4|0|S2_rare_cells|nearest_continuous_better|23|21,2|4|0|23|21,2,4,0,S2_rare_cells,23,21,0.57981220657277,aligned,1,1,1,0.0,0.7,1,1,0,0
2|4|1|S2_rare_cells|nearest_continuous_better|14|12,2|4|1|14|12,2,4,1,S2_rare_cells,14,12,0.5405405405405406,decoupled,1,1,1,0.0,0.21052631578947367,1,0,1,0
2|5|0|S2_rare_cells|nearest_continuous_better|17|15,2|5|0|17|15,2,5,0,S2_rare_cells,17,15,0.5281385281385281,decoupled,1,1,1,0.0,0.38095238095238093,1,1,1,0
2|6|0|S2_rare_cells|nearest_continuous_better|21|20,2|6|0|21|20,2,6,0,S2_rare_cells,21,20,0.3951612903225806,anti_aligned,1,1,1,0.0,0.8636363636363636,1,1,1,0
2|7|0|S2_rare_cells|nearest_continuous_better|20|18,2|7|0|20|18,2,7,0,S2_rare_cells,20,18,0.5,decoupled,1,1,1,0.0,0.75,1,1,1,0
2|7|1|S2_rare_cells|nearest_continuous_better|19|18,2|7|1|19|18,2,7,1,S2_rare_cells,19,18,0.49407114624505927,decoupled,1,1,1,0.09090909090909091,0.8636363636363636,1,1,1,0
2|8|0|S2_rare_cells|nearest_continuous_better|10|11,2|8|0|10|11,2,8,0,S2_rare_cells,10,11,0.524390243902439,decoupled,1,1,1,0.045454545454545456,0.5909090909090909,1,1,1,0
2|9|1|S2_rare_cells|nearest_continuous_better|29|23,2|9|1|29|23,2,9,1,S2_rare_cells,29,23,0.5241379310344828,decoupled,1,1,1,0.10344827586206896,0.6896551724137931,0,1,1,0
0|1|0|S3_nonestimable_cells|nearest_continuous_better|15|16,0|1|0|15|16,0,1,0,S3_nonestimable_cells,15,16,0.5904255319148937,aligned,1,1,1,0.0,0.631578947368421,1,1,0,0
0|1|1|S3_nonestimable_cells|nearest_continuous_better|14|13,0|1|1|14|13,0,1,1,S3_nonestimable_cells,14,13,0.4574468085106383,decoupled,1,0,0,0.10526315789473684,0.10526315789473684,0,0,1,0
0|2|0|S3_nonestimable_cells|nearest_continuous_better|2|1,0|2|0|2|1,0,2,0,S3_nonestimable_cells,2,1,0.18233618233618235,anti_aligned,1,1,1,0.0,0.9230769230769231,1,1,1,0
0|2|1|S3_nonestimable_cells|nearest_continuous_better|0|1,0|2|1|0|1,0,2,1,S3_nonestimable_cells,0,1,0.2852941176470588,anti_aligned,1,1,1,0.037037037037037035,0.8518518518518519,1,1,1,0
0|3|0|S3_nonestimable_cells|nearest_continuous_better|0|1,0|3|0|0|1,0,3,0,S3_nonestimable_cells,0,1,0.4031620553359684,anti_aligned,1,1,1,0.0,1.0,1,1,1,0
0|3|1|S3_nonestimable_cells|nearest_continuous_better|4|10,0|3|1|4|10,0,3,1,S3_nonestimable_cells,4,10,0.3506944444444444,anti_aligned,1,1,1,0.0,0.16666666666666666,1,0,1,0
0|4|1|S3_nonestimable_cells|nearest_continuous_better|2|1,0|4|1|2|1,0,4,1,S3_nonestimable_cells,2,1,0.5573192239858906,aligned,1,1,1,0.0,1.0,1,1,0,0
0|5|0|S3_nonestimable_cells|nearest_continuous_better|19|18,0|5|0|19|18,0,5,0,S3_nonestimable_cells,19,18,0.7052631578947368,aligned,1,0,0,0.0,0.10526315789473684,1,0,0,0
0|6|1|S3_nonestimable_cells|nearest_continuous_better|20|19,0|6|1|20|19,0,6,1,S3_nonestimable_cells,20,19,0.545,decoupled,1,1,1,0.1,0.45,1,1,1,0
0|7|1|S3_nonestimable_cells|nearest_continuous_better|5|0,0|7|1|5|0,0,7,1,S3_nonestimable_cells,5,0,0.4311594202898551,anti_aligned,1,1,1,0.0,0.2608695652173913,1,1,1,0
0|8|0|S3_nonestimable_cells|nearest_continuous_better|17|15,0|8|0|17|15,0,8,0,S3_nonestimable_cells,17,15,0.5736842105263158,aligned,1,0,0,0.0,0.05263157894736842,1,0,0,0
0|9|0|S3_nonestimable_cells|nearest_continuous_better|19|18,0|9|0|19|18,0,9,0,S3_nonestimable_cells,19,18,0.47101449275362317,decoupled,1,1,1,0.0,0.6956521739130435,1,1,1,0
0|9|1|S3_nonestimable_cells|nearest_continuous_better|12|13,0|9|1|12|13,0,9,1,S3_nonestimable_cells,12,13,0.5535714285714286,aligned,1,1,1,0.0,0.5555555555555556,1,1,0,0
1|1|0|S3_nonestimable_cells|nearest_continuous_better|6|5,1|1|0|6|5,1,1,0,S3_nonestimable_cells,6,5,0.2727272727272727,anti_aligned,1,1,1,0.0,0.9259259259259259,1,1,1,0
1|1|1|S3_nonestimable_cells|nearest_continuous_better|16|15,1|1|1|16|15,1,1,1,S3_nonestimable_cells,16,15,0.4304635761589404,anti_aligned,1,1,1,0.0,0.5882352941176471,1,1,1,0
1|2|0|S3_nonestimable_cells|nearest_continuous_better|18|17,1|2|0|18|17,1,2,0,S3_nonestimable_cells,18,17,0.33992094861660077,anti_aligned,1,1,1,0.0,0.8181818181818182,1,1,1,0
1|2|1|S3_nonestimable_cells|nearest_continuous_better|2|1,1|2|1|2|1,1,2,1,S3_nonestimable_cells,2,1,0.4630541871921182,decoupled,1,1,1,0.0,0.9285714285714286,1,1,1,0
1|3|0|S3_nonestimable_cells|nearest_continuous_better|8|11,1|3|0|8|11,1,3,0,S3_nonestimable_cells,8,11,0.47354497354497355,decoupled,1,0,0,0.0,0.0,1,0,1,0
1|3|1|S3_nonestimable_cells|nearest_continuous_better|11|3,1|3|1|11|3,1,3,1,S3_nonestimable_cells,11,3,0.5132275132275133,decoupled,1,1,1,0.0,0.21052631578947367,1,0,1,0
1|5|1|S3_nonestimable_cells|nearest_continuous_better|17|16,1|5|1|17|16,1,5,1,S3_nonestimable_cells,17,16,0.52046783625731,decoupled,1,1,1,0.0,0.3333333333333333,1,1,1,0
1|6|0|S3_nonestimable_cells|nearest_continuous_better|18|17,1|6|0|18|17,1,6,0,S3_nonestimable_cells,18,17,0.6714285714285714,aligned,1,1,1,0.0,0.35,1,1,0,0
1|6|1|S3_nonestimable_cells|nearest_continuous_better|6|5,1|6|1|6|5,1,6,1,S3_nonestimable_cells,6,5,0.4766666666666667,decoupled,1,1,1,0.0,0.875,1,1,1,0
1|7|1|S3_nonestimable_cells|nearest_continuous_better|15|14,1|7|1|15|14,1,7,1,S3_nonestimable_cells,15,14,0.5,decoupled,1,1,1,0.0,0.9,1,1,1,0
1|8|0|S3_nonestimable_cells|nearest_continuous_better|15|14,1|8|0|15|14,1,8,0,S3_nonestimable_cells,15,14,0.29365079365079366,anti_aligned,1,1,1,0.045454545454545456,0.9090909090909091,1,1,1,0
1|8|1|S3_nonestimable_cells|nearest_continuous_better|21|20,1|8|1|21|20,1,8,1,S3_nonestimable_cells,21,20,0.4847161572052402,decoupled,1,1,1,0.0,0.8095238095238095,1,1,1,0
1|9|1|S3_nonestimable_cells|nearest_continuous_better|14|16,1|9|1|14|16,1,9,1,S3_nonestimable_cells,14,16,0.5132275132275133,decoupled,1,1,1,0.0,0.42105263157894735,1,1,1,0
2|1|1|S3_nonestimable_cells|nearest_continuous_better|1|0,2|1|1|1|0,2,1,1,S3_nonestimable_cells,1,0,0.4738372093023256,decoupled,1,1,1,0.0,0.38461538461538464,1,1,1,0
2|2|1|S3_nonestimable_cells|nearest_continuous_better|0|1,2|2|1|0|1,2,2,1,S3_nonestimable_cells,0,1,0.6306818181818182,aligned,1,1,1,0.0,0.09375,1,0,0,0
2|3|0|S3_nonestimable_cells|nearest_continuous_better|15|16,2|3|0|15|16,2,3,0,S3_nonestimable_cells,15,16,0.41125541125541126,anti_aligned,1,1,1,0.0,0.6190476190476191,1,1,1,0
2|3|1|S3_nonestimable_cells|nearest_continuous_better|5|4,2|3|1|5|4,2,3,1,S3_nonestimable_cells,5,4,0.4746376811594203,decoupled,1,1,1,0.0,0.8484848484848485,1,1,1,0
2|4|0|S3_nonestimable_cells|nearest_continuous_better|23|21,2|4|0|23|21,2,4,0,S3_nonestimable_cells,23,21,0.57981220657277,aligned,1,1,1,0.0,0.7,1,1,0,0
2|4|1|S3_nonestimable_cells|nearest_continuous_better|14|12,2|4|1|14|12,2,4,1,S3_nonestimable_cells,14,12,0.5405405405405406,decoupled,1,1,1,0.0,0.21052631578947367,1,0,1,0
2|5|0|S3_nonestimable_cells|nearest_continuous_better|17|15,2|5|0|17|15,2,5,0,S3_nonestimable_cells,17,15,0.5281385281385281,decoupled,1,1,1,0.0,0.38095238095238093,1,1,1,0
2|6|0|S3_nonestimable_cells|nearest_continuous_better|21|20,2|6|0|21|20,2,6,0,S3_nonestimable_cells,21,20,0.3951612903225806,anti_aligned,1,1,1,0.0,0.8636363636363636,1,1,1,0
2|7|0|S3_nonestimable_cells|nearest_continuous_better|20|18,2|7|0|20|18,2,7,0,S3_nonestimable_cells,20,18,0.5,decoupled,1,1,1,0.0,0.75,1,1,1,0
2|7|1|S3_nonestimable_cells|nearest_continuous_better|19|18,2|7|1|19|18,2,7,1,S3_nonestimable_cells,19,18,0.49407114624505927,decoupled,1,1,1,0.09090909090909091,0.8636363636363636,1,1,1,0
2|8|0|S3_nonestimable_cells|nearest_continuous_better|10|11,2|8|0|10|11,2,8,0,S3_nonestimable_cells,10,11,0.524390243902439,decoupled,1,1,1,0.045454545454545456,0.5909090909090909,1,1,1,0
2|9|1|S3_nonestimable_cells|nearest_continuous_better|29|23,2|9|1|29|23,2,9,1,S3_nonestimable_cells,29,23,0.5241379310344828,decoupled,1,1,1,0.10344827586206896,0.6896551724137931,0,1,1,0
