trajectory_id,seed,target,level,regime,best_scalarization_id,leakage_rank_spearman,oaci_leakage_rank_percentile,oaci_source_rank_percentile,rank_top_target_utility_delta_vs_oaci,rank_top_selection_leakage_delta_vs_oaci,rank_top_target_better_than_oaci,leakage_blocks_rank_better_candidate,best_scalarization_target_utility_delta_vs_oaci,best_scalarization_target_better_than_oaci,best_scalarization_joint_good,best_scalarization_pareto_good,no_candidate_id_emitted
0|1|0|S0_full_support,0,1,0,S0_full_support,leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4,-0.6015037593984961,0.0,0.7894736842105263,-0.040637107499186254,0.30912824625759516,0,0,1.2873316699854762,1,0,0,1
0|1|0|S2_rare_cells,0,1,0,S2_rare_cells,leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4,-0.37744360902255636,0.0,0.47368421052631576,0.5282823974894073,0.23395942970186356,1,1,1.2873316699854762,1,0,0,1
0|1|0|S3_nonestimable_cells,0,1,0,S3_nonestimable_cells,leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4,-0.44360902255639095,0.0,0.5263157894736842,1.2830389530208783,0.15922573245847416,1,1,1.2873316699854762,1,0,0,1
0|1|1|S0_full_support,0,1,1,S0_full_support,leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4,-0.3789473684210526,0.10526315789473684,0.3684210526315789,-0.19939688274524392,0.2804389936806848,0,0,0.0,0,1,0,1
0|1|1|S2_rare_cells,0,1,1,S2_rare_cells,leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4,-0.5052631578947367,0.10526315789473684,0.5789473684210527,-0.19939688274524392,0.2804389936806848,0,0,0.0,0,1,0,1
0|1|1|S3_nonestimable_cells,0,1,1,S3_nonestimable_cells,leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4,-0.44060150375939844,0.10526315789473684,0.3684210526315789,-0.19939688274524392,0.2804389936806848,0,0,0.0,0,1,0,1
0|2|0|S0_full_support,0,2,0,S0_full_support,leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4,-0.6428571428571428,0.0,1.0,0.8205337090650727,0.1386750039805138,1,1,0.8205337090650727,1,1,0,1
0|2|0|S2_rare_cells,0,2,0,S2_rare_cells,leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4,-0.7106227106227105,0.0,0.5,0.8205337090650727,0.1386750039805138,1,1,0.8205337090650727,1,1,0,1
0|2|0|S3_nonestimable_cells,0,2,0,S3_nonestimable_cells,leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4,-0.7545787545787546,0.0,0.6538461538461539,0.8205337090650727,0.1386750039805138,1,1,0.8205337090650727,1,1,0,1
0|2|1|S0_full_support,0,2,1,S0_full_support,leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4,-0.8609742747673782,0.037037037037037035,0.8888888888888888,1.4348956964815172,0.2537914934269003,1,1,0.7666845342393658,1,1,0,1
