scope,seed,target,level,regime,candidate_order,neighbor_seed,neighbor_target,neighbor_level,neighbor_regime,neighbor_order,neighbor_relation,same_target,same_trajectory,source_distance,source_distance_primary,source_distance_rank_l1,source_distance_family_block,target_utility_gap,joint_good_disagreement,pareto_good_disagreement,preference_robust_disagreement,target_gauge_gap,endpoint_vector_gap_raw,endpoint_vector_gap_z,target_divergent,source_equivalent_q01,source_equivalent_q02,source_equivalent_q05,source_equivalent_q10,target_labels_diagnostic_only
within_trajectory,0,1,0,S0_full_support,0,0,1,0,S0_full_support,1,nearest_source,1,1,3.2853105565691605,3.2853105565691605,0.1826625386996904,0.7723577809248355,0.5282823974894097,0,0,0,0.022569444444444475,0.033687564196957585,0.5828672550485229,1,0,0,0,0,1
within_target,0,1,0,S0_full_support,0,0,1,0,S3_nonestimable_cells,0,nearest_source,1,0,0.34104961342316886,0.34104961342316886,0.0,0.0525170972353986,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1
cross_target,0,1,0,S0_full_support,0,2,7,0,S3_nonestimable_cells,0,nearest_source,0,0,1.9446576518499876,1.9446576518499876,0.13777089783281735,0.42576042300411565,0.3505054471628902,0,0,0,0.0035534884759121643,0.0813360545871362,0.9020095722245565,1,0,0,0,0,1
same_regime,0,1,0,S0_full_support,0,0,3,1,S0_full_support,16,nearest_source,0,0,1.961499321411008,1.961499321411008,0.16008771929824558,0.4404663041340095,0.36573396749266784,0,0,0,0.015625,0.0208401626732854,0.3939124622961497,0,0,0,0,0,1
within_trajectory,0,1,0,S0_full_support,1,0,1,0,S0_full_support,0,nearest_source,1,1,3.2853105565691605,3.2853105565691605,0.1826625386996904,0.7723577809248355,0.5282823974894097,0,0,0,0.022569444444444475,0.033687564196957585,0.5828672550485229,1,0,0,0,0,1
within_target,0,1,0,S0_full_support,1,0,1,0,S3_nonestimable_cells,1,nearest_source,1,0,0.4376103921776222,0.4376103921776222,0.015479876160990714,0.06877842930510483,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1
cross_target,0,1,0,S0_full_support,1,1,7,1,S0_full_support,2,nearest_source,0,0,2.125192515499576,2.125192515499576,0.10758513931888546,0.4998480377403629,1.3233222463019962,1,0,0,0.07465277777777773,0.16208442553523628,1.9065599101417232,1,0,0,0,0,1
same_regime,0,1,0,S0_full_support,1,1,7,1,S0_full_support,2,nearest_source,0,0,2.125192515499576,2.125192515499576,0.10758513931888546,0.4998480377403629,1.3233222463019962,1,0,0,0.07465277777777773,0.16208442553523628,1.9065599101417232,1,0,0,0,0,1
within_trajectory,0,1,0,S0_full_support,2,0,1,0,S0_full_support,0,nearest_source,1,1,3.668074608243791,3.6680746082437907,0.19040247678018574,0.8381867433285946,0.9752905799804479,0,0,0,0.041666666666666685,0.046965029987273504,0.9802578973127873,1,0,0,0,0,1
within_target,0,1,0,S0_full_support,2,0,1,0,S2_rare_cells,2,nearest_source,1,0,0.7397082355032896,0.7397082355032896,0.0030959752321981456,0.11588040904909655,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1
cross_target,0,1,0,S0_full_support,2,1,3,0,S0_full_support,18,nearest_source,0,0,1.9370996431018372,1.9370996431018372,0.15577342047930282,0.42639371163032863,1.4506314360318027,0,0,0,0.08333333333333331,0.21347832060392602,2.0854603558349316,1,0,0,0,0,1
same_regime,0,1,0,S0_full_support,2,1,3,0,S0_full_support,18,nearest_source,0,0,1.9370996431018372,1.9370996431018372,0.15577342047930282,0.42639371163032863,1.4506314360318027,0,0,0,0.08333333333333331,0.21347832060392602,2.0854603558349316,1,0,0,0,0,1
within_trajectory,0,1,0,S0_full_support,3,0,1,0,S0_full_support,0,nearest_source,1,1,3.5483244866091943,3.5483244866091943,0.16873065015479874,0.752974756818116,0.5282823974894097,0,0,0,0.022569444444444475,0.055849984588779614,0.6002954190763781,1,0,0,0,0,1
within_target,0,1,0,S0_full_support,3,0,1,0,S3_nonestimable_cells,3,nearest_source,1,0,0.36541981890607156,0.36541981890607156,0.0,0.0585840345770698,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1
