transfer_mode,target_id,trajectory_id,cell_id,n_candidates,n_donor_cells,transfer_hit,cell_base_hit,transfer_closed_fraction,target_label_derived,same_label_derived,available_at_selection_time,diagnostic_only,no_selection_artifact
T0_same_cell,1,0|1|0|S0_full_support,0|1|0|S0_full_support,20,1,1.0,0.05,1.1216216216216217,1,1,0,1,1
T0_same_cell,1,0|1|0|S2_rare_cells,0|1|0|S2_rare_cells,20,1,1.0,0.05,1.1216216216216217,1,1,0,1,1
T0_same_cell,1,0|1|0|S3_nonestimable_cells,0|1|0|S3_nonestimable_cells,20,1,1.0,0.05,1.1216216216216217,1,1,0,1,1
T0_same_cell,1,0|1|1|S0_full_support,0|1|1|S0_full_support,20,1,1.0,0.25,1.1216216216216217,1,1,0,1,1
T0_same_cell,1,0|1|1|S2_rare_cells,0|1|1|S2_rare_cells,20,1,1.0,0.25,1.1216216216216217,1,1,0,1,1
T0_same_cell,1,0|1|1|S3_nonestimable_cells,0|1|1|S3_nonestimable_cells,20,1,1.0,0.25,1.1216216216216217,1,1,0,1,1
T0_same_cell,2,0|2|0|S0_full_support,0|2|0|S0_full_support,27,1,1.0,0.5185185185185185,1.1216216216216217,1,1,0,1,1
T0_same_cell,2,0|2|0|S2_rare_cells,0|2|0|S2_rare_cells,27,1,1.0,0.5185185185185185,1.1216216216216217,1,1,0,1,1
T0_same_cell,2,0|2|0|S3_nonestimable_cells,0|2|0|S3_nonestimable_cells,27,1,1.0,0.5185185185185185,1.1216216216216217,1,1,0,1,1
T0_same_cell,2,0|2|1|S0_full_support,0|2|1|S0_full_support,28,1,1.0,0.2857142857142857,1.1216216216216217,1,1,0,1,1
T0_same_cell,2,0|2|1|S2_rare_cells,0|2|1|S2_rare_cells,28,1,1.0,0.2857142857142857,1.1216216216216217,1,1,0,1,1
T0_same_cell,2,0|2|1|S3_nonestimable_cells,0|2|1|S3_nonestimable_cells,28,1,1.0,0.2857142857142857,1.1216216216216217,1,1,0,1,1
T0_same_cell,3,0|3|0|S0_full_support,0|3|0|S0_full_support,23,1,1.0,0.7391304347826086,1.1216216216216217,1,1,0,1,1
T0_same_cell,3,0|3|0|S2_rare_cells,0|3|0|S2_rare_cells,23,1,1.0,0.7391304347826086,1.1216216216216217,1,1,0,1,1
T0_same_cell,3,0|3|0|S3_nonestimable_cells,0|3|0|S3_nonestimable_cells,23,1,1.0,0.7391304347826086,1.1216216216216217,1,1,0,1,1
T0_same_cell,3,0|3|1|S0_full_support,0|3|1|S0_full_support,25,1,0.0,0.0,-1.0675675675675675,1,1,0,1,1
T0_same_cell,3,0|3|1|S2_rare_cells,0|3|1|S2_rare_cells,25,1,0.0,0.0,-1.0675675675675675,1,1,0,1,1
T0_same_cell,3,0|3|1|S3_nonestimable_cells,0|3|1|S3_nonestimable_cells,25,1,0.0,0.0,-1.0675675675675675,1,1,0,1,1
T0_same_cell,4,0|4|0|S0_full_support,0|4|0|S0_full_support,24,1,1.0,0.625,1.1216216216216217,1,1,0,1,1
T0_same_cell,4,0|4|0|S2_rare_cells,0|4|0|S2_rare_cells,24,1,1.0,0.625,1.1216216216216217,1,1,0,1,1
T0_same_cell,4,0|4|0|S3_nonestimable_cells,0|4|0|S3_nonestimable_cells,24,1,1.0,0.625,1.1216216216216217,1,1,0,1,1
T0_same_cell,4,0|4|1|S0_full_support,0|4|1|S0_full_support,36,1,1.0,0.1111111111111111,1.1216216216216217,1,1,0,1,1
T0_same_cell,4,0|4|1|S2_rare_cells,0|4|1|S2_rare_cells,36,1,1.0,0.1111111111111111,1.1216216216216217,1,1,0,1,1
T0_same_cell,4,0|4|1|S3_nonestimable_cells,0|4|1|S3_nonestimable_cells,36,1,1.0,0.1111111111111111,1.1216216216216217,1,1,0,1,1
T0_same_cell,5,0|5|0|S0_full_support,0|5|0|S0_full_support,20,1,1.0,0.55,1.1216216216216217,1,1,0,1,1
T0_same_cell,5,0|5|0|S2_rare_cells,0|5|0|S2_rare_cells,20,1,1.0,0.55,1.1216216216216217,1,1,0,1,1
T0_same_cell,5,0|5|0|S3_nonestimable_cells,0|5|0|S3_nonestimable_cells,20,1,1.0,0.55,1.1216216216216217,1,1,0,1,1
T0_same_cell,5,0|5|1|S0_full_support,0|5|1|S0_full_support,22,1,1.0,0.045454545454545456,1.1216216216216217,1,1,0,1,1
T0_same_cell,5,0|5|1|S2_rare_cells,0|5|1|S2_rare_cells,22,1,1.0,0.045454545454545456,1.1216216216216217,1,1,0,1,1
T0_same_cell,5,0|5|1|S3_nonestimable_cells,0|5|1|S3_nonestimable_cells,22,1,1.0,0.045454545454545456,1.1216216216216217,1,1,0,1,1
T0_same_cell,6,0|6|0|S0_full_support,0|6|0|S0_full_support,22,1,1.0,0.09090909090909091,1.1216216216216217,1,1,0,1,1
T0_same_cell,6,0|6|0|S2_rare_cells,0|6|0|S2_rare_cells,22,1,1.0,0.09090909090909091,1.1216216216216217,1,1,0,1,1
T0_same_cell,6,0|6|0|S3_nonestimable_cells,0|6|0|S3_nonestimable_cells,22,1,1.0,0.09090909090909091,1.1216216216216217,1,1,0,1,1
T0_same_cell,6,0|6|1|S0_full_support,0|6|1|S0_full_support,21,1,1.0,0.09523809523809523,1.1216216216216217,1,1,0,1,1
T0_same_cell,6,0|6|1|S2_rare_cells,0|6|1|S2_rare_cells,21,1,1.0,0.09523809523809523,1.1216216216216217,1,1,0,1,1
T0_same_cell,6,0|6|1|S3_nonestimable_cells,0|6|1|S3_nonestimable_cells,21,1,1.0,0.09523809523809523,1.1216216216216217,1,1,0,1,1
T0_same_cell,7,0|7|0|S0_full_support,0|7|0|S0_full_support,21,1,1.0,0.42857142857142855,1.1216216216216217,1,1,0,1,1
T0_same_cell,7,0|7|0|S2_rare_cells,0|7|0|S2_rare_cells,21,1,1.0,0.42857142857142855,1.1216216216216217,1,1,0,1,1
T0_same_cell,7,0|7|0|S3_nonestimable_cells,0|7|0|S3_nonestimable_cells,21,1,1.0,0.42857142857142855,1.1216216216216217,1,1,0,1,1
T0_same_cell,7,0|7|1|S0_full_support,0|7|1|S0_full_support,24,1,1.0,0.25,1.1216216216216217,1,1,0,1,1
T0_same_cell,7,0|7|1|S2_rare_cells,0|7|1|S2_rare_cells,24,1,1.0,0.25,1.1216216216216217,1,1,0,1,1
T0_same_cell,7,0|7|1|S3_nonestimable_cells,0|7|1|S3_nonestimable_cells,24,1,1.0,0.25,1.1216216216216217,1,1,0,1,1
T0_same_cell,8,0|8|0|S0_full_support,0|8|0|S0_full_support,20,1,1.0,0.65,1.1216216216216217,1,1,0,1,1
T0_same_cell,8,0|8|0|S2_rare_cells,0|8|0|S2_rare_cells,20,1,1.0,0.65,1.1216216216216217,1,1,0,1,1
