budget,repeat,target_id,labels_per_class,unique_construct_trials,unique_eval_trials,within_target_spearman,within_target_kendall_tau_proxy,pairwise_order_accuracy,median_eval_pair_margin,top1_hit,top3_hit,continuous_regret,actionability_hit_regret_le_0p02,gauge_residual_recovery,gauge_alpha
0,0,1,0,0,576,,0.0,0.5,0.03125,0.041667,0.125,0.075738,0,0.0,0.0
0,0,2,0,0,576,,0.0,0.5,0.015625,0.041667,0.125,0.044126,0,0.0,0.0
0,0,3,0,0,576,,0.0,0.5,0.050347,0.041667,0.125,0.09469,0,0.0,0.0
0,0,4,0,0,576,,0.0,0.5,0.027778,0.041667,0.125,0.070602,0,0.0,0.0
0,0,5,0,0,576,,0.0,0.5,0.010417,0.041667,0.125,0.025101,0,0.0,0.0
0,0,6,0,0,576,,0.0,0.5,0.020833,0.041667,0.125,0.035446,0,0.0,0.0
0,0,7,0,0,576,,0.0,0.5,0.017361,0.041667,0.125,0.027995,0,0.0,0.0
0,0,8,0,0,576,,0.0,0.5,0.046875,0.041667,0.125,0.062355,0,0.0,0.0
0,0,9,0,0,576,,0.0,0.5,0.043403,0.041667,0.125,0.086372,0,0.0,0.0
0,1,1,0,0,576,,0.0,0.5,0.03125,0.041667,0.125,0.075738,0,0.0,0.0
0,1,2,0,0,576,,0.0,0.5,0.015625,0.041667,0.125,0.044126,0,0.0,0.0
0,1,3,0,0,576,,0.0,0.5,0.050347,0.041667,0.125,0.09469,0,0.0,0.0
0,1,4,0,0,576,,0.0,0.5,0.027778,0.041667,0.125,0.070602,0,0.0,0.0
0,1,5,0,0,576,,0.0,0.5,0.010417,0.041667,0.125,0.025101,0,0.0,0.0
0,1,6,0,0,576,,0.0,0.5,0.020833,0.041667,0.125,0.035446,0,0.0,0.0
0,1,7,0,0,576,,0.0,0.5,0.017361,0.041667,0.125,0.027995,0,0.0,0.0
0,1,8,0,0,576,,0.0,0.5,0.046875,0.041667,0.125,0.062355,0,0.0,0.0
0,1,9,0,0,576,,0.0,0.5,0.043403,0.041667,0.125,0.086372,0,0.0,0.0
0,2,1,0,0,576,,0.0,0.5,0.03125,0.041667,0.125,0.075738,0,0.0,0.0
0,2,2,0,0,576,,0.0,0.5,0.015625,0.041667,0.125,0.044126,0,0.0,0.0
0,2,3,0,0,576,,0.0,0.5,0.050347,0.041667,0.125,0.09469,0,0.0,0.0
0,2,4,0,0,576,,0.0,0.5,0.027778,0.041667,0.125,0.070602,0,0.0,0.0
0,2,5,0,0,576,,0.0,0.5,0.010417,0.041667,0.125,0.025101,0,0.0,0.0
0,2,6,0,0,576,,0.0,0.5,0.020833,0.041667,0.125,0.035446,0,0.0,0.0
0,2,7,0,0,576,,0.0,0.5,0.017361,0.041667,0.125,0.027995,0,0.0,0.0
0,2,8,0,0,576,,0.0,0.5,0.046875,0.041667,0.125,0.062355,0,0.0,0.0
0,2,9,0,0,576,,0.0,0.5,0.043403,0.041667,0.125,0.086372,0,0.0,0.0
0,3,1,0,0,576,,0.0,0.5,0.03125,0.041667,0.125,0.075738,0,0.0,0.0
0,3,2,0,0,576,,0.0,0.5,0.015625,0.041667,0.125,0.044126,0,0.0,0.0
0,3,3,0,0,576,,0.0,0.5,0.050347,0.041667,0.125,0.09469,0,0.0,0.0
0,3,4,0,0,576,,0.0,0.5,0.027778,0.041667,0.125,0.070602,0,0.0,0.0
0,3,5,0,0,576,,0.0,0.5,0.010417,0.041667,0.125,0.025101,0,0.0,0.0
0,3,6,0,0,576,,0.0,0.5,0.020833,0.041667,0.125,0.035446,0,0.0,0.0
0,3,7,0,0,576,,0.0,0.5,0.017361,0.041667,0.125,0.027995,0,0.0,0.0
0,3,8,0,0,576,,0.0,0.5,0.046875,0.041667,0.125,0.062355,0,0.0,0.0
0,3,9,0,0,576,,0.0,0.5,0.043403,0.041667,0.125,0.086372,0,0.0,0.0
0,4,1,0,0,576,,0.0,0.5,0.03125,0.041667,0.125,0.075738,0,0.0,0.0
0,4,2,0,0,576,,0.0,0.5,0.015625,0.041667,0.125,0.044126,0,0.0,0.0
0,4,3,0,0,576,,0.0,0.5,0.050347,0.041667,0.125,0.09469,0,0.0,0.0
0,4,4,0,0,576,,0.0,0.5,0.027778,0.041667,0.125,0.070602,0,0.0,0.0
0,4,5,0,0,576,,0.0,0.5,0.010417,0.041667,0.125,0.025101,0,0.0,0.0
0,4,6,0,0,576,,0.0,0.5,0.020833,0.041667,0.125,0.035446,0,0.0,0.0
0,4,7,0,0,576,,0.0,0.5,0.017361,0.041667,0.125,0.027995,0,0.0,0.0
0,4,8,0,0,576,,0.0,0.5,0.046875,0.041667,0.125,0.062355,0,0.0,0.0
0,4,9,0,0,576,,0.0,0.5,0.043403,0.041667,0.125,0.086372,0,0.0,0.0
0,5,1,0,0,576,,0.0,0.5,0.03125,0.041667,0.125,0.075738,0,0.0,0.0
0,5,2,0,0,576,,0.0,0.5,0.015625,0.041667,0.125,0.044126,0,0.0,0.0
0,5,3,0,0,576,,0.0,0.5,0.050347,0.041667,0.125,0.09469,0,0.0,0.0
0,5,4,0,0,576,,0.0,0.5,0.027778,0.041667,0.125,0.070602,0,0.0,0.0
0,5,5,0,0,576,,0.0,0.5,0.010417,0.041667,0.125,0.025101,0,0.0,0.0
0,5,6,0,0,576,,0.0,0.5,0.020833,0.041667,0.125,0.035446,0,0.0,0.0
0,5,7,0,0,576,,0.0,0.5,0.017361,0.041667,0.125,0.027995,0,0.0,0.0
0,5,8,0,0,576,,0.0,0.5,0.046875,0.041667,0.125,0.062355,0,0.0,0.0
0,5,9,0,0,576,,0.0,0.5,0.043403,0.041667,0.125,0.086372,0,0.0,0.0
0,6,1,0,0,576,,0.0,0.5,0.03125,0.041667,0.125,0.075738,0,0.0,0.0
0,6,2,0,0,576,,0.0,0.5,0.015625,0.041667,0.125,0.044126,0,0.0,0.0
0,6,3,0,0,576,,0.0,0.5,0.050347,0.041667,0.125,0.09469,0,0.0,0.0
0,6,4,0,0,576,,0.0,0.5,0.027778,0.041667,0.125,0.070602,0,0.0,0.0
0,6,5,0,0,576,,0.0,0.5,0.010417,0.041667,0.125,0.025101,0,0.0,0.0
0,6,6,0,0,576,,0.0,0.5,0.020833,0.041667,0.125,0.035446,0,0.0,0.0
0,6,7,0,0,576,,0.0,0.5,0.017361,0.041667,0.125,0.027995,0,0.0,0.0
0,6,8,0,0,576,,0.0,0.5,0.046875,0.041667,0.125,0.062355,0,0.0,0.0
0,6,9,0,0,576,,0.0,0.5,0.043403,0.041667,0.125,0.086372,0,0.0,0.0
0,7,1,0,0,576,,0.0,0.5,0.03125,0.041667,0.125,0.075738,0,0.0,0.0
0,7,2,0,0,576,,0.0,0.5,0.015625,0.041667,0.125,0.044126,0,0.0,0.0
0,7,3,0,0,576,,0.0,0.5,0.050347,0.041667,0.125,0.09469,0,0.0,0.0
0,7,4,0,0,576,,0.0,0.5,0.027778,0.041667,0.125,0.070602,0,0.0,0.0
0,7,5,0,0,576,,0.0,0.5,0.010417,0.041667,0.125,0.025101,0,0.0,0.0
0,7,6,0,0,576,,0.0,0.5,0.020833,0.041667,0.125,0.035446,0,0.0,0.0
0,7,7,0,0,576,,0.0,0.5,0.017361,0.041667,0.125,0.027995,0,0.0,0.0
0,7,8,0,0,576,,0.0,0.5,0.046875,0.041667,0.125,0.062355,0,0.0,0.0
0,7,9,0,0,576,,0.0,0.5,0.043403,0.041667,0.125,0.086372,0,0.0,0.0
0,8,1,0,0,576,,0.0,0.5,0.03125,0.041667,0.125,0.075738,0,0.0,0.0
0,8,2,0,0,576,,0.0,0.5,0.015625,0.041667,0.125,0.044126,0,0.0,0.0
0,8,3,0,0,576,,0.0,0.5,0.050347,0.041667,0.125,0.09469,0,0.0,0.0
0,8,4,0,0,576,,0.0,0.5,0.027778,0.041667,0.125,0.070602,0,0.0,0.0
0,8,5,0,0,576,,0.0,0.5,0.010417,0.041667,0.125,0.025101,0,0.0,0.0
0,8,6,0,0,576,,0.0,0.5,0.020833,0.041667,0.125,0.035446,0,0.0,0.0
0,8,7,0,0,576,,0.0,0.5,0.017361,0.041667,0.125,0.027995,0,0.0,0.0
0,8,8,0,0,576,,0.0,0.5,0.046875,0.041667,0.125,0.062355,0,0.0,0.0
0,8,9,0,0,576,,0.0,0.5,0.043403,0.041667,0.125,0.086372,0,0.0,0.0
0,9,1,0,0,576,,0.0,0.5,0.03125,0.041667,0.125,0.075738,0,0.0,0.0
0,9,2,0,0,576,,0.0,0.5,0.015625,0.041667,0.125,0.044126,0,0.0,0.0
0,9,3,0,0,576,,0.0,0.5,0.050347,0.041667,0.125,0.09469,0,0.0,0.0
