stage,target_id,budget,candidate_count,empirical_top1,finite_population_top1_lower_bound,bound_gap,bound_nontrivial
T2,1,4,24,0.16645430307539683,0.0,0.16645430307539683,0
T2,1,8,24,0.25065104166666663,0.0,0.25065104166666663,0
T2,1,16,24,0.3447265625,0.0,0.3447265625,0
T2,1,32,24,0.5338541666666667,0.0,0.5338541666666667,0
T2,1,64,24,0.978515625,0.979169109282169,-0.0006534842821690479,1
T2,1,full-construction,24,1.0,1.0,0.0,1
T2,2,4,24,0.12783668154761904,0.0,0.12783668154761904,0
T2,2,8,24,0.13753720238095238,0.0,0.13753720238095238,0
T2,2,16,24,0.19036458333333334,0.0,0.19036458333333334,0
T2,2,32,24,0.26933593749999996,0.0,0.26933593749999996,0
T2,2,64,24,0.546875,0.2747648400252324,0.2721101599747676,1
T2,2,full-construction,24,1.0,1.0,0.0,1
T2,3,4,24,0.1736807680167055,0.0,0.1736807680167055,0
T2,3,8,24,0.2537760416666667,0.0,0.2537760416666667,0
T2,3,16,24,0.448046875,0.0,0.448046875,0
T2,3,32,24,0.7415364583333334,0.4610681145240185,0.28046834380931485,1
T2,3,64,24,1.0,0.9999836390328599,1.6360967140083282e-05,1
T2,3,full-construction,24,1.0,1.0,0.0,1
T2,4,4,24,0.21909271284271284,0.0,0.21909271284271284,0
T2,4,8,24,0.39557291666666666,0.0,0.39557291666666666,0
T2,4,16,24,0.5703125,0.0,0.5703125,0
T2,4,32,24,0.9153645833333334,0.7896456015840065,0.12571898174932683,1
T2,4,64,24,1.0,1.0,0.0,1
T2,4,full-construction,24,1.0,1.0,0.0,1
T2,5,4,24,0.16275782211558865,0.0,0.16275782211558865,0
T2,5,8,24,0.18093377976190478,0.0,0.18093377976190478,0
T2,5,16,24,0.23193359374999997,0.0,0.23193359374999997,0
T2,5,32,24,0.22434895833333332,0.0,0.22434895833333332,0
T2,5,64,24,0.099609375,0.0,0.099609375,0
T2,5,full-construction,24,0.0,0.0,0.0,0
T2,6,4,24,0.05311259920634921,0.0,0.05311259920634921,0
T2,6,8,24,0.07360491071428571,0.0,0.07360491071428571,0
T2,6,16,24,0.04375,0.0,0.04375,0
T2,6,32,24,0.04654947916666667,0.0,0.04654947916666667,0
T2,6,64,24,0.0,0.0,0.0,0
T2,6,full-construction,24,0.0,0.0,0.0,0
T2,7,4,24,0.04443824404761905,0.0,0.04443824404761905,0
T2,7,8,24,0.025065104166666668,0.0,0.025065104166666668,0
T2,7,16,24,0.022591145833333333,0.0,0.022591145833333333,0
T2,7,32,24,0.0009765625,0.0,0.0009765625,0
T2,7,64,24,0.0,0.0,0.0,0
T2,7,full-construction,24,0.0,0.0,0.0,0
T2,8,4,24,0.018439980158730156,0.0,0.018439980158730156,0
T2,8,8,24,0.04189918154761905,0.0,0.04189918154761905,0
T2,8,16,24,0.016276041666666664,0.0,0.016276041666666664,0
T2,8,32,24,0.0,0.0,0.0,0
T2,8,64,24,0.0,0.0,0.0,0
T2,8,full-construction,24,0.0,0.0,0.0,0
T2,9,4,24,0.08662574404761905,0.0,0.08662574404761905,0
T2,9,8,24,0.07109375,0.0,0.07109375,0
T2,9,16,24,0.06100260416666667,0.0,0.06100260416666667,0
T2,9,32,24,0.027994791666666664,0.0,0.027994791666666664,0
T2,9,64,24,0.0,0.0,0.0,0
T2,9,full-construction,24,0.0,0.0,0.0,0
T3-HO,1,4,110,0.016031901041666668,0.0,0.016031901041666668,0
T3-HO,1,8,110,0.014322916666666666,0.0,0.014322916666666666,0
T3-HO,1,16,110,0.025390625,0.0,0.025390625,0
T3-HO,1,32,110,0.010091145833333334,0.0,0.010091145833333334,0
T3-HO,1,64,110,0.0,0.0,0.0,0
T3-HO,1,full-construction,110,0.0,0.0,0.0,0
T3-HO,2,4,142,0.03555844112484738,0.0,0.03555844112484738,0
T3-HO,2,8,142,0.04744466145833333,0.0,0.04744466145833333,0
T3-HO,2,16,142,0.06784561820652174,0.0,0.06784561820652174,0
T3-HO,2,32,142,0.12936197916666667,0.0,0.12936197916666667,0
T3-HO,2,64,142,0.17578125,0.0,0.17578125,0
T3-HO,2,full-construction,142,0.0,0.0,0.0,0
T3-HO,3,4,128,0.042934638890521244,0.0,0.042934638890521244,0
T3-HO,3,8,128,0.04398607672964291,0.0,0.04398607672964291,0
T3-HO,3,16,128,0.043939524017649015,0.0,0.043939524017649015,0
T3-HO,3,32,128,0.05598177863802864,0.0,0.05598177863802864,0
T3-HO,3,64,128,0.0,0.0,0.0,0
T3-HO,3,full-construction,128,0.0,0.0,0.0,0
T3-HO,4,4,129,0.14891962969896086,0.0,0.14891962969896086,0
T3-HO,4,8,129,0.21212487599206348,0.0,0.21212487599206348,0
T3-HO,4,16,129,0.2669921875,0.0,0.2669921875,0
T3-HO,4,32,129,0.5283203125,0.0,0.5283203125,0
T3-HO,4,64,129,0.9921875,0.9944380053391605,-0.0022505053391604912,1
T3-HO,4,full-construction,129,1.0,1.0,0.0,1
T3-HO,5,4,102,0.0582500990847728,0.0,0.0582500990847728,0
T3-HO,5,8,102,0.07121441926129427,0.0,0.07121441926129427,0
T3-HO,5,16,102,0.1705016121031746,0.0,0.1705016121031746,0
T3-HO,5,32,102,0.39752604166666666,0.0,0.39752604166666666,0
T3-HO,5,64,102,0.95703125,0.9332640895392706,0.023767160460729353,1
