stage,target_id,budget,candidate_count,best_vs_other_pairs,construction_population_trials,mean_pair_order_error_probability,max_pair_order_error_probability,mean_candidate_disagreement_probability,top1_error_union_bound,top1_hit_lower_bound,exact_pair_distribution,class_stratified_without_replacement
T2,1,4,24,23,280,0.3890755586620728,0.5255476802060776,0.36940993788819887,1.0,0.0,1,1
T2,1,8,24,23,280,0.28561629835524655,0.4704650547520078,0.36940993788819887,1.0,0.0,1,1
T2,1,16,24,23,280,0.17627667666832597,0.40572735029069457,0.36940993788819887,1.0,0.0,1,1
T2,1,32,24,23,280,0.07343348380490385,0.3053445846187205,0.36940993788819887,1.0,0.0,1,1
T2,1,64,24,23,280,0.0009056909007752571,0.0193656732968613,0.36940993788819887,0.020830890717830914,0.979169109282169,1,1
T2,1,full-construction,24,23,280,0.0,0.0,0.36940993788819887,0.0,1.0,1,1
T2,2,4,24,23,283,0.46376230517846084,0.6004752247880644,0.23075741281302808,1.0,0.0,1,1
T2,2,8,24,23,283,0.3681147815065538,0.5620642017965836,0.23075741281302808,1.0,0.0,1,1
T2,2,16,24,23,283,0.2613714704919273,0.5306093003227612,0.23075741281302808,1.0,0.0,1,1
T2,2,32,24,23,283,0.141897646289926,0.4983689416522791,0.23075741281302808,1.0,0.0,1,1
T2,2,64,24,23,283,0.03153196347716381,0.3910368867041793,0.23075741281302808,0.7252351599747676,0.2747648400252324,1,1
T2,2,full-construction,24,23,283,0.0,0.0,0.23075741281302808,0.0,1.0,1,1
T2,3,4,24,23,271,0.29571632256057345,0.4987136468909944,0.27081662120969036,1.0,0.0,1,1
T2,3,8,24,23,271,0.1811715446380432,0.41794147836588075,0.27081662120969036,1.0,0.0,1,1
T2,3,16,24,23,271,0.08706729335267473,0.32068800164201144,0.27081662120969036,1.0,0.0,1,1
T2,3,32,24,23,271,0.02343182110765137,0.1787076051282002,0.27081662120969036,0.5389318854759815,0.4610681145240185,1,1
T2,3,64,24,23,271,7.113463973937256e-07,1.636062987848641e-05,0.27081662120969036,1.636096714005569e-05,0.9999836390328599,1,1
T2,3,full-construction,24,23,271,0.0,0.0,0.27081662120969036,0.0,1.0,1,1
T2,4,4,24,23,261,0.30345859817305465,0.4351932830646812,0.2665333999666833,1.0,0.0,1,1
T2,4,8,24,23,261,0.17598548235589126,0.33284668975002424,0.2665333999666833,1.0,0.0,1,1
T2,4,16,24,23,261,0.06876896316719769,0.21009153535120717,0.2665333999666833,1.0,0.0,1,1
T2,4,32,24,23,261,0.00914584340939102,0.06410004810922487,0.2665333999666833,0.21035439841599346,0.7896456015840065,1,1
T2,4,64,24,23,261,0.0,0.0,0.2665333999666833,0.0,1.0,1,1
T2,4,full-construction,24,23,261,0.0,0.0,0.2665333999666833,0.0,1.0,1,1
T2,5,4,24,23,280,0.5340383495141775,0.6599801493216446,0.24037267080745336,1.0,0.0,1,1
T2,5,8,24,23,280,0.4541585614040575,0.644343344644433,0.24037267080745336,1.0,0.0,1,1
T2,5,16,24,23,280,0.36462877464128773,0.6502796684765336,0.24037267080745336,1.0,0.0,1,1
T2,5,32,24,23,280,0.24966513590143388,0.691606524777827,0.24037267080745336,1.0,0.0,1,1
T2,5,64,24,23,280,0.09640202604218322,0.8886436387578417,0.24037267080745336,1.0,0.0,1,1
T2,5,full-construction,24,23,280,0.043478260869565216,1.0,0.24037267080745336,1.0,0.0,1,1
T2,6,4,24,23,291,0.5706943951433722,0.7121968007738531,0.2802928432690871,1.0,0.0,1,1
T2,6,8,24,23,291,0.5266618967087223,0.7325173039914173,0.2802928432690871,1.0,0.0,1,1
T2,6,16,24,23,291,0.4841225174228924,0.7853865346955868,0.2802928432690871,1.0,0.0,1,1
T2,6,32,24,23,291,0.4331325486604328,0.8841771555181559,0.2802928432690871,1.0,0.0,1,1
T2,6,64,24,23,291,0.3366616437972091,0.9995545978042268,0.2802928432690871,1.0,0.0,1,1
T2,6,full-construction,24,23,291,0.30434782608695654,1.0,0.2802928432690871,1.0,0.0,1,1
T2,7,4,24,23,264,0.6214074288020245,0.7789358665626872,0.26515151515151514,1.0,0.0,1,1
T2,7,8,24,23,264,0.6007133334128316,0.8222837059463186,0.26515151515151514,1.0,0.0,1,1
T2,7,16,24,23,264,0.5938189913383515,0.8961451492604136,0.26515151515151514,1.0,0.0,1,1
T2,7,32,24,23,264,0.6033230994963321,0.9796277837951587,0.26515151515151514,1.0,0.0,1,1
T2,7,64,24,23,264,0.5931944406855222,1.0,0.26515151515151514,1.0,0.0,1,1
T2,7,full-construction,24,23,264,0.5217391304347826,1.0,0.26515151515151514,1.0,0.0,1,1
T2,8,4,24,23,282,0.5381667174047723,0.7460530475208704,0.28060437866173293,1.0,0.0,1,1
T2,8,8,24,23,282,0.48844734277380086,0.7874344876437663,0.28060437866173293,1.0,0.0,1,1
T2,8,16,24,23,282,0.4482265353756771,0.8603376263691013,0.28060437866173293,1.0,0.0,1,1
T2,8,32,24,23,282,0.4205831900124143,0.9571404775527219,0.28060437866173293,1.0,0.0,1,1
T2,8,64,24,23,282,0.4075364520962199,0.9999999995992209,0.28060437866173293,1.0,0.0,1,1
T2,8,full-construction,24,23,282,0.391304347826087,1.0,0.28060437866173293,1.0,0.0,1,1
T2,9,4,24,23,284,0.45188835283336304,0.7502169622953663,0.2807715860379669,1.0,0.0,1,1
T2,9,8,24,23,284,0.3671253827647455,0.7866137889965178,0.2807715860379669,1.0,0.0,1,1
T2,9,16,24,23,284,0.2845139874177188,0.8556015106390751,0.2807715860379669,1.0,0.0,1,1
T2,9,32,24,23,284,0.21436731998490743,0.9517922751806345,0.2807715860379669,1.0,0.0,1,1
T2,9,64,24,23,284,0.1772516619464531,0.9999999252409993,0.2807715860379669,1.0,0.0,1,1
T2,9,full-construction,24,23,284,0.17391304347826086,1.0,0.2807715860379669,1.0,0.0,1,1
T3-HO,1,4,110,109,280,0.4479876626863821,0.8166912113415676,0.27470511140235904,1.0,0.0,1,1
T3-HO,1,8,110,109,280,0.3579792935554765,0.8438719715293111,0.27470511140235904,1.0,0.0,1,1
T3-HO,1,16,110,109,280,0.2659707689850076,0.9054051389236278,0.27470511140235904,1.0,0.0,1,1
T3-HO,1,32,110,109,280,0.17469569574834648,0.9794188825590343,0.27470511140235904,1.0,0.0,1,1
T3-HO,1,64,110,109,280,0.08619786921093822,0.9999999999999997,0.27470511140235904,1.0,0.0,1,1
T3-HO,1,full-construction,110,109,280,0.06422018348623854,1.0,0.27470511140235904,1.0,0.0,1,1
T3-HO,2,4,142,141,283,0.4905882717290282,0.6891694391751657,0.2114126757386662,1.0,0.0,1,1
T3-HO,2,8,142,141,283,0.39812148539376796,0.6470165330419948,0.2114126757386662,1.0,0.0,1,1
T3-HO,2,16,142,141,283,0.2978669175466397,0.6284445933439938,0.2114126757386662,1.0,0.0,1,1
T3-HO,2,32,142,141,283,0.18259449743457962,0.6375245321116185,0.2114126757386662,1.0,0.0,1,1
T3-HO,2,64,142,141,283,0.05613009111662275,0.6121168397031937,0.2114126757386662,1.0,0.0,1,1
T3-HO,2,full-construction,142,141,283,0.014184397163120567,1.0,0.2114126757386662,1.0,0.0,1,1
T3-HO,3,4,128,127,271,0.35416065144735037,1.0,0.24999273614783388,1.0,0.0,1,1
T3-HO,3,8,128,127,271,0.24819822908483472,1.0,0.24999273614783388,1.0,0.0,1,1
T3-HO,3,16,128,127,271,0.16440435888992952,1.0,0.24999273614783388,1.0,0.0,1,1
T3-HO,3,32,128,127,271,0.11342148782147801,1.0,0.24999273614783388,1.0,0.0,1,1
T3-HO,3,64,128,127,271,0.09306690246212525,1.0,0.24999273614783388,1.0,0.0,1,1
T3-HO,3,full-construction,128,127,271,0.09448818897637795,1.0,0.24999273614783388,1.0,0.0,1,1
T3-HO,4,4,129,128,261,0.32154688994152014,0.541927801432854,0.34345067049808425,1.0,0.0,1,1
T3-HO,4,8,129,128,261,0.2016173804343504,0.49157373174482694,0.34345067049808425,1.0,0.0,1,1
T3-HO,4,16,129,128,261,0.09211536701834537,0.43438464353761785,0.34345067049808425,1.0,0.0,1,1
T3-HO,4,32,129,128,261,0.020850960212421023,0.3448284007931446,0.34345067049808425,1.0,0.0,1,1
T3-HO,4,64,129,128,261,4.345308328780868e-05,0.00462014829598816,0.34345067049808425,0.005561994660839511,0.9944380053391605,1,1
T3-HO,4,full-construction,129,128,261,0.0,0.0,0.34345067049808425,0.0,1.0,1,1
T3-HO,5,4,102,101,280,0.44265529654399377,0.5948932869209929,0.125,1.0,0.0,1,1
T3-HO,5,8,102,101,280,0.302964332586193,0.5218985370512884,0.125,1.0,0.0,1,1
T3-HO,5,16,102,101,280,0.16826194443526507,0.44762954970623875,0.125,1.0,0.0,1,1
T3-HO,5,32,102,101,280,0.053840963349738105,0.34970247558404216,0.125,1.0,0.0,1,1
T3-HO,5,64,102,101,280,0.0006607515887200924,0.028577435952982573,0.125,0.06673591046072934,0.9332640895392706,1,1
T3-HO,5,full-construction,102,101,280,0.0,0.0,0.125,0.0,1.0,1,1
T3-HO,6,4,108,107,291,0.4961577635934548,0.7095962988289667,0.2603654815813983,1.0,0.0,1,1
T3-HO,6,8,108,107,291,0.4219391051994766,0.7320331267759124,0.2603654815813983,1.0,0.0,1,1
T3-HO,6,16,108,107,291,0.3400520126702071,0.7868831549244812,0.2603654815813983,1.0,0.0,1,1
T3-HO,6,32,108,107,291,0.24418371054538918,0.8865808254516782,0.2603654815813983,1.0,0.0,1,1
T3-HO,6,64,108,107,291,0.12658725982921318,0.9994647792944256,0.2603654815813983,1.0,0.0,1,1
T3-HO,6,full-construction,108,107,291,0.11214953271028037,1.0,0.2603654815813983,1.0,0.0,1,1
T3-HO,7,4,112,111,264,0.564878777121682,0.8394377745204115,0.24628037128037125,1.0,0.0,1,1
T3-HO,7,8,112,111,264,0.5161790622288952,0.8912991080627718,0.24628037128037125,1.0,0.0,1,1
T3-HO,7,16,112,111,264,0.4706776437689701,0.9574527495655815,0.24628037128037125,1.0,0.0,1,1
T3-HO,7,32,112,111,264,0.42494577321101623,0.9978198755534211,0.24628037128037125,1.0,0.0,1,1
T3-HO,7,64,112,111,264,0.37953422410664944,1.0,0.24628037128037125,1.0,0.0,1,1
T3-HO,7,full-construction,112,111,264,0.36936936936936937,1.0,0.24628037128037125,1.0,0.0,1,1
T3-HO,8,4,106,105,282,0.4136319131548839,0.7954542883671828,0.2637622424856467,1.0,0.0,1,1
T3-HO,8,8,106,105,282,0.33178443304722743,0.8353463550593739,0.2637622424856467,1.0,0.0,1,1
T3-HO,8,16,106,105,282,0.26412813286832754,0.9047659023746595,0.2637622424856467,1.0,0.0,1,1
T3-HO,8,32,106,105,282,0.2153777702235646,0.9807116286755153,0.2637622424856467,1.0,0.0,1,1
T3-HO,8,64,106,105,282,0.19709457470894737,0.9999999999990974,0.2637622424856467,1.0,0.0,1,1
T3-HO,8,full-construction,106,105,282,0.19047619047619047,1.0,0.2637622424856467,1.0,0.0,1,1
T3-HO,9,4,115,114,284,0.38602527151824306,0.7363586806324306,0.27508030639980235,1.0,0.0,1,1
T3-HO,9,8,115,114,284,0.2803787133882019,0.7305349700281861,0.27508030639980235,1.0,0.0,1,1
T3-HO,9,16,115,114,284,0.17925946514449745,0.761810387969825,0.27508030639980235,1.0,0.0,1,1
T3-HO,9,32,115,114,284,0.0980004570244793,0.8467349459613369,0.27508030639980235,1.0,0.0,1,1
T3-HO,9,64,115,114,284,0.044469440800067324,0.999716494947722,0.27508030639980235,1.0,0.0,1,1
T3-HO,9,full-construction,115,114,284,0.03508771929824561,1.0,0.27508030639980235,1.0,0.0,1,1
