budget,endpoint,order,component,component_code,mean_marginal_gain
8,bAcc,N->E->U->S->G,extreme_order_geometry,E,0.6649850464989763
8,bAcc,N->E->U->G->S,extreme_order_geometry,E,0.6649850464989763
8,bAcc,N->E->S->U->G,extreme_order_geometry,E,0.6649850464989763
8,bAcc,N->E->S->G->U,extreme_order_geometry,E,0.6649850464989763
8,bAcc,N->E->G->U->S,extreme_order_geometry,E,0.6649850464989763
8,bAcc,N->E->G->S->U,extreme_order_geometry,E,0.6649850464989763
8,bAcc,N->U->E->S->G,extreme_order_geometry,E,0.6846770280730939
8,bAcc,N->U->E->G->S,extreme_order_geometry,E,0.6846770280730939
8,bAcc,N->U->S->E->G,extreme_order_geometry,E,0.769230411159035
8,bAcc,N->U->S->G->E,extreme_order_geometry,E,0.0
8,bAcc,N->U->G->E->S,extreme_order_geometry,E,0.0
8,bAcc,N->U->G->S->E,extreme_order_geometry,E,0.0
8,bAcc,N->S->E->U->G,extreme_order_geometry,E,0.769230411159035
8,bAcc,N->S->E->G->U,extreme_order_geometry,E,0.769230411159035
8,bAcc,N->S->U->E->G,extreme_order_geometry,E,0.769230411159035
8,bAcc,N->S->U->G->E,extreme_order_geometry,E,0.0
8,bAcc,N->S->G->E->U,extreme_order_geometry,E,0.0
8,bAcc,N->S->G->U->E,extreme_order_geometry,E,0.0
8,bAcc,N->G->E->U->S,extreme_order_geometry,E,0.0
8,bAcc,N->G->E->S->U,extreme_order_geometry,E,0.0
8,bAcc,N->G->U->E->S,extreme_order_geometry,E,0.0
8,bAcc,N->G->U->S->E,extreme_order_geometry,E,0.0
8,bAcc,N->G->S->E->U,extreme_order_geometry,E,0.0
8,bAcc,N->G->S->U->E,extreme_order_geometry,E,0.0
8,bAcc,E->N->U->S->G,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->N->U->G->S,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->N->S->U->G,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->N->S->G->U,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->N->G->U->S,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->N->G->S->U,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->U->N->S->G,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->U->N->G->S,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->U->S->N->G,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->U->S->G->N,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->U->G->N->S,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->U->G->S->N,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->S->N->U->G,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->S->N->G->U,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->S->U->N->G,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->S->U->G->N,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->S->G->N->U,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->S->G->U->N,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->G->N->U->S,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->G->N->S->U,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->G->U->N->S,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->G->U->S->N,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->G->S->N->U,extreme_order_geometry,E,0.6602471232287589
8,bAcc,E->G->S->U->N,extreme_order_geometry,E,0.6602471232287589
8,bAcc,U->N->E->S->G,extreme_order_geometry,E,0.6846770280730939
8,bAcc,U->N->E->G->S,extreme_order_geometry,E,0.6846770280730939
8,bAcc,U->N->S->E->G,extreme_order_geometry,E,0.769230411159035
8,bAcc,U->N->S->G->E,extreme_order_geometry,E,0.0
8,bAcc,U->N->G->E->S,extreme_order_geometry,E,0.0
8,bAcc,U->N->G->S->E,extreme_order_geometry,E,0.0
8,bAcc,U->E->N->S->G,extreme_order_geometry,E,0.6846770280730939
8,bAcc,U->E->N->G->S,extreme_order_geometry,E,0.6846770280730939
8,bAcc,U->E->S->N->G,extreme_order_geometry,E,0.6846770280730939
8,bAcc,U->E->S->G->N,extreme_order_geometry,E,0.6846770280730939
8,bAcc,U->E->G->N->S,extreme_order_geometry,E,0.6846770280730939
8,bAcc,U->E->G->S->N,extreme_order_geometry,E,0.6846770280730939
8,bAcc,U->S->N->E->G,extreme_order_geometry,E,0.769230411159035
8,bAcc,U->S->N->G->E,extreme_order_geometry,E,0.0
8,bAcc,U->S->E->N->G,extreme_order_geometry,E,0.769230411159035
8,bAcc,U->S->E->G->N,extreme_order_geometry,E,0.769230411159035
8,bAcc,U->S->G->N->E,extreme_order_geometry,E,0.0
8,bAcc,U->S->G->E->N,extreme_order_geometry,E,0.0
8,bAcc,U->G->N->E->S,extreme_order_geometry,E,0.0
8,bAcc,U->G->N->S->E,extreme_order_geometry,E,0.0
8,bAcc,U->G->E->N->S,extreme_order_geometry,E,0.0
8,bAcc,U->G->E->S->N,extreme_order_geometry,E,0.0
8,bAcc,U->G->S->N->E,extreme_order_geometry,E,0.0
8,bAcc,U->G->S->E->N,extreme_order_geometry,E,0.0
8,bAcc,S->N->E->U->G,extreme_order_geometry,E,0.769230411159035
8,bAcc,S->N->E->G->U,extreme_order_geometry,E,0.769230411159035
8,bAcc,S->N->U->E->G,extreme_order_geometry,E,0.769230411159035
8,bAcc,S->N->U->G->E,extreme_order_geometry,E,0.0
8,bAcc,S->N->G->E->U,extreme_order_geometry,E,0.0
8,bAcc,S->N->G->U->E,extreme_order_geometry,E,0.0
8,bAcc,S->E->N->U->G,extreme_order_geometry,E,0.769230411159035
8,bAcc,S->E->N->G->U,extreme_order_geometry,E,0.769230411159035
8,bAcc,S->E->U->N->G,extreme_order_geometry,E,0.769230411159035
8,bAcc,S->E->U->G->N,extreme_order_geometry,E,0.769230411159035
8,bAcc,S->E->G->N->U,extreme_order_geometry,E,0.769230411159035
8,bAcc,S->E->G->U->N,extreme_order_geometry,E,0.769230411159035
8,bAcc,S->U->N->E->G,extreme_order_geometry,E,0.769230411159035
8,bAcc,S->U->N->G->E,extreme_order_geometry,E,0.0
8,bAcc,S->U->E->N->G,extreme_order_geometry,E,0.769230411159035
8,bAcc,S->U->E->G->N,extreme_order_geometry,E,0.769230411159035
8,bAcc,S->U->G->N->E,extreme_order_geometry,E,0.0
8,bAcc,S->U->G->E->N,extreme_order_geometry,E,0.0
8,bAcc,S->G->N->E->U,extreme_order_geometry,E,0.0
8,bAcc,S->G->N->U->E,extreme_order_geometry,E,0.0
8,bAcc,S->G->E->N->U,extreme_order_geometry,E,0.0
8,bAcc,S->G->E->U->N,extreme_order_geometry,E,0.0
8,bAcc,S->G->U->N->E,extreme_order_geometry,E,0.0
8,bAcc,S->G->U->E->N,extreme_order_geometry,E,0.0
8,bAcc,G->N->E->U->S,extreme_order_geometry,E,0.0
8,bAcc,G->N->E->S->U,extreme_order_geometry,E,0.0
8,bAcc,G->N->U->E->S,extreme_order_geometry,E,0.0
8,bAcc,G->N->U->S->E,extreme_order_geometry,E,0.0
8,bAcc,G->N->S->E->U,extreme_order_geometry,E,0.0
8,bAcc,G->N->S->U->E,extreme_order_geometry,E,0.0
8,bAcc,G->E->N->U->S,extreme_order_geometry,E,0.0
8,bAcc,G->E->N->S->U,extreme_order_geometry,E,0.0
8,bAcc,G->E->U->N->S,extreme_order_geometry,E,0.0
8,bAcc,G->E->U->S->N,extreme_order_geometry,E,0.0
8,bAcc,G->E->S->N->U,extreme_order_geometry,E,0.0
8,bAcc,G->E->S->U->N,extreme_order_geometry,E,0.0
8,bAcc,G->U->N->E->S,extreme_order_geometry,E,0.0
8,bAcc,G->U->N->S->E,extreme_order_geometry,E,0.0
8,bAcc,G->U->E->N->S,extreme_order_geometry,E,0.0
8,bAcc,G->U->E->S->N,extreme_order_geometry,E,0.0
8,bAcc,G->U->S->N->E,extreme_order_geometry,E,0.0
8,bAcc,G->U->S->E->N,extreme_order_geometry,E,0.0
8,bAcc,G->S->N->E->U,extreme_order_geometry,E,0.0
8,bAcc,G->S->N->U->E,extreme_order_geometry,E,0.0
8,bAcc,G->S->E->N->U,extreme_order_geometry,E,0.0
8,bAcc,G->S->E->U->N,extreme_order_geometry,E,0.0
8,bAcc,G->S->U->N->E,extreme_order_geometry,E,0.0
8,bAcc,G->S->U->E->N,extreme_order_geometry,E,0.0
8,bAcc,N->E->U->S->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,N->E->U->G->S,candidate_specific_unexplained_residual,G,0.09310074970468384
8,bAcc,N->E->S->U->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,N->E->S->G->U,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,N->E->G->U->S,candidate_specific_unexplained_residual,G,0.11279273127880167
8,bAcc,N->E->G->S->U,candidate_specific_unexplained_residual,G,0.11279273127880167
8,bAcc,N->U->E->S->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,N->U->E->G->S,candidate_specific_unexplained_residual,G,0.09310074970468384
8,bAcc,N->U->S->E->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,N->U->S->G->E,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,N->U->G->E->S,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,N->U->G->S->E,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,N->S->E->U->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,N->S->E->G->U,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,N->S->U->E->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,N->S->U->G->E,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,N->S->G->E->U,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,N->S->G->U->E,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,N->G->E->U->S,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,N->G->E->S->U,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,N->G->U->E->S,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,N->G->U->S->E,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,N->G->S->E->U,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,N->G->S->U->E,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,E->N->U->S->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,E->N->U->G->S,candidate_specific_unexplained_residual,G,0.09310074970468384
8,bAcc,E->N->S->U->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,E->N->S->G->U,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,E->N->G->U->S,candidate_specific_unexplained_residual,G,0.11279273127880167
8,bAcc,E->N->G->S->U,candidate_specific_unexplained_residual,G,0.11279273127880167
8,bAcc,E->U->N->S->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,E->U->N->G->S,candidate_specific_unexplained_residual,G,0.09310074970468384
8,bAcc,E->U->S->N->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,E->U->S->G->N,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,E->U->G->N->S,candidate_specific_unexplained_residual,G,0.09310074970468384
8,bAcc,E->U->G->S->N,candidate_specific_unexplained_residual,G,0.09310074970468384
8,bAcc,E->S->N->U->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,E->S->N->G->U,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,E->S->U->N->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,E->S->U->G->N,candidate_specific_unexplained_residual,G,0.11965847772985379
