metric,expected,observed,tolerance,passed
T3_target_universe_mean_M,116.88888888888889,116.88888888888889,1e-09,1
T3_target_universe_min_M,102,102,1e-09,1
T3_target_universe_max_M,142,142,1e-09,1
baseline_full_spearman,0.5574567834883621,0.5574567834883621,1e-09,1
baseline_full_top1,0.2222222222222222,0.2222222222222222,1e-09,1
median_top_two_bAcc_gap,0.012916,0.012915928031460744,5e-07,1
T3_source_plus_construct_r2,0.5684215566765364,0.5684215566765364,1e-09,1
T3_residual_variance_fraction,0.4315784433234636,0.4315784433234636,1e-09,1
full_share:construction_utility_mismatch,0.0,0.0,1e-12,1
full_share:extreme_order_localization,0.44014951804698893,0.44014951804698893,1e-12,1
full_share:finite_label_noise,0.0,0.0,1e-12,1
full_share:residual_candidate_specific_gauge,0.5598504819530111,0.5598504819530111,1e-12,1
