unit_id,target_id,model_factory,input_shape,representation_shape,W_shape,b_shape,checkpoint_file_sha256,state_hash_after,state_hash_unchanged,passed
c74u_bcae1769111be523,1,shallow_convnet,"[22, 385]",[800],"[4, 800]",[4],79ed1a05147a8ae0a7faa7e4d217b9829bf9d1e91245b08a641c5162f58ff4f3,4b4247ebfcfbf9dd8781809751032d77847c84fc4e2355212f61309031fd019f,1,1
c74u_bbe9f8ae3d870b20,1,shallow_convnet,"[22, 385]",[800],"[4, 800]",[4],f12b03eadb196926da9691b505c369d834e4883d9c43b042aacc4f67625e360b,8c6c433fe015330b812b9516902838d9e4d832e515a941e8f18b084d955b4123,1,1
c74u_e06e178902b8d971,1,shallow_convnet,"[22, 385]",[800],"[4, 800]",[4],967360782c8fa1e494fef1e136fcd15739807b5944900ab4074b4624a99ec3e2,0b03857e894c15bb0a7fce1e581b72a5f60d3d21fb07f98827365d1c5dacd059,1,1
c74u_2935c128f8af4ed1,1,shallow_convnet,"[22, 385]",[800],"[4, 800]",[4],fa84b7f50dcb198054e9656840730f71f16a7f5609229b6e8ea999e9d83c288e,9943cdeb31d288407e21c7e7a50f1902bed84ffb8ba2174f59e6bedd1eb4a735,1,1
c74u_6baa1b4612b5477c,1,shallow_convnet,"[22, 385]",[800],"[4, 800]",[4],27ccee3d1bbd1418b98bdb2c865a83b265c7188afe78b3c21a46f6f1f11e3152,9c9b13db9b9466499a179188ae38ae05af22e0eaf2de93d9a371471c0d8f64ca,1,1
c74u_1033b56a972f99ef,1,shallow_convnet,"[22, 385]",[800],"[4, 800]",[4],8f18f3a714faf39a76d9911a73c24c46094bd5705cdc20098259151a3d7d12a4,4943d5559d5147484697b03dc14ed341ef48802c7fde66fd800f94ec02c7bd45,1,1
c74u_2fa9be2c7e13484c,1,shallow_convnet,"[22, 385]",[800],"[4, 800]",[4],2dc4641ae6d56e734b7b2005673f2b137a3e427f7815c8053468666f2e0f3059,8d87c088be250c8f54cf36e6f20d26ff8e9e80123b8b1594a6083d71d447301c,1,1
c74u_cb4c43742628186b,1,shallow_convnet,"[22, 385]",[800],"[4, 800]",[4],8df874b09374627fad1bc507f257c5380eb19e6d5ed75555b6115ced68a23157,286dde7531dbf741514e12552f454ebeaf8d382d022afb58a1979aa1562eaf78,1,1
c74u_8fe1abbe3e845501,1,shallow_convnet,"[22, 385]",[800],"[4, 800]",[4],d17a214ce0bb3c4001d9614dc60319c9cd809832f1cc488b11a7a496fc7ed3f1,6c5d701d5ec7f151b91b2898c34ee53c41960cb63627000f16ec9b34c2ecab3c,1,1
c74u_af009f0f31d27844,1,shallow_convnet,"[22, 385]",[800],"[4, 800]",[4],213bf2c405ea4da8ffeef1f819cfb21a29da7df1ffb04481badae386b4cfe54a,3e8da3a764f1c212cdab355c6fa73ae9074dbb1acd2a0283d89f76175185039a,1,1
