path,new_block,outcome,observed_incremental_R2,primary_nested_null_mean,primary_nested_null_p95,uncorrected_p,max_stat_corrected_p,secondary_nested_null_mean,secondary_nested_null_p95,secondary_uncorrected_p,null_replicates,null_scheme,secondary_null_scheme,outer_fold_alphas_frozen_from_observed_nested_crossfit
P_F1_strict_functional,F1,continuous_joint_utility,-0.07458026094948977,-0.05469937157603549,-0.019030889788172443,0.82,1.0,-0.055286761412762085,-0.016887669917966867,0.828,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F1_strict_functional,F1,bAcc,-0.020153106662717635,-0.023045139387498068,0.006345804219697582,0.45,1.0,-0.016109562957269372,0.013798621720143072,0.6,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F1_strict_functional,F1,negNLL,-0.07559502610737034,-0.06010418556480415,-0.015665552635385323,0.688,1.0,-0.047625191191763276,-0.007081082429430474,0.874,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F1_strict_functional,F1,negECE,-0.04200489450374467,-0.04231584562862591,0.0030263294893956346,0.494,1.0,-0.04266824164088961,0.007400390897450081,0.49,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F1_strict_functional,F1,primary_joint_good,-0.029979641709340865,-0.025237470369887563,0.005105338734111706,0.604,1.0,-0.022390634985193416,0.007185423021077463,0.69,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F1_strict_functional,F1,unexplained_candidate_specific_residual,-0.0034166476326558115,-0.0012287967016663048,4.769365009775743e-05,1.0,1.0,3.545927310013379e-05,0.0016015071266129554,0.996,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F2_strict_architecture,F2,continuous_joint_utility,0.01619135041359243,0.014059960928719795,0.04400854303717955,0.408,1.0,0.019988178054492663,0.04564167205521511,0.604,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F2_strict_architecture,F2,bAcc,0.0056366353345760345,0.009214593696149428,0.040395997926257574,0.578,1.0,0.012642416293577022,0.04437836908166423,0.64,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F2_strict_architecture,F2,negNLL,0.048124256545171384,0.04338298605720243,0.05570317259360088,0.276,0.994,0.0429449352604796,0.05524810635293648,0.256,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F2_strict_architecture,F2,negECE,0.009160754594631837,0.009080133213773454,0.022293758345561306,0.478,1.0,0.00835227711385774,0.022122213545952316,0.442,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F2_strict_architecture,F2,primary_joint_good,-0.03465388583215012,-0.019548936554413705,0.007588234639843512,0.832,1.0,-0.008495772491711908,0.016563563079443497,0.952,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F2_strict_architecture,F2,unexplained_candidate_specific_residual,-0.00015834971485118032,-0.0009962629456381337,0.0005648625513893659,0.202,1.0,-2.0447386312028715e-05,0.0020803305926911926,0.536,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F3_target_functional,F3,continuous_joint_utility,0.2490877357059459,0.007611091608492813,0.0813206925447048,0.002,0.02,0.01755337106489738,0.08180007179740993,0.002,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F3_target_functional,F3,bAcc,0.025547333934069827,0.02597629451076327,0.03649161799384056,0.534,1.0,0.029289016673891055,0.03957832072532201,0.734,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F3_target_functional,F3,negNLL,0.46371975059220905,-0.18522817774974257,-0.03197803996841739,0.002,0.002,-0.1633846844607332,-0.051619788472657246,0.002,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F3_target_functional,F3,negECE,0.4744272519682986,-0.1843914224460975,-0.04244052338988941,0.002,0.002,-0.17426019216975494,-0.04961926141402275,0.002,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F3_target_functional,F3,primary_joint_good,-0.024554625073161196,-0.02415743635234032,0.009460580849281712,0.516,1.0,-0.02258445555668697,0.011099533875152365,0.534,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F3_target_functional,F3,unexplained_candidate_specific_residual,-0.006341514510667334,-0.0013176366773677939,-3.863858735602192e-05,1.0,1.0,-2.23389061286538e-05,0.0017209279607531378,1.0,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F4_target_architecture,F4,continuous_joint_utility,-0.20834335698132767,-0.18401138851414428,-0.12605585686508758,0.752,1.0,-0.14363160590928137,-0.09143027553293201,0.964,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F4_target_architecture,F4,bAcc,-0.003416957664151843,-0.020326942475962693,-0.002684681806808916,0.056,1.0,-0.006172417492879396,0.012420123002915682,0.378,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F4_target_architecture,F4,negNLL,0.0050317116528845185,-0.09390516111754689,-0.03187030830636633,0.012,1.0,-0.09695003836195824,-0.03419308876562965,0.004,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F4_target_architecture,F4,negECE,0.019333356475393804,-0.04360110306385989,-0.004042951972801656,0.006,1.0,-0.02089192199088804,0.019982786547600908,0.058,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F4_target_architecture,F4,primary_joint_good,0.020673354170098746,0.0007903183511051013,0.03949608078859772,0.232,1.0,0.022093801363128582,0.05293050460873663,0.534,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
