feature_set,path,conditioning,kernel,bandwidth_factor,statistic,association
strict_source_G2_Wz,strict_source,metadata_seed_level_order,rbf,0.5,normalized_alignment,0.02379878058825069
strict_source_G2_Wz,strict_source,source_performance,rbf,0.5,normalized_alignment,0.005509162987328584
strict_source_G2_Wz,strict_source,construction_competence,rbf,0.5,normalized_alignment,-0.01078085984051624
strict_source_G2_Wz,strict_source,functional_logits_probabilities,rbf,0.5,normalized_alignment,-0.03429738280485698
strict_source_G2_Wz,strict_source,metadata_seed_level_order,rbf,0.5,centered_hsic,0.21762253108062782
strict_source_G2_Wz,strict_source,source_performance,rbf,0.5,centered_hsic,0.1978112532474057
strict_source_G2_Wz,strict_source,construction_competence,rbf,0.5,centered_hsic,0.17828876978511404
strict_source_G2_Wz,strict_source,functional_logits_probabilities,rbf,0.5,centered_hsic,0.1338432575745108
strict_source_G2_Wz,strict_source,metadata_seed_level_order,rbf,1.0,normalized_alignment,-0.015618824009930735
strict_source_G2_Wz,strict_source,source_performance,rbf,1.0,normalized_alignment,-0.02781187471083542
strict_source_G2_Wz,strict_source,construction_competence,rbf,1.0,normalized_alignment,-0.02993763780105635
strict_source_G2_Wz,strict_source,functional_logits_probabilities,rbf,1.0,normalized_alignment,-0.04093870949035383
strict_source_G2_Wz,strict_source,metadata_seed_level_order,rbf,1.0,centered_hsic,0.18548744754934499
strict_source_G2_Wz,strict_source,source_performance,rbf,1.0,centered_hsic,0.15179964415305083
strict_source_G2_Wz,strict_source,construction_competence,rbf,1.0,centered_hsic,0.14883701317641304
strict_source_G2_Wz,strict_source,functional_logits_probabilities,rbf,1.0,centered_hsic,0.09215305816712949
strict_source_G2_Wz,strict_source,metadata_seed_level_order,rbf,2.0,normalized_alignment,-0.03667653361992443
strict_source_G2_Wz,strict_source,source_performance,rbf,2.0,normalized_alignment,-0.04129956845529604
strict_source_G2_Wz,strict_source,construction_competence,rbf,2.0,normalized_alignment,-0.041319868506233176
strict_source_G2_Wz,strict_source,functional_logits_probabilities,rbf,2.0,normalized_alignment,-0.0439474489743068
strict_source_G2_Wz,strict_source,metadata_seed_level_order,rbf,2.0,centered_hsic,0.1516863459828096
strict_source_G2_Wz,strict_source,source_performance,rbf,2.0,centered_hsic,0.11299313219804269
strict_source_G2_Wz,strict_source,construction_competence,rbf,2.0,centered_hsic,0.12454136099156707
strict_source_G2_Wz,strict_source,functional_logits_probabilities,rbf,2.0,centered_hsic,0.07189497470339348
strict_source_G2_Wz,strict_source,metadata_seed_level_order,laplacian,0.5,normalized_alignment,0.007886234146985369
strict_source_G2_Wz,strict_source,source_performance,laplacian,0.5,normalized_alignment,-0.010539534447578028
strict_source_G2_Wz,strict_source,construction_competence,laplacian,0.5,normalized_alignment,-0.019905584041547093
strict_source_G2_Wz,strict_source,functional_logits_probabilities,laplacian,0.5,normalized_alignment,-0.03646817872163947
strict_source_G2_Wz,strict_source,metadata_seed_level_order,laplacian,0.5,centered_hsic,0.22920868570257882
strict_source_G2_Wz,strict_source,source_performance,laplacian,0.5,centered_hsic,0.21299771912568877
strict_source_G2_Wz,strict_source,construction_competence,laplacian,0.5,centered_hsic,0.20516832470980875
strict_source_G2_Wz,strict_source,functional_logits_probabilities,laplacian,0.5,centered_hsic,0.17853384888630766
strict_source_G2_Wz,strict_source,metadata_seed_level_order,laplacian,1.0,normalized_alignment,-0.015326047695293055
strict_source_G2_Wz,strict_source,source_performance,laplacian,1.0,normalized_alignment,-0.027307764792126692
strict_source_G2_Wz,strict_source,construction_competence,laplacian,1.0,normalized_alignment,-0.03092806949851301
strict_source_G2_Wz,strict_source,functional_logits_probabilities,laplacian,1.0,normalized_alignment,-0.041522298092946476
strict_source_G2_Wz,strict_source,metadata_seed_level_order,laplacian,1.0,centered_hsic,0.2242131471195727
strict_source_G2_Wz,strict_source,source_performance,laplacian,1.0,centered_hsic,0.19974413968870064
strict_source_G2_Wz,strict_source,construction_competence,laplacian,1.0,centered_hsic,0.19257017686942351
strict_source_G2_Wz,strict_source,functional_logits_probabilities,laplacian,1.0,centered_hsic,0.1520849472870931
strict_source_G2_Wz,strict_source,metadata_seed_level_order,laplacian,2.0,normalized_alignment,-0.029982124808742978
strict_source_G2_Wz,strict_source,source_performance,laplacian,2.0,normalized_alignment,-0.03684913426461958
strict_source_G2_Wz,strict_source,construction_competence,laplacian,2.0,normalized_alignment,-0.038218962839247646
strict_source_G2_Wz,strict_source,functional_logits_probabilities,laplacian,2.0,normalized_alignment,-0.04382581082569853
strict_source_G2_Wz,strict_source,metadata_seed_level_order,laplacian,2.0,centered_hsic,0.21292387147014155
strict_source_G2_Wz,strict_source,source_performance,laplacian,2.0,centered_hsic,0.1826502880832573
strict_source_G2_Wz,strict_source,construction_competence,laplacian,2.0,centered_hsic,0.17961198375301884
strict_source_G2_Wz,strict_source,functional_logits_probabilities,laplacian,2.0,centered_hsic,0.13219953334289045
strict_source_G3_architecture,strict_source,metadata_seed_level_order,rbf,0.5,normalized_alignment,0.0125401322637046
strict_source_G3_architecture,strict_source,source_performance,rbf,0.5,normalized_alignment,0.027269761470885247
strict_source_G3_architecture,strict_source,construction_competence,rbf,0.5,normalized_alignment,-0.013388053172679201
strict_source_G3_architecture,strict_source,functional_logits_probabilities,rbf,0.5,normalized_alignment,-0.0029758681444884932
strict_source_G3_architecture,strict_source,metadata_seed_level_order,rbf,0.5,centered_hsic,0.21046792333492126
strict_source_G3_architecture,strict_source,source_performance,rbf,0.5,centered_hsic,0.2264647658603463
strict_source_G3_architecture,strict_source,construction_competence,rbf,0.5,centered_hsic,0.1935389880630353
strict_source_G3_architecture,strict_source,functional_logits_probabilities,rbf,0.5,centered_hsic,0.20406746933748365
strict_source_G3_architecture,strict_source,metadata_seed_level_order,rbf,1.0,normalized_alignment,-0.019359778782820528
strict_source_G3_architecture,strict_source,source_performance,rbf,1.0,normalized_alignment,-0.014530642038466355
strict_source_G3_architecture,strict_source,construction_competence,rbf,1.0,normalized_alignment,-0.03662129194943639
strict_source_G3_architecture,strict_source,functional_logits_probabilities,rbf,1.0,normalized_alignment,-0.0266622671750666
strict_source_G3_architecture,strict_source,metadata_seed_level_order,rbf,1.0,centered_hsic,0.19419632314855212
strict_source_G3_architecture,strict_source,source_performance,rbf,1.0,centered_hsic,0.2154363526179005
