feature_set,path,kernel,bandwidth_factor,statistic,trajectory_template,row_count,association
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.03260150730896987
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,seed-0|level-1|S0_full_support,36,0.022658265805683326
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.010315388835070988
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.036793695434283714
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.04635518675519062
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.0013458466675852542
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,seed-0|level-0|S0_full_support,36,0.08806645737679418
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,seed-0|level-1|S0_full_support,36,0.15573807645657844
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,seed-1|level-0|S0_full_support,36,0.12272533717778662
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,seed-1|level-1|S0_full_support,36,0.07760372136413271
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,seed-2|level-0|S0_full_support,36,0.08044789910831834
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,seed-2|level-1|S0_full_support,36,0.1386516866444519
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.03596660776454538
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.007411926432700656
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.018918626537394567
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.03665347399554111
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.04103089186636035
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.024728515136791633
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,seed-0|level-0|S0_full_support,36,0.033468047866836506
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,seed-0|level-1|S0_full_support,36,0.12664272371219226
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,seed-1|level-0|S0_full_support,36,0.09962281970421462
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,seed-1|level-1|S0_full_support,36,0.0291932017296188
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,seed-2|level-0|S0_full_support,36,0.026580802157011103
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,seed-2|level-1|S0_full_support,36,0.0751554572924314
strict_source_G2_Wz,strict_source,rbf,2.0,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.03171642117146274
strict_source_G2_Wz,strict_source,rbf,2.0,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.022595882326942218
strict_source_G2_Wz,strict_source,rbf,2.0,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.025934419817865394
strict_source_G2_Wz,strict_source,rbf,2.0,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.03147159877145508
strict_source_G2_Wz,strict_source,rbf,2.0,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.03289235246675749
strict_source_G2_Wz,strict_source,rbf,2.0,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.030611856696803264
strict_source_G2_Wz,strict_source,rbf,2.0,centered_hsic,seed-0|level-0|S0_full_support,36,0.016745963659155264
strict_source_G2_Wz,strict_source,rbf,2.0,centered_hsic,seed-0|level-1|S0_full_support,36,0.11442486930534079
strict_source_G2_Wz,strict_source,rbf,2.0,centered_hsic,seed-1|level-0|S0_full_support,36,0.08677274961930924
strict_source_G2_Wz,strict_source,rbf,2.0,centered_hsic,seed-1|level-1|S0_full_support,36,0.018716102159734054
strict_source_G2_Wz,strict_source,rbf,2.0,centered_hsic,seed-2|level-0|S0_full_support,36,0.014911483667943532
strict_source_G2_Wz,strict_source,rbf,2.0,centered_hsic,seed-2|level-1|S0_full_support,36,0.03687232738396772
strict_source_G2_Wz,strict_source,laplacian,0.5,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.03323804714536471
strict_source_G2_Wz,strict_source,laplacian,0.5,normalized_alignment,seed-0|level-1|S0_full_support,36,0.007492203987644508
strict_source_G2_Wz,strict_source,laplacian,0.5,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.017251833846957314
strict_source_G2_Wz,strict_source,laplacian,0.5,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.03574860521968647
strict_source_G2_Wz,strict_source,laplacian,0.5,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.043131218553856876
strict_source_G2_Wz,strict_source,laplacian,0.5,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.010260602485794907
strict_source_G2_Wz,strict_source,laplacian,0.5,centered_hsic,seed-0|level-0|S0_full_support,36,0.1309914499378167
strict_source_G2_Wz,strict_source,laplacian,0.5,centered_hsic,seed-0|level-1|S0_full_support,36,0.17472842658556664
strict_source_G2_Wz,strict_source,laplacian,0.5,centered_hsic,seed-1|level-0|S0_full_support,36,0.15192123766297738
strict_source_G2_Wz,strict_source,laplacian,0.5,centered_hsic,seed-1|level-1|S0_full_support,36,0.12608994464074633
strict_source_G2_Wz,strict_source,laplacian,0.5,centered_hsic,seed-2|level-0|S0_full_support,36,0.12556017217947799
strict_source_G2_Wz,strict_source,laplacian,0.5,centered_hsic,seed-2|level-1|S0_full_support,36,0.15952845107650002
strict_source_G2_Wz,strict_source,laplacian,1.0,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.03451318556465507
strict_source_G2_Wz,strict_source,laplacian,1.0,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.0071986287776682825
strict_source_G2_Wz,strict_source,laplacian,1.0,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.020795998059405255
strict_source_G2_Wz,strict_source,laplacian,1.0,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.03557659663343633
strict_source_G2_Wz,strict_source,laplacian,1.0,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.04014930170742283
strict_source_G2_Wz,strict_source,laplacian,1.0,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.02243858875329334
strict_source_G2_Wz,strict_source,laplacian,1.0,centered_hsic,seed-0|level-0|S0_full_support,36,0.09988000613789742
strict_source_G2_Wz,strict_source,laplacian,1.0,centered_hsic,seed-0|level-1|S0_full_support,36,0.16382109882749127
strict_source_G2_Wz,strict_source,laplacian,1.0,centered_hsic,seed-1|level-0|S0_full_support,36,0.13839388246861634
strict_source_G2_Wz,strict_source,laplacian,1.0,centered_hsic,seed-1|level-1|S0_full_support,36,0.09387577782501702
strict_source_G2_Wz,strict_source,laplacian,1.0,centered_hsic,seed-2|level-0|S0_full_support,36,0.08936025494780273
strict_source_G2_Wz,strict_source,laplacian,1.0,centered_hsic,seed-2|level-1|S0_full_support,36,0.1285245324647188
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.03289098903985631
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.017501184646852172
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.02450580087124508
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.033163708399175915
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.035627954054364086
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.027873458283621984
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,seed-0|level-0|S0_full_support,36,0.07939391384215036
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,seed-0|level-1|S0_full_support,36,0.15396892977159934
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,seed-1|level-0|S0_full_support,36,0.12780730274036592
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,seed-1|level-1|S0_full_support,36,0.07533816313487988
