null,path,kernel,bandwidth_factor,statistic,observed,null_mean,null_p95,uncorrected_p,global_max_stat_p,null_replicates,bandwidth_recomputed_inside_null
N1_target_block,strict_source,rbf,0.5,normalized_alignment,0.026768950189218054,-0.0003333942409390751,0.023039405920986553,0.03,1.0,499,1
N1_target_block,strict_source,rbf,0.5,centered_hsic,0.21995448301848863,0.1933521964365086,0.2159940272880059,0.03,0.252,499,1
N1_target_block,strict_source,rbf,1.0,normalized_alignment,-0.013294172732278115,-0.029768943723995408,-0.01827182671988446,0.012,1.0,499,1
N1_target_block,strict_source,rbf,1.0,centered_hsic,0.20911650050884187,0.15805061672678958,0.19273451900282745,0.008,0.716,499,1
N1_target_block,strict_source,rbf,2.0,normalized_alignment,-0.03603430265959559,-0.040964656238941334,-0.03723214338206246,0.02,1.0,499,1
N1_target_block,strict_source,rbf,2.0,centered_hsic,0.1955737676315708,0.13937713552639286,0.17886360249039365,0.01,0.986,499,1
N1_target_block,strict_source,laplacian,0.5,normalized_alignment,0.009103853655378443,-0.014027290122666384,0.003063424182280105,0.012,1.0,499,1
N1_target_block,strict_source,laplacian,0.5,centered_hsic,0.23107203198929646,0.21251631904205373,0.22618934876606306,0.014,0.028,499,1
N1_target_block,strict_source,laplacian,1.0,normalized_alignment,-0.014465679806498362,-0.029338739939277887,-0.01939797149268236,0.008,1.0,499,1
N1_target_block,strict_source,laplacian,1.0,centered_hsic,0.23414362161678998,0.2026390303067733,0.2244155408435851,0.006,0.016,499,1
N1_target_block,strict_source,laplacian,2.0,normalized_alignment,-0.029215406758532333,-0.037305927700257265,-0.0318996489806009,0.006,1.0,499,1
N1_target_block,strict_source,laplacian,2.0,centered_hsic,0.23155542495587772,0.19244058549415774,0.21927806340689818,0.008,0.026,499,1
N1_target_block,target_unlabeled,rbf,0.5,normalized_alignment,0.04371843745043181,0.002952192127383156,0.028597611367763873,0.014,1.0,499,1
N1_target_block,target_unlabeled,rbf,0.5,centered_hsic,0.21978189311950092,0.1812746699771968,0.20842831802956954,0.014,0.262,499,1
N1_target_block,target_unlabeled,rbf,1.0,normalized_alignment,-0.003356552704091697,-0.02726271635491277,-0.012933588232042067,0.004,1.0,499,1
N1_target_block,target_unlabeled,rbf,1.0,centered_hsic,0.21309575962242258,0.1448223958331796,0.18145153538269654,0.002,0.548,499,1
N1_target_block,target_unlabeled,rbf,2.0,normalized_alignment,-0.03338910538474357,-0.04048508886745487,-0.0363058719261866,0.004,1.0,499,1
N1_target_block,target_unlabeled,rbf,2.0,centered_hsic,0.2011744541765282,0.12730140133226722,0.16490520244167417,0.002,0.92,499,1
