candidate_count,effective_multiplicity,top_gap,association_strength,transport_heterogeneity,label_budget,cell_id,replicates,association_detection_rate,mean_local_excess_r2,median_incremental_R2,median_trajectory_incremental_R2,transport_qualification_rate,mean_positive_regimes,mean_positive_trajectories,mean_top1_increment,mean_regret_reduction,actionability_qualification_rate,association_detection_count,transport_qualification_count,actionability_qualification_count
20,2,0.01,0.0,0.75,128,syn_cec36402b15d6add,400,0.015,6.767132111700352e-06,-0.0008676136771574491,-0.0007614074272315752,0.0,1.1675,0.6525,-0.0007407407407407407,-0.001969483622732067,0.0,6,0,0
20,2,0.01,0.2,0.75,32,syn_89956300e60d5c8d,400,1.0,0.09686694050309405,0.10648941722178862,0.1084067218732492,0.9775,2.98,1.995,0.1350925925925926,0.3309920802053192,0.925,400,391,370
20,2,0.01,0.5,0.75,8,syn_34ccbef7d3cb4779,400,1.0,0.30679004423516415,0.37991968538900633,0.3865210819537025,0.995,2.995,2.0,0.4203703703703704,1.3660123427745632,0.995,400,398,398
20,2,0.03,0.0,0.0,128,syn_af94d34642add739,400,0.0225,6.45196194759164e-05,-0.000798943946883605,-0.0008810915754517423,0.0,1.1425,0.6625,-0.0008333333333333332,-0.00407413750893108,0.0,9,0,0
20,2,0.03,0.2,0.0,32,syn_0ca3a5c3d9ae7869,400,1.0,0.09008341975126083,0.11006465419606612,0.10986115331855073,1.0,3.0,2.0,0.1386574074074074,0.32414686891266004,0.955,400,400,382
20,2,0.03,0.5,0.0,8,syn_0a2a8c9f127f1fe0,400,1.0,0.31650420792065853,0.4231057270794498,0.42400189173830366,1.0,3.0,2.0,0.4698611111111111,1.353272829577885,1.0,400,400,400
20,2,0.03,0.5,1.5,128,syn_9a9659817c269a27,400,1.0,0.33912164197187666,0.2956597705064631,0.31617332145411026,0.8525,2.86,1.99,0.3588425925925926,1.3315012961789594,0.8525,400,341,341
20,8,0.01,0.0,1.5,32,syn_edce225333c3c8b7,400,0.0175,-0.0005451287990264656,-0.000713102593012771,-0.0007566179579416854,0.0,1.24,0.675,0.0001388888888888889,0.00046028168865862166,0.0,7,0,0
20,8,0.01,0.2,1.5,8,syn_f6226b33987c51ae,400,1.0,0.06629662170090295,0.05754509363709097,0.06173735995166357,0.7775,2.7925,1.9625,0.1324537037037037,0.16997764447968794,0.645,400,311,258
20,8,0.01,0.5,0.75,128,syn_814d905e2e946d5d,400,1.0,0.17809052197746658,0.20481030100931236,0.20747400997090207,0.995,2.995,2.0,0.41513888888888884,0.7870310493320517,0.995,400,398,398
