dataset,target,seed,level,regime,epoch,trajectory_order,unit_id,role,retention_rule,planned,executed,checkpoint_hash
BNCI2014_001,4,3,0,ERM,199,0,c78_527d3c9c5f50eea090ff,shared_stage1_final_anchor,stage1_final_only,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,4,1,c78_6722a368d12a50de2c87,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,9,2,c78_31d1bc22030691f96eac,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,14,3,c78_9913467e8e94dad1fc4b,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,19,4,c78_12696ca42788ecf9f75c,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,24,5,c78_7bcef9b4fadeb5c777e9,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,29,6,c78_2f3fefd7421c45e99007,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,34,7,c78_96513ac34c60c1a9aeaf,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,39,8,c78_74526c900af912384a9e,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,44,9,c78_9d01c04cc061bc8fed9b,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,49,10,c78_ad91da8c2d2220bf900e,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,54,11,c78_e6d07130fc3dcddf4a3d,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,59,12,c78_823c430715d4bef9c6a6,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
