target,view_name,path,sha256,rows,allowed_columns,forbidden_columns,uses_target_labels,uses_evaluation_labels,available_at_selection_time,diagnostic_only,consumer_command,physically_separate
1,strict_source_input,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-001/views/primary_inputs/strict_source/strict_source_input_sha256_e138702b5f7e257a.npz,e138702b5f7e257ac2a5e8fcc3b28c3ed707ee119edeaf5c88d6cb7d3bc6ba70,4608,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]",[],0,0,1,0,C78F_instrumentation,1
1,target_unlabeled_input,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-001/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_cedc09e6b0e455b0.npz,cedc09e6b0e455b0d6006dd721d0e8b172d076aefd41b26f956a7bf59ac41cb5,576,"[""X"", ""target_id"", ""target_trial_id""]","[""correctness"", ""joint_good"", ""split_role"", ""target_ECE"", ""target_NLL"", ""target_bAcc"", ""target_class_label"", ""target_margin"", ""y_true""]",0,0,1,0,C78F_instrumentation,1
1,target_construction_view,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-001/views/target_labels/construction/target_construction_sha256_bf6fa50f1211c8e5.npz,bf6fa50f1211c8e5dbbafde7513735095d7622efea3d381dd6ffe8ba79cd0840,280,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,0,0,1,future_C78S_router,1
1,target_evaluation_view,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-001/views/target_labels/evaluation/target_evaluation_sha256_1d356d4c912a94c8.npz,1d356d4c912a94c8a31f9becb6776ec21ab5be58c53adb8f7cc18986e5421894,296,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1,future_C78S_router,1
1,same_label_oracle_view,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-001/views/target_labels/oracle/same_label_oracle_sha256_75ac2e5174e7a425.npz,75ac2e5174e7a4257c03fe8d7d507233005d8f2a589ca7ee548db311c25d0517,576,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1,future_C78S_oracle_only,1
2,strict_source_input,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-002/views/primary_inputs/strict_source/strict_source_input_sha256_1700ff24f52f7047.npz,1700ff24f52f70474ba72ed9e168f952f910d6ea4cc0cef7d6e04db2ece71b6a,4608,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]",[],0,0,1,0,C78F_instrumentation,1
2,target_unlabeled_input,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-002/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_a95c001a689e40ea.npz,a95c001a689e40eadcaf0fd64bb6cdcde45ab5cc872576eeb7fe95dce27f4c0a,576,"[""X"", ""target_id"", ""target_trial_id""]","[""correctness"", ""joint_good"", ""split_role"", ""target_ECE"", ""target_NLL"", ""target_bAcc"", ""target_class_label"", ""target_margin"", ""y_true""]",0,0,1,0,C78F_instrumentation,1
2,target_construction_view,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-002/views/target_labels/construction/target_construction_sha256_dbe30bde60c7083f.npz,dbe30bde60c7083f48b0bbc3d7cbdefe566fccf31e741d6a3c2fae83c30f64ea,283,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,0,0,1,future_C78S_router,1
2,target_evaluation_view,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-002/views/target_labels/evaluation/target_evaluation_sha256_f5cded74913ccf38.npz,f5cded74913ccf38f7642fc61d4d3a0bea730ab8047c01a1c376fb7835b82fc2,293,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1,future_C78S_router,1
2,same_label_oracle_view,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-002/views/target_labels/oracle/same_label_oracle_sha256_cf1d837e063cc9b4.npz,cf1d837e063cc9b497e861f86a9074e69b6b489d4bdf485e3e66c2b8c08bcd85,576,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1,future_C78S_oracle_only,1
3,strict_source_input,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-003/views/primary_inputs/strict_source/strict_source_input_sha256_ce8715edb5b3de55.npz,ce8715edb5b3de558110e59c7e6f27fd1536820104dfeb89857a9b746fba2286,4608,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]",[],0,0,1,0,C78F_instrumentation,1
3,target_unlabeled_input,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-003/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_b56c12cc9c249f0e.npz,b56c12cc9c249f0e4fa7009d45b19c12da8959ca54baa670da803efc476046a3,576,"[""X"", ""target_id"", ""target_trial_id""]","[""correctness"", ""joint_good"", ""split_role"", ""target_ECE"", ""target_NLL"", ""target_bAcc"", ""target_class_label"", ""target_margin"", ""y_true""]",0,0,1,0,C78F_instrumentation,1
3,target_construction_view,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-003/views/target_labels/construction/target_construction_sha256_b18b803301b61ef8.npz,b18b803301b61ef86f9297abbbbe7f3465bd031b3c34398c24d6d8d84ad395d3,271,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,0,0,1,future_C78S_router,1
3,target_evaluation_view,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-003/views/target_labels/evaluation/target_evaluation_sha256_50d2fd855cce9998.npz,50d2fd855cce99981768290d272bbe2df4d48588285d9fc7d13339831e41acdc,305,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1,future_C78S_router,1
3,same_label_oracle_view,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-003/views/target_labels/oracle/same_label_oracle_sha256_28af43b438793e07.npz,28af43b438793e07551960158b1bbce016ab50131ac41e49c83e0144c9113c7b,576,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1,future_C78S_oracle_only,1
5,strict_source_input,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-005/views/primary_inputs/strict_source/strict_source_input_sha256_40d74f8c61b5f6b2.npz,40d74f8c61b5f6b2d11d593a14a4142ad7124f368be3ce474dc7c3dc02edc4e3,4608,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]",[],0,0,1,0,C78F_instrumentation,1
5,target_unlabeled_input,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-005/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_6e0a6bdfcbd6afed.npz,6e0a6bdfcbd6afed6a48abfd63e02985dffcc255aebfcf95bfdef32f435edd0a,576,"[""X"", ""target_id"", ""target_trial_id""]","[""correctness"", ""joint_good"", ""split_role"", ""target_ECE"", ""target_NLL"", ""target_bAcc"", ""target_class_label"", ""target_margin"", ""y_true""]",0,0,1,0,C78F_instrumentation,1
5,target_construction_view,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-005/views/target_labels/construction/target_construction_sha256_31bb1979e7332c1f.npz,31bb1979e7332c1f0b88f1c7093290658a24231af56544f735c0eb8161dd0ca5,280,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,0,0,1,future_C78S_router,1
5,target_evaluation_view,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-005/views/target_labels/evaluation/target_evaluation_sha256_7645a5071d194c68.npz,7645a5071d194c68cd67dd971e2572c545061b17c56f8653dfae0243b65f26e9,296,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1,future_C78S_router,1
5,same_label_oracle_view,/projects/EEG-foundation-model/yinghao/oaci-c78f-full-seed3/protocol_85aba93fe2e232f0/implementation_644e275ed3d5a201/targets/target-005/views/target_labels/oracle/same_label_oracle_sha256_63100003a687fbcd.npz,63100003a687fbcdcd22786eead7b57bb0fe5e0284e468161fb283d7ffc71f8a,576,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1,future_C78S_oracle_only,1
