unit_id,level,trajectory_order,checkpoint_id,parent_ERM_checkpoint_id,previous_SRC_trajectory_checkpoint_id,genealogy_rule,parent_ERM_read_only,ERM_retrained,OACI_weight_access,passed
c78r_d99c6e6f0b1b29438cb7,0,1,f90faf8d59b0bb98ce2b32736915a66159c49a2d05f1cad204a8587c937a82a5,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,read_only_C78_ERM_parent_plus_previous_SRC_order,1,0,0,1
c78r_c259a96a18570c5b4f48,0,2,0d731ab7f4d731a8361314f48ca3eae40846a10771e611123ea7da343c7f42d6,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,f90faf8d59b0bb98ce2b32736915a66159c49a2d05f1cad204a8587c937a82a5,read_only_C78_ERM_parent_plus_previous_SRC_order,1,0,0,1
c78r_801c7f6695e3e9a3af29,0,3,806aceda430d59169aa01d9f6d3983e83dda932fa56cb61257bd8578435fd15e,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,0d731ab7f4d731a8361314f48ca3eae40846a10771e611123ea7da343c7f42d6,read_only_C78_ERM_parent_plus_previous_SRC_order,1,0,0,1
c78r_460d805e1011b2323a76,0,4,3f7357dfeabfd329e5d62e209a5af55626bab7e4b821e6bcd2e1dabeb3b45ab8,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,806aceda430d59169aa01d9f6d3983e83dda932fa56cb61257bd8578435fd15e,read_only_C78_ERM_parent_plus_previous_SRC_order,1,0,0,1
c78r_214b0697dd4b3c6f0102,0,5,c4acc0a33bd8aff50f72369ebb4f606ddb07de2de756d814221896153c14fb67,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,3f7357dfeabfd329e5d62e209a5af55626bab7e4b821e6bcd2e1dabeb3b45ab8,read_only_C78_ERM_parent_plus_previous_SRC_order,1,0,0,1
c78r_3c79b4f954e04ba1b75c,0,6,290fdeb3d799941bd346b639f31ac49706e09d05ba1babe682cb91577c88c6a8,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,c4acc0a33bd8aff50f72369ebb4f606ddb07de2de756d814221896153c14fb67,read_only_C78_ERM_parent_plus_previous_SRC_order,1,0,0,1
c78r_49fcdeb4c59deb170c9a,0,7,a4210db891585e4424eaf09f1c1f70a36c9ab9860dabcca98f9085d1950865be,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,290fdeb3d799941bd346b639f31ac49706e09d05ba1babe682cb91577c88c6a8,read_only_C78_ERM_parent_plus_previous_SRC_order,1,0,0,1
c78r_36112cda99cdaac95c59,0,8,09044b097b83303de0cd6e9a2cc6b0aacae658c7987faefc298625a853b6a10a,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,a4210db891585e4424eaf09f1c1f70a36c9ab9860dabcca98f9085d1950865be,read_only_C78_ERM_parent_plus_previous_SRC_order,1,0,0,1
c78r_3d9b8838a80a160a2137,0,9,8cc5f009034c8d14141087240679fcb6ea01b55344afd64ba3ac7f2eb24c3ef0,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,09044b097b83303de0cd6e9a2cc6b0aacae658c7987faefc298625a853b6a10a,read_only_C78_ERM_parent_plus_previous_SRC_order,1,0,0,1
c78r_7d556e9ad37595da4779,0,10,8c981346ff975d2c062d9863574a98a301d90ea90f4bea279b885b7a562e250e,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,8cc5f009034c8d14141087240679fcb6ea01b55344afd64ba3ac7f2eb24c3ef0,read_only_C78_ERM_parent_plus_previous_SRC_order,1,0,0,1
