target_id,level,regime,prefix_size,raw_M,effective_M_epsilon_0.05,top_two_gap,top1_miss,selected_true_rank,continuous_regret,standardized_regret,construction_eval_spearman,endpoint_derived_geometry_diagnostic_only
1,0,OACI,5,5,2,0.033333333333333326,0,1,0.0,0.0,0.8999999999999998,1
1,0,OACI,10,10,2,0.04583333333333339,0,1,0.0,0.0,0.8545454545454544,1
1,0,OACI,20,20,1,0.09583333333333344,1,4,0.12500000000000022,0.20000000000000032,0.813533834586466,1
1,0,OACI,40,40,5,0.004166666666666541,1,3,0.012499999999999845,0.013157894736841941,0.7820681276806508,1
1,0,SRC,5,5,2,0.02083333333333315,0,1,0.0,0.0,0.7,1
1,0,SRC,10,10,2,0.02083333333333315,0,1,0.0,0.0,0.7333333333333332,1
1,0,SRC,20,20,1,0.05833333333333346,1,2,0.05833333333333346,0.0915032679738564,0.7433195859538917,1
1,0,SRC,40,40,2,0.04583333333333328,1,4,0.12499999999999989,0.1648351648351647,0.8390351725648116,1
1,1,OACI,5,5,1,0.09166666666666667,0,1,0.0,0.0,0.8999999999999998,1
1,1,OACI,10,10,1,0.09166666666666667,0,1,0.0,0.0,0.7575757575757575,1
1,1,OACI,20,20,2,0.02083333333333337,1,4,0.125,0.15706806282722513,0.8421052631578947,1
1,1,OACI,40,40,1,0.054166666666666696,1,14,0.22916666666666663,0.2546296296296296,0.8360463489050922,1
1,1,SRC,5,5,1,0.22499999999999992,0,1,0.0,0.0,0.8999999999999998,1
1,1,SRC,10,10,1,0.22499999999999992,0,1,0.0,0.0,0.9272727272727272,1
1,1,SRC,20,20,2,0.029166666666666563,1,2,0.029166666666666563,0.032407407407407295,0.9363944961282444,1
1,1,SRC,40,40,2,0.029166666666666563,1,2,0.029166666666666563,0.032407407407407295,0.9032984652897905,1
2,0,OACI,5,5,2,0.02499999999999991,0,1,0.0,0.0,0.19999999999999998,1
2,0,OACI,10,10,4,0.02083333333333337,0,1,0.0,0.0,0.2121212121212121,1
2,0,OACI,20,20,1,0.10416666666666663,1,6,0.20833333333333337,0.32894736842105265,0.7233082706766917,1
2,0,OACI,40,40,2,0.04583333333333339,1,18,0.20833333333333337,0.32894736842105265,0.7192060636221405,1
2,0,SRC,5,5,2,0.004166666666666652,1,2,0.004166666666666652,0.023255813953488292,0.35909242322980395,1
2,0,SRC,10,10,3,0.033333333333333326,1,3,0.03749999999999998,0.10465116279069762,0.6707441766510145,1
2,0,SRC,20,20,3,0.033333333333333326,1,3,0.03749999999999998,0.10465116279069762,0.41023713857708455,1
2,0,SRC,40,40,1,0.22083333333333344,1,5,0.2958333333333334,0.3514851485148515,0.7083880684211572,1
2,1,OACI,5,5,3,0.029166666666666674,0,1,0.0,0.0,0.8999999999999998,1
2,1,OACI,10,10,4,0.02083333333333337,0,1,0.0,0.0,0.7939393939393938,1
