target,level,regime,expected_checkpoints,observed_checkpoints,first_epoch,last_epoch,fixed_every_5_epochs,passed
4,0,OACI,40,40,4,199,1,1
4,0,SRC,40,40,4,199,1,1
4,1,OACI,40,40,4,199,1,1
4,1,SRC,40,40,4,199,1,1
8,0,OACI,40,40,4,199,1,1
8,0,SRC,40,40,4,199,1,1
8,1,OACI,40,40,4,199,1,1
8,1,SRC,40,40,4,199,1,1
9,0,OACI,40,40,4,199,1,1
9,0,SRC,40,40,4,199,1,1
9,1,OACI,40,40,4,199,1,1
9,1,SRC,40,40,4,199,1,1
3,0,OACI,40,40,4,199,1,1
3,0,SRC,40,40,4,199,1,1
3,1,OACI,40,40,4,199,1,1
3,1,SRC,40,40,4,199,1,1
6,0,OACI,40,40,4,199,1,1
6,0,SRC,40,40,4,199,1,1
6,1,OACI,40,40,4,199,1,1
6,1,SRC,40,40,4,199,1,1
5,0,OACI,40,40,4,199,1,1
5,0,SRC,40,40,4,199,1,1
5,1,OACI,40,40,4,199,1,1
5,1,SRC,40,40,4,199,1,1
2,0,OACI,40,40,4,199,1,1
2,0,SRC,40,40,4,199,1,1
2,1,OACI,40,40,4,199,1,1
2,1,SRC,40,40,4,199,1,1
7,0,OACI,40,40,4,199,1,1
7,0,SRC,40,40,4,199,1,1
7,1,OACI,40,40,4,199,1,1
7,1,SRC,40,40,4,199,1,1
1,0,OACI,40,40,4,199,1,1
1,0,SRC,40,40,4,199,1,1
1,1,OACI,40,40,4,199,1,1
1,1,SRC,40,40,4,199,1,1
