target,view_name,path,sha256,rows,allowed_columns,forbidden_columns,uses_target_labels,uses_evaluation_labels,same_label_oracle,physically_separate
1,strict_source_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-001/views/primary_inputs/strict_source/strict_source_input_sha256_e138702b5f7e257a.npz,e138702b5f7e257ac2a5e8fcc3b28c3ed707ee119edeaf5c88d6cb7d3bc6ba70,4608,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
1,target_unlabeled_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-001/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_cedc09e6b0e455b0.npz,cedc09e6b0e455b0d6006dd721d0e8b172d076aefd41b26f956a7bf59ac41cb5,576,"[""X"", ""target_id"", ""target_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
1,target_construction_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-001/views/target_labels_no_oracle/construction/target_construction_sha256_bf6fa50f1211c8e5.npz,bf6fa50f1211c8e5dbbafde7513735095d7622efea3d381dd6ffe8ba79cd0840,280,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,0,0,1
1,target_evaluation_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-001/views/target_labels_no_oracle/evaluation/target_evaluation_sha256_1d356d4c912a94c8.npz,1d356d4c912a94c8a31f9becb6776ec21ab5be58c53adb8f7cc18986e5421894,296,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1
2,strict_source_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-002/views/primary_inputs/strict_source/strict_source_input_sha256_1700ff24f52f7047.npz,1700ff24f52f70474ba72ed9e168f952f910d6ea4cc0cef7d6e04db2ece71b6a,4608,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
2,target_unlabeled_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-002/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_a95c001a689e40ea.npz,a95c001a689e40eadcaf0fd64bb6cdcde45ab5cc872576eeb7fe95dce27f4c0a,576,"[""X"", ""target_id"", ""target_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
2,target_construction_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-002/views/target_labels_no_oracle/construction/target_construction_sha256_dbe30bde60c7083f.npz,dbe30bde60c7083f48b0bbc3d7cbdefe566fccf31e741d6a3c2fae83c30f64ea,283,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,0,0,1
2,target_evaluation_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-002/views/target_labels_no_oracle/evaluation/target_evaluation_sha256_f5cded74913ccf38.npz,f5cded74913ccf38f7642fc61d4d3a0bea730ab8047c01a1c376fb7835b82fc2,293,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1
3,strict_source_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-003/views/primary_inputs/strict_source/strict_source_input_sha256_ce8715edb5b3de55.npz,ce8715edb5b3de558110e59c7e6f27fd1536820104dfeb89857a9b746fba2286,4608,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
3,target_unlabeled_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-003/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_45ca72fc09b988bf.npz,45ca72fc09b988bf6d929caad917eb8e0bfbe1930b246d5cfbb2cfcf96c0fd35,576,"[""X"", ""target_id"", ""target_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
3,target_construction_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-003/views/target_labels_no_oracle/construction/target_construction_sha256_b18b803301b61ef8.npz,b18b803301b61ef86f9297abbbbe7f3465bd031b3c34398c24d6d8d84ad395d3,271,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,0,0,1
3,target_evaluation_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-003/views/target_labels_no_oracle/evaluation/target_evaluation_sha256_50d2fd855cce9998.npz,50d2fd855cce99981768290d272bbe2df4d48588285d9fc7d13339831e41acdc,305,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1
5,strict_source_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-005/views/primary_inputs/strict_source/strict_source_input_sha256_05f1d4cb5c1064f1.npz,05f1d4cb5c1064f1c75244419a377cd0cca4c56b2441a59eb6ba2189f8b753a2,4608,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
