unit_id,dataset,target,seed,level,regime,epoch,trajectory_order,wave,role,retention_rule,target_outcome_used_for_retention,primary
c79_a87dd3034aed50a52ea2,BNCI2014_001,4,4,0,ERM,199,0,C0_engineering_canary,engineering_canary_descriptive_only,stage1_final_anchor_only,0,0
c79_7bc9608f92e809e50f94,BNCI2014_001,4,4,0,OACI,4,1,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_658614bfc9a74cdc9b76,BNCI2014_001,4,4,0,OACI,9,2,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_72595c526b35e7ce3f08,BNCI2014_001,4,4,0,OACI,14,3,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_46d1eb51aeefeeff3cd6,BNCI2014_001,4,4,0,OACI,19,4,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_190b44aeef762e8b84d2,BNCI2014_001,4,4,0,OACI,24,5,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_e60a9417dfefbab2a4d1,BNCI2014_001,4,4,0,OACI,29,6,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_c739da336bf8283f43a2,BNCI2014_001,4,4,0,OACI,34,7,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_8309a2849d21c3a613c4,BNCI2014_001,4,4,0,OACI,39,8,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_003710fa1dfb2482af3f,BNCI2014_001,4,4,0,OACI,44,9,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_ad482030b63f9d93c25f,BNCI2014_001,4,4,0,OACI,49,10,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_3c3825e0829e8c3ae1f4,BNCI2014_001,4,4,0,OACI,54,11,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_74f5d0b5ed23b8770dd3,BNCI2014_001,4,4,0,OACI,59,12,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_1665e1255896d24a4122,BNCI2014_001,4,4,0,OACI,64,13,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_8a972ea23f51666d4201,BNCI2014_001,4,4,0,OACI,69,14,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_4ddc3c99daeafcfd8c80,BNCI2014_001,4,4,0,OACI,74,15,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_417d4963d76396bd95b3,BNCI2014_001,4,4,0,OACI,79,16,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_3e061f319c63c780bb40,BNCI2014_001,4,4,0,OACI,84,17,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_29cc2261e1446532df81,BNCI2014_001,4,4,0,OACI,89,18,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_72dc0c3f0ad656a2b839,BNCI2014_001,4,4,0,OACI,94,19,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_3ab56302964b20fc403e,BNCI2014_001,4,4,0,OACI,99,20,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_c0da8d7dc643ca17fd30,BNCI2014_001,4,4,0,OACI,104,21,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_1bde4793e0b780d666a0,BNCI2014_001,4,4,0,OACI,109,22,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_3dfa160be6e3306e05ee,BNCI2014_001,4,4,0,OACI,114,23,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_8f80f2a22c0884284cd9,BNCI2014_001,4,4,0,OACI,119,24,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_7ce3c141a0263ba84e94,BNCI2014_001,4,4,0,OACI,124,25,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_14c6297f6412391dcd2c,BNCI2014_001,4,4,0,OACI,129,26,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_5dc5d5aa4f4fcd51f4be,BNCI2014_001,4,4,0,OACI,134,27,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_25e4dae5c79d351a619c,BNCI2014_001,4,4,0,OACI,139,28,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_273015ad10765f7fb659,BNCI2014_001,4,4,0,OACI,144,29,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_bc115830b3f686c52271,BNCI2014_001,4,4,0,OACI,149,30,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_a56716ab8a0240dbc64d,BNCI2014_001,4,4,0,OACI,154,31,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_a5c8c086e50d78e94912,BNCI2014_001,4,4,0,OACI,159,32,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_fbe3893a130832a8e280,BNCI2014_001,4,4,0,OACI,164,33,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_861ec9ca878a97ce98f5,BNCI2014_001,4,4,0,OACI,169,34,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_b53baa3c837448e8e5a5,BNCI2014_001,4,4,0,OACI,174,35,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_779bc73f26f12a26b460,BNCI2014_001,4,4,0,OACI,179,36,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_b6182ce6a1e7154bf0ed,BNCI2014_001,4,4,0,OACI,184,37,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_f9b47a167878236199de,BNCI2014_001,4,4,0,OACI,189,38,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_4be3f174a2d3ed01ed91,BNCI2014_001,4,4,0,OACI,194,39,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_d40d1ed1bc690af21b90,BNCI2014_001,4,4,0,OACI,199,40,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_1512f49884b9fc3a7808,BNCI2014_001,4,4,0,SRC,4,1,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_5c6f37d4a040d61e6a33,BNCI2014_001,4,4,0,SRC,9,2,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
c79_c878eac5489fe623a1c6,BNCI2014_001,4,4,0,SRC,14,3,C0_engineering_canary,engineering_canary_descriptive_only,every_5_epochs_complete_trajectory,0,0
