order,event,identity_or_count,required_relation,status
1,C79_Mode_R_accepted,2ea4ec3a9816d0ea7372b9fabda4b1cb7d9c6cae,before_replacement_protocol,PASS
2,seed4_EEG_loads_before_replacement_protocol,0,must_equal_0,PASS
3,seed4_training_forward_reinference_jobs_before_replacement_protocol,0,must_equal_0,PASS
4,seed4_checkpoints_optimizer_states_before_replacement_protocol,0,must_equal_0,PASS
5,seed4_logits_z_Wz_caches_before_replacement_protocol,0,must_equal_0,PASS
6,seed4_model_specific_target_outcomes_before_replacement_protocol,0,must_equal_0,PASS
7,seed4_label_view_provisioning_before_replacement_protocol,0,must_equal_0,PASS
8,replacement_protocol_commit,commit_containing_C79_POST_SEED3_SEED4_REPLICATION_PROTOCOL.json,must_precede_implementation,PENDING_COMMIT_ID_BINDING
9,mechanical_implementation_commit,not_created_at_protocol_lock,must_follow_protocol,NOT_STARTED
10,field_generation_execution_lock_commit,not_created_at_protocol_lock,must_follow_implementation,NOT_STARTED
11,scientific_analysis_execution_lock_commit,not_created_at_protocol_lock,must_follow_field_lock,NOT_STARTED
12,direct_PI_authorization,not_received,must_follow_both_locks,NOT_RECEIVED
13,first_seed4_EEG_or_Slurm_access,0,must_follow_direct_authorization,PROHIBITED
