scenario,seed,expected_Bstar,recovery_rate,replicates,criterion,passed
S0_no_label_information_flat_random_frontier,3,,1.0,512,0.9,1
S0_no_label_information_flat_random_frontier,4,,1.0,512,0.9,1
S1_reliable_measurement_no_regret_improvement,3,,1.0,512,0.9,1
S1_reliable_measurement_no_regret_improvement,4,,1.0,512,0.9,1
S2_low_budget_actionability_stable_monotone_frontier,3,8,1.0,512,0.9,1
S2_low_budget_actionability_stable_monotone_frontier,4,8,1.0,512,0.9,1
S3_actionability_only_near_FULL,3,FULL,1.0,512,0.9,1
S3_actionability_only_near_FULL,4,FULL,1.0,512,0.9,1
S4_seed_dependent_frontier,3,8,1.0,512,0.9,1
S4_seed_dependent_frontier,4,32,1.0,512,0.9,1
S5_target_heterogeneous_catastrophic_subgroups,3,,1.0,512,0.9,1
S5_target_heterogeneous_catastrophic_subgroups,4,,1.0,512,0.9,1
S6_near_tie_requires_more_labels,3,32,0.978515625,512,0.9,1
S6_near_tie_requires_more_labels,4,32,0.96484375,512,0.9,1
S7_nonmonotone_finite_sample_curve,3,16,1.0,512,0.9,1
S7_nonmonotone_finite_sample_curve,4,16,1.0,512,0.9,1
S8_pseudoreplication_trap,3,,1.0,512,0.9,1
S8_pseudoreplication_trap,4,,1.0,512,0.9,1
