ordinal,job_id,suite,commit_under_test,status,passed,failed,skipped,deselected,stderr_bytes,stdout_sha256,reason,superseded_by
1,894593,focused,precommit_validation_worktree,SUPERSEDED_LOG_PLACEMENT,,,,,,unavailable_node_local_log,job_completed_but_log_path_was_not_durable,894605
2,894594,C65-C80R,precommit_validation_worktree,SUPERSEDED_LOG_PLACEMENT,,,,,,unavailable_node_local_log,job_completed_but_log_path_was_not_durable,894606
3,894595,C23-C80R,precommit_validation_worktree,SUPERSEDED_LOG_PLACEMENT,,,,,,unavailable_node_local_log,job_completed_but_log_path_was_not_durable,894607
4,894596,full_OACI,precommit_validation_worktree,SUPERSEDED_LOG_PLACEMENT,,,,,,unavailable_node_local_log,job_completed_but_log_path_was_not_durable,894608
5,894605,focused,precommit_validation_worktree,VALIDATION_PASS,53,0,0,3,0,18a4d48fb648307824edcf2b0b004c464b0e6e920a081a243cf6d1d1adec55aa,shared_log_validation,894616
6,894606,C65-C80R,precommit_validation_worktree,SUPERSEDED_GLOB_COVERAGE,344,0,1,3,0,,C80E_and_C80R_globs_omitted,894610
7,894607,C23-C80R,precommit_validation_worktree,SUPERSEDED_GLOB_COVERAGE,751,0,1,3,0,,C80E_and_C80R_globs_omitted,894611
8,894608,full_OACI,precommit_validation_worktree,VALIDATION_PASS,1703,0,1,3,0,,full_directory_glob_included_C80E_and_C80R,894619
9,894610,C65-C80R,precommit_validation_worktree,CORRECTED_VALIDATION_PASS,368,0,1,3,0,,explicit_C80E_and_C80R_globs_added,894617
10,894611,C23-C80R,precommit_validation_worktree,CORRECTED_VALIDATION_PASS,775,0,1,3,0,,explicit_C80E_and_C80R_globs_added,894618
11,894616,focused,93d2099f14b8739089e640c0e6078f02ed5cc435,FINAL_PASS,53,0,0,3,0,18a4d48fb648307824edcf2b0b004c464b0e6e920a081a243cf6d1d1adec55aa,exact_clean_commit,none
12,894617,C65-C80R,93d2099f14b8739089e640c0e6078f02ed5cc435,FINAL_PASS,368,0,1,3,0,55562bafc4ba6de7bc56eddd6b086860af0c0fde48a17610317e4a0d0cd01565,exact_clean_commit,none
13,894618,C23-C80R,93d2099f14b8739089e640c0e6078f02ed5cc435,FINAL_PASS,775,0,1,3,0,8978c9520c70892ecc059387ad1b98eb3287190fdfc1d59693338049e66362df,exact_clean_commit,none
14,894619,full_OACI,93d2099f14b8739089e640c0e6078f02ed5cc435,FINAL_PASS,1703,0,1,3,0,686767b249bdff88e978e7a11159fa7ef8ae2c7f0e96c9fe7aaf34bdc6048f90,exact_clean_commit,none
