check_id,object,expected,observed,status
RF01,execution_job_state,COMPLETED,COMPLETED,PASS
RF02,execution_exit_code,0:0,0:0,PASS
RF03,execution_stderr_bytes,0,0,PASS
RF04,authorization_record_sha256,8e55a9e2b091208598a3b2d87e4e0acf9867b73561046039dac8a550a629ba3a,8e55a9e2b091208598a3b2d87e4e0acf9867b73561046039dac8a550a629ba3a,PASS
RF05,authorization_consumed_before_data_open,true,true,PASS
RF06,same_identity_rerun_allowed,false,false,PASS
RF07,selection_manifest_self_sha256,4677ed3aba7758ea0008c2093b44d6fb81d425930727e5941950179737ebd519,4677ed3aba7758ea0008c2093b44d6fb81d425930727e5941950179737ebd519,PASS
RF08,selection_payload_sha256,1ed893acd9190914eb4cb122f3ef26bc1e2355c4103894b816894bd264669257,1ed893acd9190914eb4cb122f3ef26bc1e2355c4103894b816894bd264669257,PASS
RF09,selection_recomputed,false,false,PASS
RF10,result_sha256,d8060e6636adf7fcca7a0ace0e47bb7043676b7681569e09fb8705dcb8d5a8b7,d8060e6636adf7fcca7a0ace0e47bb7043676b7681569e09fb8705dcb8d5a8b7,PASS
RF11,artifact_manifest_sha256,910e2ff1d8445dae262be82d417140cd44fc48be1306f2bbe5a439ec3549f0a2,910e2ff1d8445dae262be82d417140cd44fc48be1306f2bbe5a439ec3549f0a2,PASS
RF12,artifact_table_hashes,23,23,PASS
RF13,artifact_table_row_counts,23,23,PASS
RF14,method_context_rows,672,672,PASS
RF15,method_context_canonical_fields,16,16,PASS
RF16,target_evaluation_view_opens,16,16,PASS
RF17,target_evaluation_label_rows,4746,4746,PASS
RF18,target4_primary_rows,0,0,PASS
RF19,same_label_oracle_accesses,0,0,PASS
RF20,construction_label_content_reopened,0,0,PASS
RF21,training_forward_reinference_GPU,0,0,PASS
RF22,primary_taxonomy,C82-D,C82-D,PASS
RF23,seed3_category,B,B,PASS
RF24,seed4_category,C,C,PASS
RF25,A_intersection_count,0,0,PASS
RF26,B_intersection_count,0,0,PASS
RF27,LOTO_preserved,7,7,PASS
RF28,LOTO_total,16,16,PASS
RF29,C81_gate_unchanged,C81-E,C81-E,PASS
RF30,atomic_result_directory,true,true,PASS
