dataset,budget,direct_qualification_frozen,direct_failing_components,larger_or_equal_registered_budgets,larger_or_equal_direct_failures,closure_qualification_frozen,closure_failure_reason,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
Lee2019_MI,1,0,mean|maxT|favorable|worst|panel_seed,1|2|4|8|FULL,1|2|4|8|FULL,0,DIRECT_COMPONENT_FAILURE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|budget=1,0
Lee2019_MI,2,0,mean|maxT|favorable|worst,2|4|8|FULL,2|4|8|FULL,0,DIRECT_COMPONENT_FAILURE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|budget=2,0
Lee2019_MI,4,0,maxT|worst,4|8|FULL,4|8|FULL,0,DIRECT_COMPONENT_FAILURE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|budget=4,0
Lee2019_MI,8,0,worst,8|FULL,8|FULL,0,DIRECT_COMPONENT_FAILURE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|budget=8,0
Lee2019_MI,FULL,0,worst,FULL,FULL,0,DIRECT_COMPONENT_FAILURE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|budget=FULL,0
Cho2017,1,0,mean|maxT|favorable|worst|panel_seed,1|2|4|8|FULL,1|2|4,0,DIRECT_COMPONENT_FAILURE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Cho2017|budget=1,0
Cho2017,2,0,maxT|worst,2|4|8|FULL,2|4,0,DIRECT_COMPONENT_FAILURE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Cho2017|budget=2,0
Cho2017,4,0,worst,4|8|FULL,4,0,DIRECT_COMPONENT_FAILURE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Cho2017|budget=4,0
Cho2017,8,1,NONE,8|FULL,NONE,1,NONE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Cho2017|budget=8,0
Cho2017,FULL,1,NONE,FULL,NONE,1,NONE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Cho2017|budget=FULL,0
PhysionetMI,1,0,mean|maxT|favorable|worst,1|2|4|8|FULL,1|2|4|8|FULL,0,DIRECT_COMPONENT_FAILURE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=PhysionetMI|budget=1,0
PhysionetMI,2,0,mean|maxT|favorable|worst,2|4|8|FULL,2|4|8|FULL,0,DIRECT_COMPONENT_FAILURE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=PhysionetMI|budget=2,0
PhysionetMI,4,0,maxT|favorable|worst,4|8|FULL,4|8|FULL,0,DIRECT_COMPONENT_FAILURE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=PhysionetMI|budget=4,0
PhysionetMI,8,0,maxT|favorable|worst,8|FULL,8|FULL,0,DIRECT_COMPONENT_FAILURE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=PhysionetMI|budget=8,0
PhysionetMI,FULL,0,maxT|favorable|worst,FULL,FULL,0,DIRECT_COMPONENT_FAILURE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=PhysionetMI|budget=FULL,0
