scope,dataset,level,method_id,component,signed_distance,normalized_deficit,boundary_class,frozen_decision,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Cho2017,0,U15,Q2_mean,-0.0006562331765817622,0.013124663531635244,NEAR,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Cho2017|level=0|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U15,Q2_mean,-0.001388932516479223,0.02777865032958446,NEAR,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U15,0
FULL_PANEL,PhysionetMI,ALL,U11,Q2_target_count,-2,0.03508771929824561,NEAR,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=PhysionetMI|method_id=U11,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U13,Q1_favorable_descriptive,-3,0.05263157894736842,NEAR,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U13,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,1,U13,Q1_favorable_descriptive,-3,0.05263157894736842,NEAR,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=1|method_id=U13,0
FULL_PANEL,Lee2019_MI,ALL,U11,Q1_favorable,-1,0.058823529411764705,NEAR,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Lee2019_MI|method_id=U11,0
FULL_PANEL,Lee2019_MI,ALL,U11,Q2_worst,-0.01190977738037391,0.05954888690186955,NEAR,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Lee2019_MI|method_id=U11,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Cho2017,1,U15,Q2_worst_descriptive,-0.013201987573354668,0.06600993786677334,NEAR,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Cho2017|level=1|method_id=U15,0
FULL_PANEL,Lee2019_MI,ALL,U13,Q1_worst,-0.007873243786952616,0.07873243786952616,NEAR,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Lee2019_MI|method_id=U13,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,1,U11,Q1_favorable_descriptive,-5,0.08771929824561403,NEAR,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=1|method_id=U11,0
FULL_PANEL,PhysionetMI,ALL,U11,Q1_favorable,-6,0.10526315789473684,MODERATE,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=PhysionetMI|method_id=U11,0
FULL_PANEL,Lee2019_MI,ALL,U15,Q2_worst,-0.022351619676327872,0.11175809838163936,MODERATE,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Lee2019_MI|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Lee2019_MI,1,U11,Q1_favorable_descriptive,-2,0.11764705882352941,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Lee2019_MI|level=1|method_id=U11,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Lee2019_MI,0,U15,Q2_target_count_descriptive,-2,0.11764705882352941,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Lee2019_MI|level=0|method_id=U15,0
