dataset,artifact_kind,expected,observed,replay_pass
Lee2019_MI,checkpoints,81,81,1
Lee2019_MI,optimizer_states,81,81,1
Lee2019_MI,sidecars,81,81,1
Lee2019_MI,source_audit,81,81,1
Lee2019_MI,target_unlabeled,81,81,1
Cho2017,checkpoints,81,81,1
Cho2017,optimizer_states,81,81,1
Cho2017,sidecars,81,81,1
Cho2017,source_audit,81,81,1
Cho2017,target_unlabeled,81,81,1
PhysionetMI,checkpoints,81,81,1
PhysionetMI,optimizer_states,81,81,1
PhysionetMI,sidecars,81,81,1
PhysionetMI,source_audit,81,81,1
PhysionetMI,target_unlabeled,81,81,1
