artifact,field_order,field,required,target_label_or_derived
C84F_COMPLETE_TARGET_UNLABELED,1,unit_id,1,0
C84F_COMPLETE_TARGET_UNLABELED,2,dataset,1,0
C84F_COMPLETE_TARGET_UNLABELED,3,panel,1,0
C84F_COMPLETE_TARGET_UNLABELED,4,training_seed,1,0
C84F_COMPLETE_TARGET_UNLABELED,5,level,1,0
C84F_COMPLETE_TARGET_UNLABELED,6,level_intervention_id,1,0
C84F_COMPLETE_TARGET_UNLABELED,7,regime,1,0
C84F_COMPLETE_TARGET_UNLABELED,8,epoch,1,0
C84F_COMPLETE_TARGET_UNLABELED,9,trajectory_order,1,0
C84F_COMPLETE_TARGET_UNLABELED,10,target_subject_id,1,0
C84F_COMPLETE_TARGET_UNLABELED,11,target_trial_id,1,0
C84F_COMPLETE_TARGET_UNLABELED,12,session,1,0
C84F_COMPLETE_TARGET_UNLABELED,13,run,1,0
C84F_COMPLETE_TARGET_UNLABELED,14,logits,1,0
C84F_COMPLETE_TARGET_UNLABELED,15,probabilities,1,0
C84F_COMPLETE_TARGET_UNLABELED,16,z,1,0
C84F_COMPLETE_TARGET_UNLABELED,17,Wz_plus_b,1,0
C84F_COMPLETE_TARGET_UNLABELED,18,classifier_weight,1,0
C84F_COMPLETE_TARGET_UNLABELED,19,classifier_bias,1,0
