wave,wave_order,dataset,panel,training_seed,level,zoos,candidate_units,training_phases,action,release_evidence,target_value_release_evidence_allowed
C84C_REUSE,0,Lee2019_MI,A,5,0,1,81,3,REPLAY_C84C,engineering_only,0
A,1,Lee2019_MI,A,5,1,1,81,3,TRAIN,engineering_only,0
A,1,Lee2019_MI,A,6,0,1,81,3,TRAIN,engineering_only,0
A,1,Lee2019_MI,A,6,1,1,81,3,TRAIN,engineering_only,0
B0,2,Lee2019_MI,B,5,0,1,81,3,TRAIN,engineering_only,0
B1,3,Lee2019_MI,B,5,1,1,81,3,TRAIN,engineering_only,0
B1,3,Lee2019_MI,B,6,0,1,81,3,TRAIN,engineering_only,0
B1,3,Lee2019_MI,B,6,1,1,81,3,TRAIN,engineering_only,0
C84C_REUSE,0,Cho2017,A,5,0,1,81,3,REPLAY_C84C,engineering_only,0
A,1,Cho2017,A,5,1,1,81,3,TRAIN,engineering_only,0
A,1,Cho2017,A,6,0,1,81,3,TRAIN,engineering_only,0
A,1,Cho2017,A,6,1,1,81,3,TRAIN,engineering_only,0
B0,2,Cho2017,B,5,0,1,81,3,TRAIN,engineering_only,0
B1,3,Cho2017,B,5,1,1,81,3,TRAIN,engineering_only,0
B1,3,Cho2017,B,6,0,1,81,3,TRAIN,engineering_only,0
B1,3,Cho2017,B,6,1,1,81,3,TRAIN,engineering_only,0
C84C_REUSE,0,PhysionetMI,A,5,0,1,81,3,REPLAY_C84C,engineering_only,0
A,1,PhysionetMI,A,5,1,1,81,3,TRAIN,engineering_only,0
A,1,PhysionetMI,A,6,0,1,81,3,TRAIN,engineering_only,0
A,1,PhysionetMI,A,6,1,1,81,3,TRAIN,engineering_only,0
B0,2,PhysionetMI,B,5,0,1,81,3,TRAIN,engineering_only,0
B1,3,PhysionetMI,B,5,1,1,81,3,TRAIN,engineering_only,0
B1,3,PhysionetMI,B,6,0,1,81,3,TRAIN,engineering_only,0
B1,3,PhysionetMI,B,6,1,1,81,3,TRAIN,engineering_only,0
