dataset,panel,training_seed,level,regime,epoch,trajectory_order,unit_id,historical_planned_unit_id,level_intervention_id,deleted_source_subject,deleted_class,level_intervention_registry_sha256,identity_json_sha256,C84L1C_canary
Lee2019_MI,A,5,1,ERM,199,0,c84l1_3fdfe3b8b23edb81c10193f37b706caf,c84v2_ccd04b77c83cd3a5e8e72f287e8a49e9,C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,31,left_hand,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,3fdfe3b8b23edb81c10193f37b706caf241dee68b6d1a862f56105175f21ee4e,1
Lee2019_MI,A,5,1,OACI,4,1,c84l1_5a261fb78894c0de6ed521a67ee1b181,c84v2_ff8ed82a4af349f3204cbc7766554434,C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,31,left_hand,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,5a261fb78894c0de6ed521a67ee1b181a59092428c154ea58b5e1a1f3dde8941,1
Lee2019_MI,A,5,1,OACI,9,2,c84l1_5db624684bd42ade6ae8746fd0c44b65,c84v2_ae86b9fa1e4783d37226a00e18a6ffce,C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,31,left_hand,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,5db624684bd42ade6ae8746fd0c44b65cb852a8faaa3cad8de189d9e318ff449,1
Lee2019_MI,A,5,1,OACI,14,3,c84l1_546889c86b3ae459803849a84e47a028,c84v2_838b0da4525b0aa55069a408837dac94,C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,31,left_hand,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,546889c86b3ae459803849a84e47a02809d8b2f481fecef90298d82cf32a9146,1
Lee2019_MI,A,5,1,OACI,19,4,c84l1_77e430faf1c08b15f5f4f77305b11b16,c84v2_18a1c61d575ccf5fb6705fbfb64856ff,C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,31,left_hand,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,77e430faf1c08b15f5f4f77305b11b16f0df44b08b01033208dce495d3d0fcf6,1
Lee2019_MI,A,5,1,OACI,24,5,c84l1_aebdd6bb9eab28e182fcc9a9379a5eae,c84v2_b69e0aeff5cfb8ebd66df1bab49853a9,C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,31,left_hand,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,aebdd6bb9eab28e182fcc9a9379a5eaee47e79bd11e01a1ccbf03341961b4014,1
Lee2019_MI,A,5,1,OACI,29,6,c84l1_6e083cfeb5f228d5d81e6d5f404d3b1e,c84v2_233c35d0b2dc72fb4106917a872e3385,C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,31,left_hand,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,6e083cfeb5f228d5d81e6d5f404d3b1e201f88e00b5347a15908d4bc604255f1,1
Lee2019_MI,A,5,1,OACI,34,7,c84l1_7d3bd9e557747eaa116274a7c51ba72f,c84v2_2bf939562fc9096671464ea4ba955854,C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,31,left_hand,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,7d3bd9e557747eaa116274a7c51ba72f284b5380bc1c9a0f0a391a012d249339,1
Lee2019_MI,A,5,1,OACI,39,8,c84l1_9edc93f32845b74dc64a486202b32fd7,c84v2_4e0984e28bd2c1e721955ff26da20b05,C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,31,left_hand,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,9edc93f32845b74dc64a486202b32fd77f0add36241379212a2dc5b8e8ac4dda,1
Lee2019_MI,A,5,1,OACI,44,9,c84l1_a912236da14472c02d7dd0db7fcf416a,c84v2_6f94a0fc76d589f324c542f67dac0b71,C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,31,left_hand,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,a912236da14472c02d7dd0db7fcf416afc1afb0fe4d4112d1335e6df32d4619b,1
