check_id,check,status,blocking,real_data_access
C84R2-RT-01,repair_protocol_hash_replays,PASS,1,0
C84R2-RT-02,execution_lock_self_hash_replays,PASS,1,0
C84R2-RT-03,runtime_bound_objects_63_of_63,PASS,1,0
C84R2-RT-04,runtime_bound_SHA_and_blob_replay,PASS,1,0
C84R2-RT-05,protocol_sidecars_6_of_6,PASS,1,0
C84R2-RT-06,montage_exact_order_and_digest,PASS,1,0
C84R2-RT-07,candidate_ID_digest_243,PASS,1,0
C84R2-RT-08,environment_python_exact,PASS,1,0
C84R2-RT-09,environment_distributions_exact,PASS,1,0
C84R2-RT-10,loader_sources_4_of_4,PASS,1,0
C84R2-RT-11,historical_V1_lock_preserved_nonoperative,PASS,1,0
C84R2-RT-12,only_C84C_V1_and_V2_locks_exist,PASS,1,0
C84R2-RT-13,V2_lock_status_not_authorized,PASS,1,0
C84R2-RT-14,fresh_authorization_record_absent,PASS,1,0
C84R2-RT-15,C84F_and_C84S_locks_absent,PASS,1,0
C84R2-RT-16,subject_identity_contract_three_datasets,PASS,1,0
C84R2-RT-17,epoch_interface_contract_persisted,PASS,1,0
C84R2-RT-18,source_audit_contract_243,PASS,1,0
C84R2-RT-19,target_unlabeled_contract_243,PASS,1,0
C84R2-RT-20,persisted_replay_contract_blocking,PASS,1,0
C84R2-RT-21,optimizer_load_contract,PASS,1,0
C84R2-RT-22,deterministic_prefix_three_datasets,PASS,1,0
C84R2-RT-23,attempt_ledger_starts_immediately_after_consumption,PASS,1,0
C84R2-RT-24,complete_gate_all_components_243,PASS,1,0
C84R2-RT-25,synthetic_calibration_all_pass,PASS,1,0
C84R2-RT-26,risk_register_no_open_blocker,PASS,1,0
C84R2-RT-27,failure_ledger_closed_before_lock,PASS,1,0
C84R2-RT-28,focused_regression_exact,PASS,1,0
C84R2-RT-29,C65_regression_exact,PASS,1,0
C84R2-RT-30,C23_regression_exact,PASS,1,0
C84R2-RT-31,full_regression_exact,PASS,1,0
C84R2-RT-32,all_regression_stderr_empty,PASS,1,0
C84R2-RT-33,zero_real_EEG_and_labels,PASS,1,0
C84R2-RT-34,zero_download_training_forward_GPU,PASS,1,0
C84R2-RT-35,zero_candidate_and_instrumentation_artifacts,PASS,1,0
C84R2-RT-36,no_raw_EEG_weight_or_cache_in_Git,PASS,1,0
C84R2-RT-37,no_tracked_payload_over_50MiB,PASS,1,0
