risk_id,blocking,status,control,real_label_access
target_label_alignment_drift,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
construction_evaluation_overlap,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
evaluation_path_reaches_selection,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
same_label_oracle_reachability,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
method_formula_retuned,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
Q0_chain_pseudoreplication,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
target_row_pseudoreplication,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
panel_seed_level_averaging_hides_heterogeneity,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
different_methods_support_cross_dataset_claim,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
LOTO_method_identity_lost,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
pooled_three_dataset_pvalue,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
partial_selection_or_result_publication,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
training_forward_or_GPU_called,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
target4_or_BNCI2014_004_consumed,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
C84S_authorization_inherited,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
raw_EEG_or_label_arrays_in_Git,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
external_validity_overclaim,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
binary_task_called_exact_four_class_replication,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
chain_dependent_FULL_digest,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
registered_table_without_production_writer,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
declarative_synthetic_row_called_end_to_end,1,CLOSED_AT_C84SL,locked_contract_and_executable_synthetic_test,0
