risk,blocking,status,evidence
V4_authorization_reused,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
V4_partial_selection_reused,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
V4_failure_root_overwritten,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
Stage_A_labels_reloaded,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
Lee_B32_sampled_with_replacement,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
Lee_B32_replaced_by_FULL,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
target_specific_budget_skipping,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
primary_budget_grid_changed,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
Q0_chain_count_reduced,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
paired_sample_plan_drift,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
cleanup_exception_masks_primary,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
partial_Stage_B_published,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
evaluation_descriptor_reaches_Stage_B,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
method_set_changed,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
threshold_changed,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
training_or_forward,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
GPU_or_oracle,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
automatic_retry,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
C85_started,1,CLOSED,protocol+implementation+full_scale_synthetic+red_team
