object_id,path,bytes,expected_sha256,observed_sha256,access_class,status
C84F_complete_field_manifest,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/C84F_COMPLETE_FIELD_MANIFEST.json,6334399,cfffcac1a55148941b809b69bed2c9a8957a94729ed7f2c2c29ed8d48c0134d8,cfffcac1a55148941b809b69bed2c9a8957a94729ed7f2c2c29ed8d48c0134d8,HASH_REPLAYED_METADATA,PASS
C84F_target_trial_registry,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/C84F_TARGET_UNLABELED_TRIAL_REGISTRY.json,8544261,52526aaf7d9bd941bac693a0947971dc35b9083c1c783619f97055926aceabb8,52526aaf7d9bd941bac693a0947971dc35b9083c1c783619f97055926aceabb8,HASH_REPLAYED_METADATA,PASS
C84S_V5_lock,/home/infres/yinwang/CMI_AAAI_oaci/oaci/reports/C84S_ANALYSIS_EXECUTION_LOCK_V5.json,19027,030be9c9ebac401ca9e7ae5e51bb1ce99b592faceac00fac8781070420b0b846,030be9c9ebac401ca9e7ae5e51bb1ce99b592faceac00fac8781070420b0b846,HASH_REPLAYED_METADATA,PASS
C84S_selection_manifest,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_b_selection_freeze/C84S_SELECTION_FREEZE_MANIFEST_V3.json,2161,30ad539c8758a15701a582f0391671682107beb694860c9c531856425f2c7df4,30ad539c8758a15701a582f0391671682107beb694860c9c531856425f2c7df4,HASH_REPLAYED_METADATA,PASS
C84S_scientific_result,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/C84S_RESULT.json,1059,5590f85c3552ec0176a015e34296059a950dd2c5853a51aa140657cf53d79ee7,5590f85c3552ec0176a015e34296059a950dd2c5853a51aa140657cf53d79ee7,HASH_REPLAYED_METADATA,PASS
C84S_result_manifest,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/C84S_RESULT_ARTIFACT_MANIFEST.json,2606,516ae135125d66233c9ee87aa71e5b40941fcb9140a63c036f58b40fce11a2b5,516ae135125d66233c9ee87aa71e5b40941fcb9140a63c036f58b40fce11a2b5,HASH_REPLAYED_METADATA,PASS
Stage_A_evaluation_seal,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v3/stage_a_labels/C84S_STAGE_A_EVALUATION_SEAL.json,587,54e06dff60d80255631dc4faa20c8c7db651f2af8fc5415671dd9ab6681b5502,54e06dff60d80255631dc4faa20c8c7db651f2af8fc5415671dd9ab6681b5502,HASH_REPLAYED_METADATA,PASS
evaluation_view_manifest,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v3/stage_a_labels/target_evaluation_label_view/manifest.json,347,6fad247629eb48340a4badf9ab1a0669652757a58216e46826e4dfd8bfd608bd,6fad247629eb48340a4badf9ab1a0669652757a58216e46826e4dfd8bfd608bd,HASH_REPLAYED_METADATA,PASS
evaluation_label_table,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v3/stage_a_labels/target_evaluation_label_view/labels.csv,394109,ea76c34663edac1e6e7e844fee6af3f06058aaaf3846febda1dff94df343a371,NOT_OPENED_C85URP,BOUND_BY_VIEW_MANIFEST_NOT_OPENED,BOUND_BY_PARENT_MANIFEST_NOT_OPENED
operative_unit_registry,/home/infres/yinwang/CMI_AAAI_oaci/oaci/reports/c84fl2_tables/operative_complete_unit_registry_replay.csv,515432,b0117d94f221eaab1b49b7181f3a026a77ee19ee4e1f7e8e9b9de541c7d45591,b0117d94f221eaab1b49b7181f3a026a77ee19ee4e1f7e8e9b9de541c7d45591,HASH_REPLAYED_METADATA,PASS
