dataset,confirmation_interface_id,committed_target_science,committed_access_evidence,evidence_path,untouched_access_certified,C86P_EEG_open,C86P_label_open,C86P_download,future_preaccess_replay_required
AlexMI,AlexMI,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
BNCI2003_004,BNCI2003_004,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
BNCI2014_001,BNCI2014_001,1,PRIOR_TARGET_SCIENCE,C84F_C84S_C85_COMMITTED_TARGET_SCIENCE,0,0,0,0,0
BNCI2014_002,BNCI2014_002,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
BNCI2014_004,BNCI2014_004,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
BNCI2015_001,BNCI2015_001,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
BNCI2015_004,BNCI2015_004,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Cho2017,Cho2017,1,PRIOR_TARGET_SCIENCE,C84F_C84S_C85_COMMITTED_TARGET_SCIENCE,0,0,0,0,0
Lee2019_MI,Lee2019_MI,1,PRIOR_TARGET_SCIENCE,C84F_C84S_C85_COMMITTED_TARGET_SCIENCE,0,0,0,0,0
GrosseWentrup2009,GrosseWentrup2009,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Schirrmeister2017,Schirrmeister2017,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Ofner2017,Ofner2017,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
PhysionetMI,PhysionetMI,1,PRIOR_TARGET_SCIENCE,C84F_C84S_C85_COMMITTED_TARGET_SCIENCE,0,0,0,0,0
Shin2017A,Shin2017A,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Shin2017B,Shin2017B,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Weibo2014,Weibo2014,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Zhou2016,Zhou2016,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Stieger2021,Stieger2021,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Liu2024,Liu2024,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Beetl2021_A,Beetl2021_A,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Beetl2021_B,Beetl2021_B,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Dreyer2023A,Dreyer2023A,0,HISTORICAL_LOCAL_PREPROCESSED_STORE_VERIFIED,archive/lpc-cmi-failed/notes/preprocessing_decision.md,0,0,0,0,0
Dreyer2023B,Dreyer2023B,0,HISTORICAL_LOCAL_PREPROCESSED_STORE_VERIFIED,archive/lpc-cmi-failed/notes/preprocessing_decision.md,0,0,0,0,0
Dreyer2023C,Dreyer2023C,0,HISTORICAL_LOCAL_PREPROCESSED_STORE_VERIFIED,archive/lpc-cmi-failed/notes/preprocessing_decision.md,0,0,0,0,0
Dreyer2023,Dreyer2023,0,HISTORICAL_LOCAL_PREPROCESSED_STORE_VERIFIED,archive/lpc-cmi-failed/notes/preprocessing_decision.md,0,0,0,0,0
BNCI2020_001,BNCI2020_001,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
BNCI2022_001,BNCI2022_001,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
BNCI2024_001,BNCI2024_001,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
BNCI2025_001,BNCI2025_001,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
BNCI2025_002,BNCI2025_002,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
BNCI2019_001,BNCI2019_001,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Tavakolan2017,Tavakolan2017,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
