method_id,claimed_exact_reference,faithful_object,historical_mislabel_corrected,C86H_code_must_freeze_before_access,fidelity_status
P0,0,NONE_OR_DISCLOSED_ADAPTATION,0,1,EXACT
P1,0,NONE_OR_DISCLOSED_ADAPTATION,0,1,EXACT_CLASS_ORACLE
A1,0,NONE_OR_DISCLOSED_ADAPTATION,0,1,ADAPTATION
A2H,1,general_K_sum_over_pairs_query_score,1,1,QUERY_SCORE_EXACT_GENERAL_K_HARA
A2M,0,NONE_OR_DISCLOSED_ADAPTATION,1,0,NOT_HARA_PROJECT_HEURISTIC
A3D,0,NONE_OR_DISCLOSED_ADAPTATION,0,0,PROJECT_ADAPTATION
A4,0,NONE_OR_DISCLOSED_ADAPTATION,0,0,PROJECT_HEURISTIC
ASE_XWED,0,NONE_OR_DISCLOSED_ADAPTATION,0,0,REQUIRES_NEW_MULTIACTION_SURROGATE
ONLINE_AMS,0,NONE_OR_DISCLOSED_ADAPTATION,0,0,K_SUPPORTED_SETTING_MISMATCH
MODEL_SELECTOR,0,NONE_OR_DISCLOSED_ADAPTATION,0,1,PREDICTION_INTERFACE_COMPATIBLE_OBJECTIVE_MISMATCH
CODA,0,NONE_OR_DISCLOSED_ADAPTATION,0,1,BINARY_PREDICTION_INTERFACE_COMPATIBLE_OBJECTIVE_MISMATCH
PPAT,0,NONE_OR_DISCLOSED_ADAPTATION,0,0,NO_LOCKED_MULTIACTION_NONLINEAR_PLUGIN_RULE
