dataset,subject,cal_sessions,query_sessions,n_cal,n_query,class_counts_cal,class_counts_query,fallback_used,exclusion_reason
BNCI2014_001,1,0train,1test,288,288,"{3: 72, 0: 72, 2: 72, 1: 72}","{1: 72, 2: 72, 0: 72, 3: 72}",False,
BNCI2014_001,2,0train,1test,288,288,"{1: 72, 2: 72, 0: 72, 3: 72}","{1: 72, 2: 72, 0: 72, 3: 72}",False,
BNCI2014_001,3,0train,1test,288,288,"{1: 72, 2: 72, 0: 72, 3: 72}","{1: 72, 2: 72, 0: 72, 3: 72}",False,
BNCI2014_001,4,0train,1test,288,288,"{3: 72, 1: 72, 2: 72, 0: 72}","{3: 72, 0: 72, 2: 72, 1: 72}",False,
BNCI2014_001,5,0train,1test,288,288,"{1: 72, 2: 72, 0: 72, 3: 72}","{1: 72, 2: 72, 0: 72, 3: 72}",False,
BNCI2014_001,6,0train,1test,288,288,"{3: 72, 2: 72, 1: 72, 0: 72}","{1: 72, 2: 72, 0: 72, 3: 72}",False,
BNCI2014_001,7,0train,1test,288,288,"{1: 72, 2: 72, 0: 72, 3: 72}","{1: 72, 2: 72, 0: 72, 3: 72}",False,
BNCI2014_001,8,0train,1test,288,288,"{1: 72, 2: 72, 0: 72, 3: 72}","{1: 72, 2: 72, 0: 72, 3: 72}",False,
BNCI2014_001,9,0train,1test,288,288,"{3: 72, 2: 72, 1: 72, 0: 72}","{1: 72, 2: 72, 0: 72, 3: 72}",False,
BNCI2015_001,10,0A,1B|2C,200,400,"{1: 100, 0: 100}","{0: 200, 1: 200}",False,
BNCI2015_001,11,0A,1B|2C,200,400,"{0: 100, 1: 100}","{0: 200, 1: 200}",False,
BNCI2015_001,12,0A,1B,200,200,"{0: 100, 1: 100}","{1: 100, 0: 100}",False,
BNCI2015_001,1,0A,1B,200,200,"{0: 100, 1: 100}","{1: 100, 0: 100}",False,
BNCI2015_001,2,0A,1B,200,200,"{0: 100, 1: 100}","{1: 100, 0: 100}",False,
BNCI2015_001,3,0A,1B,200,200,"{0: 100, 1: 100}","{1: 100, 0: 100}",False,
BNCI2015_001,4,0A,1B,200,200,"{0: 100, 1: 100}","{1: 100, 0: 100}",False,
BNCI2015_001,5,0A,1B,200,200,"{0: 100, 1: 100}","{1: 100, 0: 100}",False,
BNCI2015_001,6,0A,1B,200,200,"{1: 100, 0: 100}","{1: 100, 0: 100}",False,
BNCI2015_001,7,0A,1B,200,200,"{1: 100, 0: 100}","{1: 100, 0: 100}",False,
BNCI2015_001,8,0A,1B|2C,200,400,"{0: 100, 1: 100}","{1: 200, 0: 200}",False,
BNCI2015_001,9,0A,1B|2C,200,400,"{1: 100, 0: 100}","{1: 200, 0: 200}",False,
