dataset,backbone,feature_object,training_method,heldout_subject,seed,policy,accepted,refusal_reason,policy_positive,rank,chance,source_task_full,source_task_after_erasure,source_cv_task_drop,subject_decode_full,subject_decode_after_erasure,subject_decode_random,subject_decode_reduction,subject_reduction_vs_random,task_direction_consistency,task_direction_consistency_p,config_hash,git_sha,gated_target_bacc,identity_target_bacc,gated_minus_identity
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,G0,True,,,7,0.25,0.36337209302325585,0.38081395348837205,-0.0174418604651162,0.8401937046004843,0.05084745762711865,0.8220338983050846,0.7893462469733656,0.7711864406779659,0.19647069442956108,0.009950248756218905,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,0.421875,0.4288194444444444,-0.00694444444444442
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,G1,True,,,7,0.25,0.36337209302325585,0.38081395348837205,-0.0174418604651162,0.8401937046004843,0.05084745762711865,0.8220338983050846,0.7893462469733656,0.7711864406779659,0.19647069442956108,0.009950248756218905,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,0.421875,0.4288194444444444,-0.00694444444444442
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,G2,True,,,7,0.25,0.36337209302325585,0.38081395348837205,-0.0174418604651162,0.8401937046004843,0.05084745762711865,0.8220338983050846,0.7893462469733656,0.7711864406779659,0.19647069442956108,0.009950248756218905,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,0.421875,0.4288194444444444,-0.00694444444444442
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,G3,True,,,7,0.25,0.36337209302325585,0.38081395348837205,-0.0174418604651162,0.8401937046004843,0.05084745762711865,0.8220338983050846,0.7893462469733656,0.7711864406779659,0.19647069442956108,0.009950248756218905,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,0.421875,0.4288194444444444,-0.00694444444444442
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,1,G0,True,,,7,0.25,0.3436046511627907,0.3604651162790698,-0.01686046511627909,0.847457627118644,0.043583535108958835,0.8353510895883778,0.8038740920096852,0.7917675544794189,0.14029151462131764,0.029850746268656716,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,0.40451388888888895,0.42013888888888884,-0.015624999999999889
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,1,G1,True,,,7,0.25,0.3436046511627907,0.3604651162790698,-0.01686046511627909,0.847457627118644,0.043583535108958835,0.8353510895883778,0.8038740920096852,0.7917675544794189,0.14029151462131764,0.029850746268656716,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,0.40451388888888895,0.42013888888888884,-0.015624999999999889
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,1,G2,True,,,7,0.25,0.3436046511627907,0.3604651162790698,-0.01686046511627909,0.847457627118644,0.043583535108958835,0.8353510895883778,0.8038740920096852,0.7917675544794189,0.14029151462131764,0.029850746268656716,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,0.40451388888888895,0.42013888888888884,-0.015624999999999889
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,1,G3,True,,,7,0.25,0.3436046511627907,0.3604651162790698,-0.01686046511627909,0.847457627118644,0.043583535108958835,0.8353510895883778,0.8038740920096852,0.7917675544794189,0.14029151462131764,0.029850746268656716,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,0.40451388888888895,0.42013888888888884,-0.015624999999999889
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,2,G0,True,,,7,0.25,0.36337209302325585,0.3674418604651163,-0.004069767441860439,0.7917675544794189,0.0774818401937046,0.7968523002421308,0.7142857142857143,0.7193704600484262,0.30365984118622086,0.007462686567164179,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,0.42361111111111116,0.4392361111111111,-0.015624999999999944
BNCI2014_001,dgcnn_forward_graph_adapter,graph_z,erm,1,2,G1,True,,,7,0.25,0.36337209302325585,0.3674418604651163,-0.004069767441860439,0.7917675544794189,0.0774818401937046,0.7968523002421308,0.7142857142857143,0.7193704600484262,0.30365984118622086,0.007462686567164179,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,0.42361111111111116,0.4392361111111111,-0.015624999999999944
