model,dataset,target_subject,k,task_head_subject_alignment,subj_subspace_rank
cbramod,shu,1,1,0.0009,1
cbramod,shu,1,2,0.001,2
cbramod,shu,1,4,0.0036,4
cbramod,shu,1,8,0.0039,8
cbramod,shu,2,1,0.0012,1
cbramod,shu,2,2,0.0015,2
cbramod,shu,2,4,0.0035,4
cbramod,shu,2,8,0.0053,8
cbramod,shu,3,1,0.0008,1
cbramod,shu,3,2,0.0009,2
cbramod,shu,3,4,0.0035,4
cbramod,shu,3,8,0.0061,8
cbramod,shu,4,1,0.001,1
cbramod,shu,4,2,0.0017,2
cbramod,shu,4,4,0.0017,4
cbramod,shu,4,8,0.0039,8
cbramod,shu,5,1,0.0003,1
cbramod,shu,5,2,0.0015,2
cbramod,shu,5,4,0.0015,4
cbramod,shu,5,8,0.007,8
cbramod,shu,6,1,0.0007,1
cbramod,shu,6,2,0.0011,2
cbramod,shu,6,4,0.0024,4
cbramod,shu,6,8,0.0041,8
cbramod,shu,7,1,0.0003,1
cbramod,shu,7,2,0.0013,2
cbramod,shu,7,4,0.0028,4
cbramod,shu,7,8,0.0119,8
cbramod,shu,8,1,0.0007,1
cbramod,shu,8,2,0.0016,2
cbramod,shu,8,4,0.0016,4
cbramod,shu,8,8,0.005,8
cbramod,shu,9,1,0.0012,1
cbramod,shu,9,2,0.0012,2
cbramod,shu,9,4,0.0014,4
cbramod,shu,9,8,0.0038,8
cbramod,shu,10,1,0.0004,1
cbramod,shu,10,2,0.0007,2
cbramod,shu,10,4,0.0025,4
cbramod,shu,10,8,0.0072,8
cbramod,shu,11,1,0.0007,1
cbramod,shu,11,2,0.0013,2
cbramod,shu,11,4,0.0034,4
cbramod,shu,11,8,0.0054,8
cbramod,shu,12,1,0.0006,1
cbramod,shu,12,2,0.0019,2
cbramod,shu,12,4,0.0024,4
cbramod,shu,12,8,0.0043,8
cbramod,shu,13,1,0.0003,1
cbramod,shu,13,2,0.0005,2
cbramod,shu,13,4,0.002,4
cbramod,shu,13,8,0.0062,8
cbramod,shu,14,1,0.0007,1
cbramod,shu,14,2,0.0017,2
cbramod,shu,14,4,0.0032,4
cbramod,shu,14,8,0.0053,8
cbramod,shu,15,1,0.0007,1
cbramod,shu,15,2,0.0014,2
cbramod,shu,15,4,0.003,4
cbramod,shu,15,8,0.0051,8
cbramod,shu,16,1,0.0007,1
cbramod,shu,16,2,0.0015,2
cbramod,shu,16,4,0.0021,4
cbramod,shu,16,8,0.0046,8
cbramod,shu,17,1,0.0009,1
cbramod,shu,17,2,0.0009,2
cbramod,shu,17,4,0.0039,4
cbramod,shu,17,8,0.0072,8
cbramod,shu,18,1,0.0001,1
cbramod,shu,18,2,0.001,2
cbramod,shu,18,4,0.0019,4
cbramod,shu,18,8,0.0055,8
cbramod,shu,19,1,0.0018,1
cbramod,shu,19,2,0.0018,2
cbramod,shu,19,4,0.0018,4
cbramod,shu,19,8,0.0041,8
cbramod,shu,20,1,0.0001,1
cbramod,shu,20,2,0.0008,2
cbramod,shu,20,4,0.0027,4
cbramod,shu,20,8,0.0098,8
cbramod,shu,21,1,0.0006,1
cbramod,shu,21,2,0.0022,2
cbramod,shu,21,4,0.003,4
cbramod,shu,21,8,0.0055,8
cbramod,shu,22,1,0.0007,1
cbramod,shu,22,2,0.0015,2
cbramod,shu,22,4,0.0015,4
