N_source,seed,n,subset
2,0,2,21;54
2,1,2,64;98
2,2,2,40;62
2,3,2,19;29
2,4,2,2;74
2,5,2,10;44
2,6,2,36;53
2,7,2,7;9
2,8,2,18;37
2,9,2,8;74
4,0,4,20;53;63;90
4,1,4,3;62;84;95
4,2,4,38;39;61;79
4,3,4,19;26;28;60
4,4,4,2;13;14;73
4,5,4,10;43;102;104
4,6,4,20;34;52;63
4,7,4,7;9;73;85
4,8,4,17;36;51;85
4,9,4,7;34;63;73
8,0,8,19;21;49;51;60;81;84;109
8,1,8,3;19;52;60;78;79;86;94
8,2,8,36;37;41;59;63;75;76;94
8,3,8,18;25;27;51;57;68;94;106
8,4,8,2;13;14;15;19;40;69;77
8,5,8,9;28;41;43;51;66;98;99
8,6,8,19;24;29;32;41;50;60;68
8,7,8,7;8;10;20;65;70;80;107
8,8,8,11;17;22;34;49;56;79;108
8,9,8,7;25;28;32;60;66;69;107
16,0,16,18;19;26;27;28;43;45;49;51;52;55;74;75;77;99;104
16,1,16,3;9;11;17;18;20;43;47;50;54;64;71;73;77;80;109
16,2,16,8;13;19;30;32;37;53;55;57;68;73;80;90;96;102;106
16,3,16,17;21;23;25;34;45;52;62;63;65;71;73;76;80;95;103
16,4,16,2;12;13;14;18;32;37;45;59;61;63;70;81;84;94;107
16,5,16,9;12;17;25;34;38;40;45;52;61;78;80;81;84;85;102
16,6,16,7;17;22;24;26;28;32;38;41;44;47;54;63;77;101;109
16,7,16,7;8;9;11;19;20;41;45;57;60;64;70;73;86;91;96
16,8,16,4;10;15;20;24;29;36;41;43;51;63;73;84;98;101;103
16,9,16,6;7;22;23;26;28;52;54;57;60;61;63;78;79;81;103
all,0,90,2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32;34;36;37;38;39;40;41;42;43;44;45;47;49;50;51;52;53;54;55;56;57;59;60;61;62;63;64;65;66;67;68;69;70;71;73;74;75;76;77;78;79;80;81;84;85;86;90;91;94;95;96;98;99;101;102;103;104;106;107;108;109
