model,condition,N_source,seed,task_gated,subj_rank,l5_drop_subject,l5_drop_variance,l5_beats_variance,l5_removed_var
cbramod,growing,2,0,False,,,,,
cbramod,fixed,2,0,False,,,,,
cbramod,growing,2,1,False,,,,,
cbramod,fixed,2,1,False,,,,,
cbramod,growing,2,2,True,2,0.0,0.0,False,0.1241
cbramod,fixed,2,2,True,2,0.0,0.0,False,0.1241
cbramod,growing,2,3,True,2,0.1111,0.0,True,0.1716
cbramod,fixed,2,3,True,2,0.1111,0.0,True,0.1716
cbramod,growing,2,4,False,,,,,
cbramod,fixed,2,4,False,,,,,
cbramod,growing,2,5,False,,,,,
cbramod,fixed,2,5,False,,,,,
cbramod,growing,2,6,True,2,0.0,0.0,False,0.1238
cbramod,fixed,2,6,True,2,0.0,0.0,False,0.1238
cbramod,growing,2,7,True,2,-0.05,-0.05,False,0.1528
cbramod,fixed,2,7,True,2,-0.05,-0.05,False,0.1528
cbramod,growing,2,8,True,2,0.05,0.0,True,0.1201
cbramod,fixed,2,8,True,2,0.05,0.0,True,0.1201
cbramod,growing,2,9,False,,,,,
cbramod,fixed,2,9,False,,,,,
cbramod,growing,4,0,False,,,,,
cbramod,fixed,4,0,True,6,0.0,0.0,False,0.2139
cbramod,growing,4,1,True,6,0.0,0.0,False,0.174
cbramod,fixed,4,1,True,6,0.0,0.0,False,0.1749
cbramod,growing,4,2,False,,,,,
cbramod,fixed,4,2,False,,,,,
cbramod,growing,4,3,True,6,0.0,0.0,False,0.1953
cbramod,fixed,4,3,False,,,,,
cbramod,growing,4,4,False,,,,,
cbramod,fixed,4,4,False,,,,,
cbramod,growing,4,5,False,,,,,
cbramod,fixed,4,5,False,,,,,
cbramod,growing,4,6,False,,,,,
cbramod,fixed,4,6,False,,,,,
cbramod,growing,4,7,True,6,0.0,0.0,False,0.2238
cbramod,fixed,4,7,False,,,,,
cbramod,growing,4,8,False,,,,,
cbramod,fixed,4,8,True,6,-0.05,0.0,False,0.2583
cbramod,growing,4,9,False,,,,,
cbramod,fixed,4,9,True,6,0.254,-0.0714,True,0.1749
cbramod,growing,8,0,False,,,,,
cbramod,fixed,8,0,False,,,,,
cbramod,growing,8,1,True,8,0.0161,-0.0142,True,0.2129
cbramod,fixed,8,1,True,8,0.05,0.1,False,0.1855
cbramod,growing,8,2,False,,,,,
cbramod,fixed,8,2,True,8,0.0,0.0,False,0.2469
cbramod,growing,8,3,True,8,0.0171,0.0484,False,0.18
cbramod,fixed,8,3,False,,,,,
cbramod,growing,8,4,False,,,,,
cbramod,fixed,8,4,True,8,0.05,0.0,True,0.2344
cbramod,growing,8,5,False,,,,,
cbramod,fixed,8,5,False,,,,,
cbramod,growing,8,6,True,8,0.0,0.0185,False,0.2835
cbramod,fixed,8,6,True,8,-0.05,-0.05,False,0.2573
cbramod,growing,8,7,False,,,,,
cbramod,fixed,8,7,True,8,-0.0417,-0.0417,False,0.2193
cbramod,growing,8,8,True,8,-0.0156,-0.0156,False,0.2
cbramod,fixed,8,8,True,8,0.0556,0.0,True,0.1654
cbramod,growing,8,9,True,8,-0.0167,0.0,False,0.2403
cbramod,fixed,8,9,False,,,,,
cbramod,growing,16,0,True,8,-0.023,0.0,False,0.1437
cbramod,growing,16,1,True,8,0.0158,0.0158,False,0.1538
cbramod,growing,16,2,True,8,-0.0007,-0.0082,True,0.1666
cbramod,growing,16,3,True,8,-0.0118,0.0135,False,0.191
cbramod,growing,16,4,True,8,-0.0233,-0.0154,False,0.1764
cbramod,growing,16,5,True,8,0.0157,0.0157,False,0.1774
cbramod,growing,16,6,False,,,,,
cbramod,growing,16,7,True,8,0.001,0.002,False,0.1596
cbramod,growing,16,8,False,,,,,
cbramod,growing,16,9,True,8,-0.0086,0.0057,False,0.1608
cbramod,growing,104,0,True,8,-0.0015,0.0114,False,0.0522
codebrain,growing,2,0,False,,,,,
codebrain,fixed,2,0,False,,,,,
codebrain,growing,2,1,False,,,,,
codebrain,fixed,2,1,False,,,,,
codebrain,growing,2,2,True,2,0.0,0.0455,False,0.1427
codebrain,fixed,2,2,True,2,0.0,0.0455,False,0.1427
codebrain,growing,2,3,True,2,0.0,0.0714,False,0.2324
codebrain,fixed,2,3,True,2,0.0,0.0714,False,0.2324
codebrain,growing,2,4,True,2,-0.05,0.05,False,0.1929
codebrain,fixed,2,4,True,2,-0.05,0.05,False,0.1929
codebrain,growing,2,5,False,,,,,
codebrain,fixed,2,5,False,,,,,
codebrain,growing,2,6,False,,,,,
codebrain,fixed,2,6,False,,,,,
codebrain,growing,2,7,True,2,0.0833,0.0833,False,0.2572
codebrain,fixed,2,7,True,2,0.0833,0.0833,False,0.2572
codebrain,growing,2,8,True,2,0.0,0.0,False,0.1788
codebrain,fixed,2,8,True,2,0.0,0.0,False,0.1788
codebrain,growing,2,9,False,,,,,
codebrain,fixed,2,9,False,,,,,
codebrain,growing,4,0,False,,,,,
codebrain,fixed,4,0,True,6,0.0,-0.0417,True,0.2706
codebrain,growing,4,1,True,6,0.0,0.0,False,0.1782
codebrain,fixed,4,1,True,6,0.0,0.0,False,0.2045
codebrain,growing,4,2,False,,,,,
codebrain,fixed,4,2,False,,,,,
codebrain,growing,4,3,False,,,,,
codebrain,fixed,4,3,True,6,0.1,0.1,False,0.2794
codebrain,growing,4,4,False,,,,,
codebrain,fixed,4,4,True,6,0.05,-0.0333,True,0.3216
codebrain,growing,4,5,False,,,,,
codebrain,fixed,4,5,False,,,,,
codebrain,growing,4,6,False,,,,,
codebrain,fixed,4,6,False,,,,,
codebrain,growing,4,7,False,,,,,
codebrain,fixed,4,7,False,,,,,
codebrain,growing,4,8,True,6,0.0,0.0625,False,0.3049
codebrain,fixed,4,8,True,6,0.0833,0.0,True,0.3701
codebrain,growing,4,9,True,6,0.0,0.0,False,0.3123
codebrain,fixed,4,9,False,,,,,
codebrain,growing,8,0,False,,,,,
codebrain,fixed,8,0,False,,,,,
codebrain,growing,8,1,False,,,,,
codebrain,fixed,8,1,False,,,,,
codebrain,growing,8,2,True,8,0.0253,0.0,True,0.3103
codebrain,fixed,8,2,True,8,0.0,0.0,False,0.2939
codebrain,growing,8,3,False,,,,,
codebrain,fixed,8,3,False,,,,,
codebrain,growing,8,4,False,,,,,
codebrain,fixed,8,4,False,,,,,
codebrain,growing,8,5,False,,,,,
codebrain,fixed,8,5,True,8,0.1667,0.1667,False,0.207
codebrain,growing,8,6,False,,,,,
codebrain,fixed,8,6,True,8,0.0,-0.05,True,0.3767
codebrain,growing,8,7,False,,,,,
codebrain,fixed,8,7,False,,,,,
codebrain,growing,8,8,False,,,,,
codebrain,fixed,8,8,False,,,,,
codebrain,growing,8,9,False,,,,,
codebrain,fixed,8,9,True,8,0.0625,0.0,True,0.2851
codebrain,growing,16,0,False,,,,,
codebrain,growing,16,1,True,8,0.0,0.0,False,0.1861
codebrain,growing,16,2,True,8,-0.0007,-0.0015,True,0.2225
codebrain,growing,16,3,False,,,,,
codebrain,growing,16,4,True,8,-0.0077,-0.0241,True,0.2113
codebrain,growing,16,5,False,,,,,
codebrain,growing,16,6,False,,,,,
codebrain,growing,16,7,False,,,,,
codebrain,growing,16,8,False,,,,,
codebrain,growing,16,9,True,8,-0.0086,-0.0172,True,0.207
codebrain,growing,104,0,True,8,-0.0038,-0.0158,True,0.0497
