dataset,target_subject,alpha,branch,bacc_orig,bacc_injected,R0_exact_bacc,R0_recovery,R1_oracle_bacc,R1_recovery,R2_source_est_bacc,R2_recovery,R3_random_bacc,R3_recovery
BNCI2014_001,1,1.0,spatial_z,0.4045,0.2847,0.4045,1.0,0.3681,0.6957,0.3264,0.3478,0.2882,0.029
BNCI2014_001,1,2.0,spatial_z,0.4045,0.2517,0.4045,1.0,0.3681,0.7614,0.2674,0.1023,0.2535,0.0114
BNCI2014_001,2,1.0,spatial_z,0.283,0.276,0.283,1.0,0.2569,-2.75,0.2795,0.5,0.2743,-0.25
BNCI2014_001,2,2.0,spatial_z,0.283,0.2917,0.283,1.0,0.2569,4.0,0.2708,2.4,0.2969,-0.6
BNCI2014_001,3,1.0,spatial_z,0.4826,0.4931,0.4826,1.0,0.467,2.5,0.3733,11.5,0.4635,2.8333
BNCI2014_001,3,2.0,spatial_z,0.4826,0.4635,0.4826,1.0,0.467,0.1818,0.3438,-6.2727,0.4566,-0.3636
BNCI2014_001,4,1.0,spatial_z,0.3472,0.3108,0.3472,1.0,0.2535,-1.5714,0.2812,-0.8095,0.3108,0.0
BNCI2014_001,4,2.0,spatial_z,0.3472,0.25,0.3472,1.0,0.2535,0.0357,0.2535,0.0357,0.25,0.0
BNCI2014_001,5,1.0,spatial_z,0.2535,0.2674,0.2535,1.0,0.2413,1.875,0.2552,0.875,0.2639,0.25
BNCI2014_001,5,2.0,spatial_z,0.2535,0.2535,0.2535,nan,0.2413,nan,0.2622,nan,0.2587,nan
BNCI2014_001,6,1.0,spatial_z,0.2865,0.2899,0.2865,1.0,0.2743,4.5,0.2726,5.0,0.2882,0.5
BNCI2014_001,6,2.0,spatial_z,0.2865,0.2847,0.2865,1.0,0.2743,-6.0,0.2622,-13.0,0.2865,1.0
BNCI2014_001,7,1.0,spatial_z,0.2587,0.2865,0.2587,1.0,0.2604,0.9375,0.3281,-1.5,0.2708,0.5625
BNCI2014_001,7,2.0,spatial_z,0.2587,0.3108,0.2587,1.0,0.2604,0.9667,0.3455,-0.6667,0.3073,0.0667
