dataset,backbone,eraser,chance_task,subj_lin_2a,subj_mlp_2a,subj_dec_after,tgt_bacc,dtgt_bacc,tgt_nll,dtgt_nll,worst_subject_tgt_bacc,raw_improves_target_flag,benefit_claimable,benefit_block_reason,verdict,note
BNCI2014_001,EEGNet,full,0.25,0.81867,0.88124,0.82387,0.40966,,1.63533,,0.26273,,NO,baseline,baseline,
BNCI2014_001,EEGNet,TOS_VD,0.25,0.35796,0.54462,0.35698,0.40921,-0.00045,1.6464,0.01107,0.26505,False,NO,no_bacc_gain,no_target_gain,
BNCI2014_001,EEGNet,LEACE,0.25,0.11545,0.39334,0.12592,0.39841,-0.01125,1.56577,-0.06956,0.2581,False,NO,no_bacc_gain,no_target_gain,
BNCI2014_001,EEGNet,RLACE,0.25,0.29335,0.48698,0.26363,0.39789,-0.01177,1.54017,-0.09516,0.2581,False,NO,no_bacc_gain,no_target_gain,
BNCI2014_001,EEGNet,INLP,0.25,0.11545,0.11545,0.11675,0.25,-0.15966,1.38629,-0.24903,0.25,False,NO,task_collapse,task_collapse,
BNCI2014_001,EEGNet,random_k,0.25,0.73438,0.80843,0.74344,0.40242,-0.00723,1.61701,-0.01832,0.25904,True,NO,no_bacc_gain,no_target_gain,
BNCI2014_001,TSMNet,full,0.25,0.99727,0.99685,0.99772,0.39525,,2.89455,,0.27141,,NO,baseline,baseline,
BNCI2014_001,TSMNet,TOS_VD,0.25,0.9167,0.95771,0.92335,0.39493,-0.00032,2.90008,0.00552,0.27141,False,NO,no_bacc_gain,no_target_gain,
BNCI2014_001,TSMNet,LEACE,0.25,0.11545,0.7396,0.06817,0.39596,0.00071,2.86368,-0.03087,0.27141,True,NO,nll_nonspecific_randomk,no_target_gain,
BNCI2014_001,TSMNet,RLACE,0.25,0.8556,0.94409,0.8053,0.39127,-0.00399,2.80524,-0.08932,0.26562,True,NO,nll_nonspecific_randomk,no_target_gain,
BNCI2014_001,TSMNet,INLP,0.25,0.14104,0.46373,0.08229,0.33314,-0.06211,1.74495,-1.1496,0.25637,True,NO,nll_nonspecific_randomk,harms_target,
