dataset,target_subject,token_seed,k,lam,netted_rec,clean_drop
BNCI2014_001,1,0,1,0.5,0.12402000157492721,0.01215277777777779
BNCI2014_001,1,0,1,1.0,0.2671982045830383,0.04456018518518523
BNCI2014_001,1,0,2,0.5,0.2893889282620677,0.015046296296296243
BNCI2014_001,1,0,2,1.0,0.6495188597527365,0.06539351851851853
BNCI2014_001,1,0,4,0.5,0.4128285691786755,0.01851851851851849
BNCI2014_001,1,0,4,1.0,0.8791038664461767,0.07233796296296298
BNCI2014_001,1,20260707,1,0.5,0.08534911924527812,0.00462962962962965
BNCI2014_001,1,20260707,1,1.0,0.20123017548091418,0.026620370370370388
BNCI2014_001,1,20260707,2,0.5,0.27910778776122797,0.0005787037037037202
BNCI2014_001,1,20260707,2,1.0,0.6660274578383484,0.011574074074074106
BNCI2014_001,1,20260707,4,0.5,0.3661969754835941,0.008101851851851824
BNCI2014_001,1,20260707,4,1.0,0.8048865303825203,0.028935185185185192
BNCI2014_001,1,20260708,1,0.5,0.03187857386044305,0.006365740740740773
BNCI2014_001,1,20260708,1,1.0,0.08904233525759714,0.017939814814814842
BNCI2014_001,1,20260708,2,0.5,0.05264248395280865,0.010416666666666704
BNCI2014_001,1,20260708,2,1.0,0.18080173715116676,0.02893518518518523
BNCI2014_001,1,20260708,4,0.5,0.11389016603017073,0.010995370370370424
BNCI2014_001,1,20260708,4,1.0,0.3283810242297632,0.026041666666666703
BNCI2014_001,1,20260709,1,0.5,0.25399502925213463,0.005787037037037053
BNCI2014_001,1,20260709,1,1.0,0.5711213956154937,0.013888888888888914
BNCI2014_001,1,20260709,2,0.5,0.2916695082861625,0.009837962962962984
BNCI2014_001,1,20260709,2,1.0,0.6936657208030431,0.030092592592592598
BNCI2014_001,1,20260709,4,0.5,0.35132433376852096,0.009259259259259337
BNCI2014_001,1,20260709,4,1.0,0.826659484203617,0.027777777777777752
BNCI2014_001,2,0,1,0.5,0.9090909090909087,0.0011574074074073848
BNCI2014_001,2,0,1,1.0,1.167929292929312,0.006365740740740755
BNCI2014_001,2,0,2,0.5,0.7575757575757597,-3.700743415417188e-17
BNCI2014_001,2,0,2,1.0,1.2853535353535441,0.010995370370370405
BNCI2014_001,2,0,4,0.5,0.3156565656565564,0.0011574074074073848
BNCI2014_001,2,0,4,1.0,0.3106060606060482,0.008101851851851785
BNCI2014_001,2,20260707,1,0.5,-0.0454678362573103,0.001736111111111142
BNCI2014_001,2,20260707,1,1.0,-0.008291562238932904,0.005787037037037035
BNCI2014_001,2,20260707,2,0.5,-0.026587301587302808,0.010416666666666649
