dataset,target_subject,token_seed,thr,shift_a0.5,shift_a1.0,shift_a1.5,shift_a2.0,alpha_star
BNCI2014_001,1,0,4.2894,3.0657,6.0377,8.9099,11.6772,1.0
BNCI2014_001,1,20260721,4.2894,2.7729,5.8111,9.0886,12.5751,1.0
BNCI2014_001,1,20260722,4.2894,3.315,6.9269,10.813,14.9484,1.0
BNCI2014_001,1,20260723,4.2894,1.8209,3.9308,6.3919,9.2688,1.5
BNCI2014_001,1,20260724,4.2894,1.2475,2.4511,3.482,4.2423,2.0
BNCI2014_001,1,20260725,4.2894,1.3593,2.7474,4.1555,5.5747,2.0
BNCI2014_001,1,20260726,4.2894,2.1941,4.4307,6.6889,8.9522,1.0
BNCI2014_001,1,20260727,4.2894,2.4834,4.9602,7.3906,9.745,1.0
BNCI2014_001,1,20260728,4.2894,1.7471,3.3261,4.7823,6.146,1.5
BNCI2014_001,2,0,1.1181,0.5472,1.091,1.6199,2.1236,1.5
BNCI2014_001,2,20260721,1.1181,0.5824,1.1935,1.826,2.4731,1.0
BNCI2014_001,2,20260722,1.1181,0.4874,0.9354,1.3368,1.6869,1.5
BNCI2014_001,2,20260723,1.1181,0.696,1.4029,2.1121,2.8153,1.0
BNCI2014_001,2,20260724,1.1181,0.2881,0.5436,0.7601,0.9338,2.0
BNCI2014_001,2,20260725,1.1181,0.3564,0.6669,0.9311,1.15,2.0
BNCI2014_001,2,20260726,1.1181,0.7978,1.5955,2.3823,3.1473,1.0
BNCI2014_001,2,20260727,1.1181,0.5959,1.1952,1.7875,2.3642,1.0
BNCI2014_001,2,20260728,1.1181,0.6291,1.2647,1.8926,2.5012,1.0
BNCI2014_001,3,0,0.2,0.1129,0.227,0.3421,0.4581,1.0
BNCI2014_001,3,20260721,0.2,0.1226,0.2368,0.3423,0.4391,1.0
BNCI2014_001,3,20260722,0.2,0.1384,0.2609,0.3664,0.4543,1.0
BNCI2014_001,3,20260723,0.2,0.0504,0.1032,0.158,0.2143,2.0
BNCI2014_001,3,20260724,0.2,0.1016,0.2009,0.2968,0.388,1.0
BNCI2014_001,3,20260725,0.2,0.136,0.2706,0.4013,0.526,1.0
BNCI2014_001,3,20260726,0.2,0.129,0.2557,0.3794,0.499,1.0
BNCI2014_001,3,20260727,0.2,0.0443,0.0928,0.1454,0.2022,2.0
BNCI2014_001,3,20260728,0.2,0.0676,0.1335,0.1982,0.2622,2.0
BNCI2014_001,4,0,1.5454,0.8072,1.6279,2.4556,3.284,1.0
BNCI2014_001,4,20260721,1.5454,0.7428,1.406,1.9784,2.4519,1.5
BNCI2014_001,4,20260722,1.5454,1.045,2.1401,3.272,4.4277,1.0
BNCI2014_001,4,20260723,1.5454,0.5001,0.9439,1.3312,1.6625,2.0
BNCI2014_001,4,20260724,1.5454,0.4788,0.8652,1.1598,1.3682,2.0
BNCI2014_001,4,20260725,1.5454,0.9301,1.8499,2.7469,3.6111,1.0
BNCI2014_001,4,20260726,1.5454,0.7363,1.4171,2.0248,2.5462,1.5
