dataset,target_subject,token_seed,injtype,mean_disp,E4_netted_rec,harm
BNCI2014_001,1,0,varmod,0.0,-0.4,0.0521
BNCI2014_001,1,0,covtoken,0.0,-0.5217,0.0799
BNCI2014_001,1,20260721,varmod,0.0,-0.0606,0.0573
BNCI2014_001,1,20260721,covtoken,0.0,-0.3462,0.0451
BNCI2014_001,1,20260722,varmod,0.0,0.0625,0.0556
BNCI2014_001,1,20260722,covtoken,0.0,0.5,0.0278
BNCI2014_001,1,20260723,varmod,0.0,-0.1538,0.0451
BNCI2014_001,1,20260723,covtoken,0.0,-0.0588,0.059
BNCI2014_001,1,20260724,varmod,0.0,-0.375,0.0972
BNCI2014_001,1,20260724,covtoken,0.0,-3.2222,0.0156
BNCI2014_001,1,20260725,varmod,0.0,-0.3333,0.0417
BNCI2014_001,1,20260725,covtoken,0.0,-0.4138,0.0503
BNCI2014_001,1,20260726,varmod,0.0,-0.2444,0.0781
BNCI2014_001,1,20260726,covtoken,0.0,-0.6667,0.0573
BNCI2014_001,1,20260727,varmod,0.0,-0.2439,0.0712
BNCI2014_001,1,20260727,covtoken,0.0,-0.2857,0.0365
BNCI2014_001,1,20260728,varmod,0.0,-0.3023,0.0747
BNCI2014_001,1,20260728,covtoken,0.0,-0.4167,0.0833
BNCI2014_001,2,0,varmod,0.0,0.75,0.0069
BNCI2014_001,2,0,covtoken,0.0,0.6154,0.0226
BNCI2014_001,2,20260721,varmod,0.0,0.1667,0.0312
BNCI2014_001,2,20260721,covtoken,0.0,0.7692,0.0226
BNCI2014_001,2,20260722,varmod,0.0,0.125,0.0278
BNCI2014_001,2,20260722,covtoken,0.0,0.1,0.0174
BNCI2014_001,2,20260723,varmod,0.0,0.5,0.0208
BNCI2014_001,2,20260723,covtoken,0.0,0.4,0.0174
BNCI2014_001,2,20260724,varmod,0.0,0.8571,0.0122
BNCI2014_001,2,20260724,covtoken,0.0,4.0,-0.0017
BNCI2014_001,2,20260725,varmod,0.0,0.5,0.0104
BNCI2014_001,2,20260725,covtoken,0.0,7.0,0.0017
BNCI2014_001,2,20260726,varmod,0.0,0.6667,0.0052
BNCI2014_001,2,20260726,covtoken,0.0,-2.75,0.0069
BNCI2014_001,2,20260727,varmod,0.0,0.3333,0.026
BNCI2014_001,2,20260727,covtoken,0.0,1.0,0.0139
BNCI2014_001,2,20260728,varmod,0.0,0.0,0.0226
BNCI2014_001,2,20260728,covtoken,0.0,-1.0,0.0104
BNCI2014_001,3,0,varmod,0.0,-0.3,0.0174
BNCI2014_001,3,0,covtoken,0.0,-1.5,0.0069
BNCI2014_001,3,20260721,varmod,0.0,0.3333,0.0052
BNCI2014_001,3,20260721,covtoken,0.0,-0.0,0.0017
BNCI2014_001,3,20260722,varmod,0.0,-0.0,0.0278
BNCI2014_001,3,20260722,covtoken,0.0,-7.0,0.0017
BNCI2014_001,3,20260723,varmod,0.0,-1.0,0.0069
BNCI2014_001,3,20260723,covtoken,0.0,1.3333,-0.0052
BNCI2014_001,3,20260724,varmod,0.0,-0.2,0.0174
BNCI2014_001,3,20260724,covtoken,0.0,-0.5714,0.0122
BNCI2014_001,3,20260725,varmod,0.0,0.1538,0.0226
BNCI2014_001,3,20260725,covtoken,0.0,0.5,0.0174
BNCI2014_001,3,20260726,varmod,0.0,-0.2,-0.0087
BNCI2014_001,3,20260726,covtoken,0.0,-0.4286,0.0122
BNCI2014_001,3,20260727,varmod,0.0,0.4667,0.026
BNCI2014_001,3,20260727,covtoken,0.0,0.5,0.0174
BNCI2014_001,3,20260728,varmod,0.0,-0.0,0.0104
BNCI2014_001,3,20260728,covtoken,0.0,,-0.0
BNCI2014_001,4,0,varmod,0.0,2.2,-0.0174
BNCI2014_001,4,0,covtoken,0.0,-0.2857,0.0365
BNCI2014_001,4,20260721,varmod,0.0,0.0,0.0035
BNCI2014_001,4,20260721,covtoken,0.0,-0.4,0.0087
BNCI2014_001,4,20260722,varmod,0.0,-0.6875,0.0278
BNCI2014_001,4,20260722,covtoken,0.0,4.5,-0.0069
BNCI2014_001,4,20260723,varmod,0.0,-0.2121,0.0573
BNCI2014_001,4,20260723,covtoken,0.0,0.0698,0.0747
BNCI2014_001,4,20260724,varmod,0.0,-0.1724,0.0503
BNCI2014_001,4,20260724,covtoken,0.0,-0.5,0.0417
BNCI2014_001,4,20260725,varmod,0.0,0.3333,0.0521
BNCI2014_001,4,20260725,covtoken,0.0,-0.0952,0.0729
BNCI2014_001,4,20260726,varmod,0.0,0.0833,0.0208
BNCI2014_001,4,20260726,covtoken,0.0,0.5652,0.0799
BNCI2014_001,4,20260727,varmod,0.0,0.5,0.0139
BNCI2014_001,4,20260727,covtoken,0.0,1.1429,0.0122
BNCI2014_001,4,20260728,varmod,0.0,3.7143,-0.0122
BNCI2014_001,4,20260728,covtoken,0.0,-0.3333,0.0365
BNCI2014_001,5,0,varmod,0.0,-1.0,0.0035
BNCI2014_001,5,0,covtoken,0.0,0.6,0.0087
BNCI2014_001,5,20260721,varmod,0.0,-0.6667,0.0052
BNCI2014_001,5,20260721,covtoken,0.0,-2.0,0.0017
BNCI2014_001,5,20260722,varmod,0.0,1.0,0.0035
BNCI2014_001,5,20260722,covtoken,0.0,1.5,-0.0035
BNCI2014_001,5,20260723,varmod,0.0,,0.0
BNCI2014_001,5,20260723,covtoken,0.0,7.0,-0.0017
BNCI2014_001,5,20260724,varmod,0.0,4.0,-0.0017
BNCI2014_001,5,20260724,covtoken,0.0,,0.0
BNCI2014_001,5,20260725,varmod,0.0,-0.75,-0.0069
BNCI2014_001,5,20260725,covtoken,0.0,-4.0,-0.0035
BNCI2014_001,5,20260726,varmod,0.0,-3.0,0.0017
BNCI2014_001,5,20260726,covtoken,0.0,1.0,-0.0087
BNCI2014_001,5,20260727,varmod,0.0,,0.0
BNCI2014_001,5,20260727,covtoken,0.0,1.0,0.0017
BNCI2014_001,5,20260728,varmod,0.0,2.0,-0.0069
BNCI2014_001,5,20260728,covtoken,0.0,1.5,-0.0035
BNCI2014_001,6,0,varmod,0.0,-0.2,-0.0087
BNCI2014_001,6,0,covtoken,0.0,-4.0,0.0017
BNCI2014_001,6,20260721,varmod,0.0,0.0909,-0.0191
BNCI2014_001,6,20260721,covtoken,0.0,0.4545,-0.0191
BNCI2014_001,6,20260722,varmod,0.0,0.6667,-0.0156
BNCI2014_001,6,20260722,covtoken,0.0,0.4286,-0.0122
BNCI2014_001,6,20260723,varmod,0.0,-0.3333,-0.0052
BNCI2014_001,6,20260723,covtoken,0.0,1.5,-0.0069
BNCI2014_001,6,20260724,varmod,0.0,0.0,0.0069
BNCI2014_001,6,20260724,covtoken,0.0,-0.0,-0.0122
BNCI2014_001,6,20260725,varmod,0.0,-0.5,-0.0035
BNCI2014_001,6,20260725,covtoken,0.0,-0.5,0.0035
BNCI2014_001,6,20260726,varmod,0.0,1.0,0.0174
BNCI2014_001,6,20260726,covtoken,0.0,1.5,-0.0035
BNCI2014_001,6,20260727,varmod,0.0,-4.0,-0.0017
BNCI2014_001,6,20260727,covtoken,0.0,-0.8889,-0.0156
BNCI2014_001,6,20260728,varmod,0.0,0.6667,0.0052
BNCI2014_001,6,20260728,covtoken,0.0,7.0,0.0017
BNCI2014_001,7,0,varmod,0.0,0.125,-0.0139
BNCI2014_001,7,0,covtoken,0.0,-0.375,0.0139
BNCI2014_001,7,20260721,varmod,0.0,-1.3333,-0.0104
BNCI2014_001,7,20260721,covtoken,0.0,0.5,-0.0104
BNCI2014_001,7,20260722,varmod,0.0,1.5,0.0035
BNCI2014_001,7,20260722,covtoken,0.0,-0.1429,-0.0122
BNCI2014_001,7,20260723,varmod,0.0,5.0,-0.0035
BNCI2014_001,7,20260723,covtoken,0.0,0.1053,-0.033
BNCI2014_001,7,20260724,varmod,0.0,-0.5,-0.0035
BNCI2014_001,7,20260724,covtoken,0.0,0.6667,-0.0104
BNCI2014_001,7,20260725,varmod,0.0,-0.2857,0.0243
BNCI2014_001,7,20260725,covtoken,0.0,3.5,-0.0069
BNCI2014_001,7,20260726,varmod,0.0,1.4444,-0.0156
