tag,dataset,draw,endpoint,information_regime,removal_kind,rank,fit_removed_energy_fraction,variance_match_abs_error,cohen_kappa,balanced_accuracy,nll,n_units,prediction_sha256,delta_kappa_vs_unchanged,delta_bacc_vs_unchanged,delta_nll_vs_unchanged
H200_s1,seedv,0,fresh_head,global_oracle,same_rank_random,15,0.043988955313352,0.0,0.1063829787234043,0.28510638297872337,1.9680000437217153,235,9f4872483fd0e79039b590f9049a9ed16987c7460f75dfe207708336eee3eb87,-0.015957446808510634,-0.012765957446808585,0.0268143465313746
H200_s1,seedv,0,exact_head,global_oracle,same_rank_random,15,0.043988955313352,0.0,0.10106382978723405,0.28085106382978725,1.9205821794235312,235,6449b9fae23d9d64f78352c245ae87da67c629da33e7f70496db67cf1b9c9409,-0.021276595744680882,-0.017021276595744705,-0.020603517766809576
H200_s1,seedv,0,fresh_head,global_oracle,variance_matched_random,172,0.884922102882404,2.220446049250313e-16,0.06382978723404253,0.251063829787234,1.7876672654801218,235,f1791323bbe042127f5bdacae67cfc11d5c0431d33e4eae83621db6f6c4ac675,-0.0585106382978724,-0.04680851063829794,-0.15351843171021895
H200_s1,seedv,0,exact_head,global_oracle,variance_matched_random,172,0.884922102882404,2.220446049250313e-16,-0.015957446808510634,0.18723404255319148,2.580883718456964,235,77cd6be3efe7973024105ab77009ac114e86b853a70dc32b5b9023f311b6594f,-0.13829787234042556,-0.11063829787234047,0.6396980212666235
H200_s1,seedv,1,fresh_head,global_oracle,same_rank_random,15,0.02723525493624532,0.0,0.08510638297872342,0.2680851063829787,1.9681938357399338,235,aa723cc44ece9104f0aaf8819b5981bf9c60cf69f5528e4b0900facc1b1a96da,-0.037234042553191515,-0.029787234042553234,0.027008138549593053
H200_s1,seedv,1,exact_head,global_oracle,same_rank_random,15,0.02723525493624532,0.0,0.10106382978723405,0.28085106382978725,1.903020113804217,235,d3527ca18b64a21b7969f1a5ee773394269ea2ea7d9ee322c2f577f78459d343,-0.021276595744680882,-0.017021276595744705,-0.038165583386123636
H200_s1,seedv,1,fresh_head,global_oracle,variance_matched_random,179,0.8849221028824041,1.1102230246251565e-16,0.06914893617021278,0.25531914893617025,1.6890301167687714,235,d753c9cca659406a0d0f9e70a6bd9bd7d8fa59d04d1be41b32ef7da006f49fee,-0.05319148936170215,-0.04255319148936171,-0.2521555804215694
H200_s1,seedv,1,exact_head,global_oracle,variance_matched_random,179,0.8849221028824041,1.1102230246251565e-16,-0.010638297872340496,0.19148936170212766,1.9963280197215363,235,fa1493d4997fb401e2901ff36903544246e749d358ad8f772923bd76bb8bd28f,-0.13297872340425543,-0.1063829787234043,0.05514232253119555
H200_s1,seedv,2,fresh_head,global_oracle,same_rank_random,15,0.025294297412760635,0.0,0.07978723404255317,0.2638297872340426,1.9553343468173134,235,edb8cd592e17cacc7cc796868a07098688a982682c9f42fa58447841a29c3b61,-0.042553191489361764,-0.034042553191489355,0.014148649626972709
H200_s1,seedv,2,exact_head,global_oracle,same_rank_random,15,0.025294297412760635,0.0,0.1063829787234043,0.28510638297872337,1.9183823649377696,235,f998c60081b65f0816bf0a17faf56d4a8e1a4787548e0d1acb5a2da356f7abe2,-0.015957446808510634,-0.012765957446808585,-0.02280333225257114
H200_s1,seedv,2,fresh_head,global_oracle,variance_matched_random,178,0.8849221028824046,3.3306690738754696e-16,0.015957446808510634,0.2127659574468085,1.7042150380811258,235,dbfd71880331e1c88242b776907a7cd5681c89e9215504790e61f18f476594fa,-0.1063829787234043,-0.08510638297872344,-0.2369706591092149
H200_s1,seedv,2,exact_head,global_oracle,variance_matched_random,178,0.8849221028824046,3.3306690738754696e-16,-0.02127659574468077,0.18297872340425533,2.503958665551299,235,a635226deddcdcb62f77d764254bc2410faf8db85b14e3a80cfe5704c98c8fa5,-0.1436170212765957,-0.11489361702127662,0.5627729683609581
H200_s1,seedv,3,fresh_head,global_oracle,same_rank_random,15,0.01200041420490566,0.0,0.0957446808510638,0.2765957446808511,1.9533291142694051,235,43fd4eea581a299afd8b06a8a32302f4ccdacbcfbf883f10dfb719d58f7ca57a,-0.02659574468085113,-0.021276595744680882,0.012143417079064411
H200_s1,seedv,3,exact_head,global_oracle,same_rank_random,15,0.01200041420490566,0.0,0.0957446808510638,0.276595744680851,1.910505638436433,235,680c370973eb9d7dfe598cb9ce88772081bce206b5851145b2621a8e8f82da70,-0.02659574468085113,-0.021276595744680937,-0.03068005875390778
H200_s1,seedv,3,fresh_head,global_oracle,variance_matched_random,176,0.8849221028824048,5.551115123125783e-16,0.0478723404255319,0.23829787234042552,1.7327772651624347,235,eea86a8f5e79661c61efe51ba8b2ebc542d38763de6d6c77525cafaff1050931,-0.07446808510638303,-0.05957446808510644,-0.20840843202790604
H200_s1,seedv,3,exact_head,global_oracle,variance_matched_random,176,0.8849221028824048,5.551115123125783e-16,0.03191489361702127,0.22553191489361696,2.252495216184022,235,a39907a7872b9789099ce9041324060d46379ffd7bb7893c06c0d5325de6f871,-0.09042553191489366,-0.072340425531915,0.3113095189936812
