tag,budget_h,seed,task_gate_pass,l4_l5_l6_status,subject_subspace_rank,subject_subspace_var_frac,l4_task_head_subject_subspace_energy
random,,,,REFERENCE,5,0.8336647152900696,0.05129611788329996
released,,,True,REFERENCE,5,0.735474705696106,0.0021280857284628214
H200_s0,200.0,0,True,PASS,5,0.7563620209693909,0.0075612732064136955
H200_s1,200.0,1,True,PASS,5,0.5851456522941589,0.004024072186715548
H500_s0,500.0,0,True,PASS,5,0.5466779470443726,0.0012046796662882843
H500_s1,500.0,1,True,PASS,5,0.5148545503616333,0.003271921594973162
H1000_s0,1000.0,0,True,PASS,5,0.598189115524292,0.0006715881741580337
H1000_s1,1000.0,1,True,PASS,5,0.5930509567260742,0.0006534784842403331
H2000_s0,2000.0,0,True,PASS,5,0.46109750866889954,0.0018295977245978297
H2000_s1,2000.0,1,True,PASS,5,0.5107813477516174,0.0021340957597329575
