tag,budget_h,seed,split,l1_classifier,l1_pairwise_subject_bacc_mean,l1_pairwise_subject_bacc_sd,l1_n_pairs,target_split,target_l1_classifier,target_l1_pairwise_subject_bacc_mean,target_l1_pairwise_subject_bacc_sd,target_l1_n_pairs
random,,,source_train,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.7806124348473568,0.11134549011784395,3160,target_test,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.7092536619390839,0.10557182579445981,253
released,,,source_train,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9762937453462397,0.052675986759931424,3160,target_test,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9625668449197862,0.05191274915637825,253
H200_s0,200.0,0,source_train,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9785740878629933,0.03922008010092453,3160,target_test,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9462915601023019,0.0574219154366453,253
H200_s1,200.0,1,source_train,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9795979151154134,0.036540543038741144,3160,target_test,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9625668449197861,0.04567625130260497,253
H500_s0,500.0,0,source_train,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9926842889054356,0.020931709266666376,3160,target_test,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9816321785631248,0.025308257460860364,253
H500_s1,500.0,1,source_train,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9924422933730453,0.019683801680494516,3160,target_test,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.989188560799814,0.020492038629649576,253
H1000_s0,1000.0,0,source_train,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9879839910647803,0.03901199104342838,3160,target_test,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9952336665891653,0.012589617643041978,253
H1000_s1,1000.0,1,source_train,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9891102010424424,0.029247511372323447,3160,target_test,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9912810974192049,0.017809720612436686,253
H2000_s0,2000.0,0,source_train,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9927866716306777,0.018987102238864028,3160,target_test,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9863985119739596,0.02286414796989133,253
H2000_s1,2000.0,1,source_train,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9921537602382726,0.019772361192405098,3160,target_test,nearest_centroid_source_pca_space_item_index_mod5_holdout,0.9846547314578006,0.027372355550358413,253
