tag,rotation,source_subjects,val_subject,test_subject,downstream_seed,epochs_run,selected_epoch,selection_metric,selected_val_kappa,selected_val_nll,encoder_frozen,encoder_optimizer_created
H200_s1,0,3;4;5;6;7;8;9;10,1,2,0,50,45,source_val_kappa_only,0.5546222979009339,0.931127361084157,True,False
H200_s1,0,3;4;5;6;7;8;9;10,1,2,1,50,43,source_val_kappa_only,0.6017557511630336,0.8204013590786141,True,False
H200_s1,0,3;4;5;6;7;8;9;10,1,2,2,50,47,source_val_kappa_only,0.5423009249030831,0.9409493786591075,True,False
H200_s1,1,1;4;5;6;7;8;9;10,2,3,0,50,40,source_val_kappa_only,0.45135810640169294,1.11778385554208,True,False
H200_s1,1,1;4;5;6;7;8;9;10,2,3,1,50,49,source_val_kappa_only,0.46075681608594543,1.1685351369586852,True,False
H200_s1,1,1;4;5;6;7;8;9;10,2,3,2,50,32,source_val_kappa_only,0.43669472242778007,1.0883179178939077,True,False
H200_s1,2,1;2;5;6;7;8;9;10,3,4,0,50,40,source_val_kappa_only,0.4877576261725206,0.9249903948680385,True,False
H200_s1,2,1;2;5;6;7;8;9;10,3,4,1,50,32,source_val_kappa_only,0.48584907881293293,0.921596640556384,True,False
H200_s1,2,1;2;5;6;7;8;9;10,3,4,2,50,30,source_val_kappa_only,0.4869652887800663,0.9211269106264937,True,False
H200_s1,3,1;2;3;6;7;8;9;10,4,5,0,50,36,source_val_kappa_only,0.48505387516967435,1.0776815592644404,True,False
H200_s1,3,1;2;3;6;7;8;9;10,4,5,1,50,35,source_val_kappa_only,0.5035718721393974,1.0777383270151673,True,False
H200_s1,3,1;2;3;6;7;8;9;10,4,5,2,50,46,source_val_kappa_only,0.4997006736563,1.1419614067939658,True,False
H200_s1,4,1;2;3;4;7;8;9;10,5,6,0,50,46,source_val_kappa_only,0.5324675324675325,0.9362089468096889,True,False
H200_s1,4,1;2;3;4;7;8;9;10,5,6,1,50,27,source_val_kappa_only,0.5419103808282137,0.9956198351529191,True,False
H200_s1,4,1;2;3;4;7;8;9;10,5,6,2,50,45,source_val_kappa_only,0.5396514577703837,0.9624579478522997,True,False
H200_s1,5,1;2;3;4;5;8;9;10,6,7,0,50,39,source_val_kappa_only,0.46826042600294904,0.9481259932491373,True,False
H200_s1,5,1;2;3;4;5;8;9;10,6,7,1,50,43,source_val_kappa_only,0.43526056740539376,1.0466022212393753,True,False
H200_s1,5,1;2;3;4;5;8;9;10,6,7,2,50,38,source_val_kappa_only,0.47408492431953797,0.9573245754417727,True,False
H200_s1,6,1;2;3;4;5;6;9;10,7,8,0,50,40,source_val_kappa_only,0.5365110617408771,0.8474704256657901,True,False
H200_s1,6,1;2;3;4;5;6;9;10,7,8,1,50,45,source_val_kappa_only,0.5401473443442645,0.7927007023583155,True,False
H200_s1,6,1;2;3;4;5;6;9;10,7,8,2,50,37,source_val_kappa_only,0.538388429570245,0.8015363661759151,True,False
H200_s1,7,1;2;3;4;5;6;7;10,8,9,0,50,43,source_val_kappa_only,0.5940524231898139,0.7554594661590102,True,False
H200_s1,7,1;2;3;4;5;6;7;10,8,9,1,50,44,source_val_kappa_only,0.6682323870852545,0.7342057575418763,True,False
H200_s1,7,1;2;3;4;5;6;7;10,8,9,2,50,44,source_val_kappa_only,0.6026795480479858,0.7405566703046743,True,False
H200_s1,8,1;2;3;4;5;6;7;8,9,10,0,50,20,source_val_kappa_only,0.4253097074063048,1.0186615072993066,True,False
H200_s1,8,1;2;3;4;5;6;7;8,9,10,1,50,3,source_val_kappa_only,0.3965616084496213,1.4206118489370165,True,False
H200_s1,8,1;2;3;4;5;6;7;8,9,10,2,50,49,source_val_kappa_only,0.4386037491919844,1.0914635423943755,True,False
H200_s1,9,2;3;4;5;6;7;8;9,10,1,0,50,50,source_val_kappa_only,0.38314971525892805,1.115804125939539,True,False
H200_s1,9,2;3;4;5;6;7;8;9,10,1,1,50,30,source_val_kappa_only,0.3905589504712528,1.0730435913422862,True,False
H200_s1,9,2;3;4;5;6;7;8;9,10,1,2,50,34,source_val_kappa_only,0.3388907835832171,1.1700095243914803,True,False
