subset_seed,unique_data_h,group_id,reference_scheme,target_windows,realized_windows,target_proportion,realized_proportion,absolute_proportion_error,allocation_seed,exact_group_quota_pass
0,200,015e0f55bbea866b_LE,LE,2553,2553,0.106375000000,0.106375000000,0.000000000000,1818064317,true
0,1000,015e0f55bbea866b_LE,LE,12768,12768,0.106400000000,0.106400000000,0.000000000000,1818064317,true
0,200,1b459fa27e8ef82f_LE,LE,3383,3383,0.140958333333,0.140958333333,0.000000000000,46480973,true
0,1000,1b459fa27e8ef82f_LE,LE,16914,16914,0.140950000000,0.140950000000,0.000000000000,46480973,true
0,200,4ac580a294689373_LE,LE,310,310,0.012916666667,0.012916666667,0.000000000000,736615761,true
0,1000,4ac580a294689373_LE,LE,1548,1548,0.012900000000,0.012900000000,0.000000000000,736615761,true
0,200,6882d6283bd5a576_REF,REF,45,45,0.001875000000,0.001875000000,0.000000000000,472645400,true
0,1000,6882d6283bd5a576_REF,REF,227,227,0.001891666667,0.001891666667,0.000000000000,472645400,true
0,200,810e5e581c9b962e_REF,REF,4477,4477,0.186541666667,0.186541666667,0.000000000000,1188309344,true
0,1000,810e5e581c9b962e_REF,REF,22384,22384,0.186533333333,0.186533333333,0.000000000000,1188309344,true
0,200,8f63aeb560d76a12_REF,REF,13232,13232,0.551333333333,0.551333333333,0.000000000000,1364160717,true
0,1000,8f63aeb560d76a12_REF,REF,66159,66159,0.551325000000,0.551325000000,0.000000000000,1364160717,true
1,200,015e0f55bbea866b_LE,LE,2553,2553,0.106375000000,0.106375000000,0.000000000000,1778044364,true
1,1000,015e0f55bbea866b_LE,LE,12768,12768,0.106400000000,0.106400000000,0.000000000000,1778044364,true
1,200,1b459fa27e8ef82f_LE,LE,3383,3383,0.140958333333,0.140958333333,0.000000000000,346705641,true
1,1000,1b459fa27e8ef82f_LE,LE,16914,16914,0.140950000000,0.140950000000,0.000000000000,346705641,true
1,200,4ac580a294689373_LE,LE,310,310,0.012916666667,0.012916666667,0.000000000000,2011323251,true
1,1000,4ac580a294689373_LE,LE,1548,1548,0.012900000000,0.012900000000,0.000000000000,2011323251,true
1,200,6882d6283bd5a576_REF,REF,45,45,0.001875000000,0.001875000000,0.000000000000,254171568,true
1,1000,6882d6283bd5a576_REF,REF,227,227,0.001891666667,0.001891666667,0.000000000000,254171568,true
1,200,810e5e581c9b962e_REF,REF,4477,4477,0.186541666667,0.186541666667,0.000000000000,1966477612,true
1,1000,810e5e581c9b962e_REF,REF,22384,22384,0.186533333333,0.186533333333,0.000000000000,1966477612,true
1,200,8f63aeb560d76a12_REF,REF,13232,13232,0.551333333333,0.551333333333,0.000000000000,449535227,true
1,1000,8f63aeb560d76a12_REF,REF,66159,66159,0.551325000000,0.551325000000,0.000000000000,449535227,true
