trajectory_id,block_id,subset_seed,init_seed,stream_seed,unique_data_h,snapshot_role,snapshot_update,epoch_at_snapshot,steps_per_epoch,batch_size,gradient_accumulation,sample_presentations,presentation_hours_equivalent,lr_after_update,lr_schedule_t_max,validation_index,primary_fixed_update_snapshot,best_val_used_for_primary,training_trajectory_continues_after_snapshot
SS0_IS0_U200,SS0_IS0,0,0,687889737,200,P_low,18750,50,375,64,1,1200000,10000.000000000,0.000453209163621862,93750,10,true,false,true
SS0_IS0_U200,SS0_IS0,0,0,687889737,200,P_high,93750,250,375,64,1,6000000,50000.000000000,1e-05,93750,50,true,false,false
SS0_IS0_U1000,SS0_IS0,0,0,687889737,1000,P_low,18750,10,1875,64,1,1200000,10000.000000000,0.000453209163621862,93750,10,true,false,true
SS0_IS0_U1000,SS0_IS0,0,0,687889737,1000,P_high,93750,50,1875,64,1,6000000,50000.000000000,1e-05,93750,50,true,false,false
SS0_IS1_U200,SS0_IS1,0,1,2010876695,200,P_low,18750,50,375,64,1,1200000,10000.000000000,0.000453209163621862,93750,10,true,false,true
SS0_IS1_U200,SS0_IS1,0,1,2010876695,200,P_high,93750,250,375,64,1,6000000,50000.000000000,1e-05,93750,50,true,false,false
SS0_IS1_U1000,SS0_IS1,0,1,2010876695,1000,P_low,18750,10,1875,64,1,1200000,10000.000000000,0.000453209163621862,93750,10,true,false,true
SS0_IS1_U1000,SS0_IS1,0,1,2010876695,1000,P_high,93750,50,1875,64,1,6000000,50000.000000000,1e-05,93750,50,true,false,false
SS1_IS0_U200,SS1_IS0,1,0,1382327108,200,P_low,18750,50,375,64,1,1200000,10000.000000000,0.000453209163621862,93750,10,true,false,true
SS1_IS0_U200,SS1_IS0,1,0,1382327108,200,P_high,93750,250,375,64,1,6000000,50000.000000000,1e-05,93750,50,true,false,false
SS1_IS0_U1000,SS1_IS0,1,0,1382327108,1000,P_low,18750,10,1875,64,1,1200000,10000.000000000,0.000453209163621862,93750,10,true,false,true
SS1_IS0_U1000,SS1_IS0,1,0,1382327108,1000,P_high,93750,50,1875,64,1,6000000,50000.000000000,1e-05,93750,50,true,false,false
SS1_IS1_U200,SS1_IS1,1,1,846392450,200,P_low,18750,50,375,64,1,1200000,10000.000000000,0.000453209163621862,93750,10,true,false,true
SS1_IS1_U200,SS1_IS1,1,1,846392450,200,P_high,93750,250,375,64,1,6000000,50000.000000000,1e-05,93750,50,true,false,false
SS1_IS1_U1000,SS1_IS1,1,1,846392450,1000,P_low,18750,10,1875,64,1,1200000,10000.000000000,0.000453209163621862,93750,10,true,false,true
SS1_IS1_U1000,SS1_IS1,1,1,846392450,1000,P_high,93750,50,1875,64,1,6000000,50000.000000000,1e-05,93750,50,true,false,false
